query_order	arrival_time_s
1	0.000
2	0.127
3	1.735
4	2.998
5	9.666
6	15.312
7	26.448
8	26.903
9	29.643
10	29.794
11	31.028
12	34.547
13	34.682
14	35.790
15	41.038
16	44.974
17	46.220
18	50.669
19	58.957
20	58.990
21	67.185
22	73.174
23	75.253
24	76.098
25	91.856
26	93.908
27	94.394
28	94.903
29	104.306
30	108.934
31	117.162
32	123.704
33	127.546
34	145.627
35	148.005
36	152.021
37	160.863
38	165.681
39	175.573
40	179.879
41	185.976
42	186.211
43	187.504
44	189.212
45	189.628
46	190.953
47	191.485
48	193.114
49	198.162
50	200.432
51	202.743
52	203.919
53	205.472
54	219.267
55	224.488
56	229.185
57	230.124
58	236.654
59	237.546
60	239.932
61	262.725
62	267.834
63	271.904
64	277.674
65	286.927
66	294.407
67	295.708
68	295.871
69	297.766
70	299.324
71	300.509
72	314.824
73	325.277
74	327.166
75	332.493
76	335.011
77	347.310
78	350.380
79	351.919
80	353.335
81	357.456
82	358.980
83	363.372
84	374.777
85	377.326
86	378.564
87	408.597
88	412.159
89	412.636
90	412.877
91	413.458
92	418.395
93	426.248
94	428.990
95	429.318
96	431.722
97	459.483
98	463.249
99	480.964
100	490.823
101	490.881
102	497.258
103	502.982
104	506.832
105	508.384
106	513.506
107	514.097
108	516.950
109	519.973
110	535.348
111	545.780
112	547.308
113	550.780
114	551.764
115	563.952
116	574.173
117	575.945
118	581.039
119	585.734
120	586.563
121	593.751
122	597.627
123	605.167
124	608.946
125	608.948
126	610.907
127	611.006
128	624.238
129	634.786
130	643.695
131	645.533
132	645.831
133	656.350
134	671.033
135	671.480
136	674.808
137	675.167
138	682.315
139	689.573
140	690.260
141	693.485
142	697.475
143	699.015
144	709.311
145	712.061
146	713.251
147	717.126
148	723.672
149	724.795
150	726.663
151	753.306
152	758.553
153	761.435
154	765.080
155	765.725
156	766.997
157	769.060
158	773.498
159	774.805
160	776.049
161	776.417
162	781.403
163	782.703
164	794.495
165	804.313
166	804.680
167	806.039
168	811.567
169	812.772
170	813.482
171	827.189
172	831.421
173	834.620
174	842.297
175	850.535
176	851.591
177	852.101
178	854.921
179	857.676
180	860.822
181	867.352
182	872.946
183	893.674
184	894.192
185	896.768
186	898.840
187	908.731
188	910.160
189	911.215
190	914.192
191	916.932
192	918.564
193	920.001
194	932.838
195	935.765
196	945.644
197	949.640
198	949.900
199	986.098
200	995.139
201	1012.507
202	1025.550
203	1034.993
204	1035.902
205	1039.226
206	1040.429
207	1042.991
208	1043.294
209	1045.675
210	1066.778
211	1068.319
212	1075.983
213	1079.018
214	1081.767
215	1097.537
216	1124.470
217	1128.528
218	1134.864
219	1135.705
220	1137.465
221	1154.787
222	1159.115
223	1163.021
224	1169.912
225	1170.207
