query_order,qid,arrival_time_s,round
0,26522,0.000,1
1,4741,22.562,1
2,14308,25.245,1
3,10795,30.833,1
4,4383,43.799,1
5,11844,83.451,1
6,26517,96.314,1
7,25788,132.108,1
8,9990,139.166,1
9,10229,181.739,1
10,17168,185.055,1
11,3955,198.506,1
12,25478,225.136,1
13,7857,229.309,1
14,25527,247.228,1
15,26294,252.613,1
16,14018,269.905,1
17,26022,294.467,1
18,14904,318.328,1
19,26321,330.847,1
20,26214,331.476,1
21,26005,342.889,1
22,11822,359.138,1
23,12889,360.210,1
24,11614,375.852,1
25,25934,376.043,1
26,25344,384.216,1
27,15149,394.322,1
28,26810,402.847,1
29,26027,409.592,1
30,25467,442.918,1
31,17471,452.153,1
32,7436,454.644,1
33,10948,457.550,1
34,25631,468.615,1
35,6107,484.382,1
36,26414,498.735,1
37,14051,536.549,1
38,26496,558.900,1
39,7787,568.279,1
40,16115,594.487,1
41,25746,607.951,1
42,12305,613.787,1
43,26240,618.013,1
44,26508,658.926,1
45,9953,663.831,1
46,15014,672.821,1
47,14342,693.644,1
48,7660,706.298,1
49,12343,722.846,1
50,26144,728.997,1
51,22566,739.224,1
52,26479,745.120,1
53,17034,755.149,1
54,11399,761.722,1
55,9618,766.205,1
56,26787,771.126,1
57,26324,784.727,1
58,25629,816.544,1
59,17332,828.716,1
60,15049,839.620,1
61,4291,842.801,1
62,10260,846.944,1
63,11729,854.768,1
64,11334,866.919,1
65,5069,871.042,1
66,14319,880.739,1
67,26658,899.403,1
68,8198,908.320,1
69,26256,908.581,1
70,10001,913.808,1
71,15243,921.581,1
72,3924,925.763,1
73,25469,942.121,1
74,25397,949.028,1
75,25577,961.122,1
76,15010,967.440,1
77,25882,1052.840,1
78,13237,1064.830,1
79,10073,1071.334,1
80,15474,1080.404,1
81,26456,1085.897,1
82,11810,1089.828,1
83,26115,1108.991,1
84,11968,1114.678,1
85,9173,1135.051,1
86,15348,1180.253,1
87,5765,1197.829,1
88,25498,1201.018,1
89,26710,1221.144,1
90,11082,1225.999,1
91,8793,1239.357,1
92,26718,1260.777,1
93,2895,1274.402,1
94,25259,1333.470,1
95,15326,1360.283,1
96,26245,1365.553,1
97,9057,1372.268,1
98,14438,1377.667,1
99,25435,1396.133,1
100,12050,1398.163,1
101,13805,1398.862,1
102,8812,1399.703,1
103,25977,1404.885,1
104,22624,1448.145,1
105,26281,1463.381,1
106,15697,1484.344,1
107,17182,1485.968,1
108,15150,1486.153,1
109,26327,1491.171,1
110,11555,1500.943,1
111,8569,1507.192,1
112,25425,1557.693,1
113,25824,1562.058,1
114,25885,1591.735,1
115,10075,1593.552,1
116,26752,1594.566,1
117,24675,1604.718,1
118,11800,1617.624,1
119,18604,1635.021,1
120,26276,1637.489,1
