query_order,qid,arrival_time_s,estimated_runtime_s
0,25709,0.0,56.79
1,16989,16.468,19.83
2,7234,295.374,175.75
3,7670,295.865,38.84
4,10322,298.74,15.53
5,16367,303.317,22.84
6,10765,306.605,5.12
7,25646,309.574,14.04
8,13935,1018.289,2.92
9,17391,1019.164,46.55
10,11919,1076.399,8.53
11,3676,1218.616,116.27
12,14904,1223.322,39.93
13,25250,1245.499,62.47
14,25420,1248.242,15.83
15,16761,1258.237,37.34
16,25678,1259.278,17.84
17,10458,1259.402,9.92
18,25576,1259.457,3.72
19,13712,1264.717,104.09
20,15503,1265.239,70.08
21,25756,1265.548,8.63
22,13920,1265.612,26.44
23,15877,1268.794,2.92
24,25271,1272.645,5.32
25,16115,1272.758,17.73
26,25249,1272.815,4.62
27,18783,1273.435,75.49
28,14114,1275.818,3.52
29,25699,1275.842,40.36
30,25300,1287.058,9.53
31,8332,1287.738,6.61
32,25773,1288.069,12.93
33,16586,1288.607,2.42
34,7777,1294.233,55.12
35,14183,1301.341,62.16
36,23615,1306.193,37.54
37,25533,1315.08,12.73
38,10521,1321.072,3.82
39,15020,1328.586,2.52
40,10533,1337.91,69.06
41,12860,1348.222,5.22
42,25701,1353.597,16.82
43,11927,1357.306,17.93
44,15832,1361.057,37.24
45,25753,1369.725,7.73
46,11829,1374.319,4.32
47,11565,1379.509,6.03
48,25623,1382.985,104.51
49,11082,1387.129,15.33
50,15024,1387.497,8.39
51,9179,1391.236,7.22
52,10172,1393.672,6.42
53,11959,1396.265,4.32
54,14823,1404.123,4.32
55,22761,1411.029,24.04
56,25386,1419.829,6.33
57,25682,1423.9,19.04
58,12297,1424.269,70.74
59,22018,1431.935,6.02
60,20307,1445.906,114.11
61,13292,1456.467,23.34
62,25321,1469.639,38.02
63,14371,1475.612,16.33
64,14099,1482.401,18.63
65,6725,1484.945,60.16
66,13673,1493.653,2.02
67,10155,1496.928,17.73
68,12118,1497.226,6.42
69,10015,1501.917,66.76
70,10342,1503.454,74.57
71,13162,1508.048,2.92
72,16525,1512.522,23.14
73,12610,1515.861,25.93
74,16969,1523.123,2.72
75,7254,1525.247,8.92
76,25508,1527.13,47.38
77,7186,1533.338,2.72
78,10696,1537.574,2.52
79,7497,1556.253,11.12
80,25762,1557.358,8.93
81,17018,1557.873,7.52
82,11878,1558.23,58.95
83,5254,1559.526,61.64
84,12102,1561.688,51.72
85,25687,1572.168,9.23
86,7400,1575.076,7.02
87,13216,1636.544,32.54
88,17922,1636.573,25.73
89,10211,1643.687,26.54
90,25454,1644.728,7.94
91,12183,1659.084,4.72
