query_order	arrival_time_s
0	0.000
1	30.602
2	31.362
3	41.010
4	48.588
5	88.596
6	122.471
7	189.290
8	192.018
9	208.460
10	209.367
11	216.769
12	237.886
13	238.693
14	245.344
15	276.828
16	300.448
17	307.919
18	334.613
19	384.345
20	384.541
21	433.710
22	469.644
23	482.121
24	487.190
25	581.736
26	594.047
27	596.967
28	600.018
29	656.435
30	684.205
31	733.576
32	772.827
33	795.878
34	904.364
35	918.634
36	942.726
37	995.780
38	1024.691
39	1084.042
40	1109.878
41	1146.458
42	1147.866
43	1155.625
44	1165.874
45	1168.368
46	1176.318
47	1179.512
48	1189.283
49	1219.575
50	1233.191
51	1247.061
52	1254.114
53	1263.431
54	1346.206
55	1377.532
56	1405.714
57	1411.345
58	1450.528
59	1455.881
60	1470.195
61	1606.953
62	1637.603
63	1662.025
64	1696.644
65	1752.161
66	1797.044
67	1804.848
68	1805.827
69	1817.197
70	1826.545
71	1833.654
72	1919.548
73	1982.261
74	1993.597
75	2025.562
76	2040.669
77	2114.463
78	2132.885
79	2142.116
80	2150.612
81	2175.335
82	2184.480
83	2210.834
84	2279.265
85	2294.560
86	2301.988
87	2482.187
88	2503.558
89	2506.417
90	2507.865
91	2511.349
92	2540.971
93	2588.089
94	2604.542
95	2606.511
96	2620.931
97	2787.499
98	2810.093
99	2916.388
100	2975.539
101	2975.886
102	3014.152
103	3048.496
104	3071.595
105	3080.906
106	3111.636
107	3115.184
108	3132.300
109	3150.439
110	3242.692
111	3305.281
112	3314.452
113	3335.281
114	3341.186
115	3414.313
116	3475.639
117	3486.273
118	3516.835
119	3545.004
120	3549.980
121	3593.109
122	3616.365
123	3661.602
124	3684.275
125	3684.292
126	3696.046
127	3696.636
128	3776.030
129	3839.320
130	3892.774
131	3903.798
132	3905.588
133	3968.703
134	4056.798
135	4059.484
136	4079.450
137	4081.602
138	4124.490
139	4168.042
140	4172.165
141	4191.511
142	4215.454
143	4224.692
144	4286.466
145	4302.970
146	4310.110
147	4333.360
148	4372.633
149	4379.370
150	4390.577
151	4550.436
152	4581.920
153	4599.213
154	4621.081
155	4624.951
156	4632.586
157	4644.964
158	4671.589
159	4679.434
160	4686.896
161	4689.105
162	4719.023
163	4726.822
164	4797.572
165	4856.477
166	4858.682
167	4866.836
168	4900.003
169	4907.236
170	4911.494
171	4993.733
172	5019.125
173	5038.323
174	5084.384
175	5133.813
176	5140.150
177	5143.208
178	5160.127
179	5176.655
180	5195.533
181	5234.711
182	5268.278
183	5392.645
184	5395.753
185	5411.209
186	5423.643
187	5482.986
188	5491.563
189	5497.893
190	5515.752
191	5532.191
192	5541.986
193	5550.609
194	5627.631
195	5645.194
196	5704.468
197	5728.444
198	5730.002
199	5947.193
200	6001.434
201	6105.644
202	6183.904
203	6240.558
204	6246.014
205	6265.959
206	6273.174
207	6288.551
208	6290.363
209	6304.655
210	6431.270
211	6440.515
212	6486.499
213	6504.708
214	6521.206
215	6615.825
216	6777.425
217	6801.767
218	6839.786
219	6844.831
220	6855.391
221	6959.324
222	6985.290
223	7008.730
224	7050.077
225	7051.842
226	7078.167
227	7099.133
228	7156.596
229	7161.735
230	7258.891
231	7261.396
232	7267.564
233	7294.682
234	7328.420
235	7336.464
236	7340.295
237	7406.592
238	7415.071
239	7442.152
240	7471.131
241	7487.432
242	7513.721
243	7535.914
244	7617.780
245	7624.635
246	7662.418
247	7670.600
248	7685.714
249	7719.128
250	7729.828
251	7741.230
252	7783.044
253	7785.303
254	7803.693
255	7997.864
256	8164.240
257	8166.523
258	8173.715
259	8182.959
260	8264.168
261	8327.992
262	8391.418
263	8405.257
264	8410.407
265	8464.234
266	8500.709
267	8529.087
268	8659.914
269	8691.751
270	8691.987
271	8742.952
272	8753.626
273	8786.291
274	8870.163
275	8874.489
276	8878.168
277	8881.565
278	8905.736
279	8915.273
280	8943.127
281	8981.061
282	8987.890
283	9018.064
284	9027.259
285	9047.373
286	9118.096
287	9174.240
288	9177.145
289	9193.672
290	9203.389
291	9203.496
292	9247.733
293	9278.143
294	9287.255
295	9327.810
296	9351.877
297	9368.619
298	9368.911
299	9371.258
300	9435.652
301	9505.932
302	9529.595
303	9583.576
304	9609.780
305	9614.589
306	9618.679
307	9629.735
308	9698.508
309	9746.216
310	9805.350
311	9874.107
312	9881.181
313	9889.793
314	9893.047
315	9938.487
316	10003.146
317	10018.792
318	10047.871
319	10052.908
320	10132.635
321	10192.622
322	10304.772
323	10354.716
324	10418.680
325	10419.433
326	10459.451
327	10471.563
328	10551.693
329	10600.313
330	10660.180
331	10710.121
332	10719.431
333	10765.878
334	10769.310
335	10831.021
336	10889.704
337	10897.252
338	10948.132
339	10966.635
340	10977.558
341	11025.151
342	11032.898
343	11033.617
344	11040.055
345	11051.991
346	11111.922
347	11214.159
348	11223.978
349	11254.751
350	11270.060
351	11389.196
352	11412.247
353	11496.270
354	11499.946
