qid,arrival,start,finish,runtime,status,predicted_slowdown
4741,22.562,38.0,78.4,40.42,ok,0.706
4383,43.799,78.4,111.9,33.49,ok,1.338
26517,96.314,111.9,114.1,2.21,ok,0.06
14308,25.245,57.8,132.8,75.0,ok,1.396
25788,132.108,138.0,145.2,7.17,ok,0.101
10795,30.833,102.8,202.1,99.25,ok,1.854
11844,83.451,173.4,204.9,31.44,ok,0.607
9990,139.166,181.5,209.6,28.07,ok,1.571
10229,181.739,220.4,253.7,33.27,ok,1.609
26294,252.613,253.7,285.5,31.83,ok,0.962
25478,225.136,285.5,301.2,15.69,ok,0.903
17168,185.055,225.1,313.7,88.6,ok,1.271
7857,229.309,313.7,329.3,15.62,ok,1.015
26022,294.467,301.2,341.5,40.26,ok,0.152
14018,269.905,341.5,346.6,5.1,ok,1.038
25527,247.228,329.3,356.3,27.01,ok,1.043
26214,331.476,356.3,364.7,8.4,ok,0.985
26321,330.847,364.7,381.9,17.12,ok,1.236
3955,198.506,217.6,386.0,168.45,ok,0.328
26005,342.889,346.6,392.7,46.06,ok,1.033
26522,0.0,103.8,410.5,306.7,ok,0.98
25344,384.216,386.0,413.4,27.39,ok,0.709
26810,402.847,413.4,434.0,20.53,ok,3.386
25934,376.043,392.7,438.2,45.52,ok,1.117
11822,359.138,410.5,444.0,33.52,ok,2.663
14904,318.328,438.2,459.5,21.29,ok,3.896
12889,360.21,434.0,462.1,28.09,ok,3.482
10948,457.55,459.5,474.2,14.67,ok,3.579
26027,409.592,444.0,474.9,30.82,ok,0.713
11614,375.852,381.9,481.8,99.93,ok,1.017
25467,442.918,462.1,524.9,62.78,ok,0.504
15149,394.322,474.9,535.4,60.55,ok,2.827
17471,452.153,481.8,553.7,71.86,ok,0.935
7436,454.644,553.7,564.9,11.23,ok,1.124
26496,558.9,564.9,580.1,15.19,ok,1.529
7787,568.279,580.1,598.0,17.93,ok,1.894
25631,468.615,474.2,610.4,136.23,ok,0.415
25746,607.951,610.5,626.5,16.05,ok,1.815
26240,618.013,626.5,637.7,11.2,ok,1.548
26414,498.735,524.9,651.6,126.73,ok,0.661
14051,536.549,644.8,659.8,15.02,ok,3.859
16115,594.487,605.1,673.7,68.56,ok,1.858
12305,613.787,658.7,680.3,21.63,ok,4.437
9953,663.831,686.8,698.3,11.56,ok,0.553
6107,484.382,558.6,704.5,145.88,ok,0.695
7660,706.298,722.6,736.6,14.04,ok,1.462
26144,728.997,736.6,742.1,5.46,ok,1.552
14342,693.644,717.4,744.1,26.63,ok,6.131
22566,739.224,742.1,759.0,16.93,ok,1.43
12343,722.846,744.1,769.5,25.41,ok,2.93
26479,745.12,769.5,782.9,13.4,ok,2.042
15014,672.821,712.5,807.3,94.83,ok,1.165
17034,755.149,759.0,834.3,75.26,ok,1.101
26508,658.926,692.0,844.5,152.46,ok,0.184
9618,766.205,844.5,868.4,23.87,ok,1.447
25629,816.544,834.3,885.6,51.3,ok,1.593
11399,761.722,807.3,898.3,91.01,ok,1.636
5069,871.042,885.6,902.5,16.9,ok,0.861
26324,784.727,898.4,907.6,9.28,ok,1.131
26787,771.126,782.9,921.0,138.1,ok,0.691
17332,828.716,907.6,970.1,62.47,ok,1.208
10260,846.944,868.4,997.1,128.71,ok,1.046
3924,925.763,997.1,1018.6,21.52,ok,0.671
26658,899.403,902.5,1019.0,116.48,ok,0.583
4291,842.801,1019.0,1030.3,11.31,ok,0.604
11729,854.768,921.0,1044.1,123.07,ok,1.044
26256,908.581,1044.1,1067.9,23.79,ok,0.869
14319,880.739,1030.3,1085.1,54.81,ok,0.667
25882,1052.84,1067.9,1089.5,21.54,ok,0.82
26456,1085.897,1089.5,1102.5,12.99,ok,0.046
15049,839.62,1018.7,1113.0,94.32,ok,0.637
15474,1080.404,1085.2,1119.0,33.74,ok,0.867
8198,908.32,1102.5,1127.7,25.14,ok,0.555
25577,961.122,1119.0,1145.1,26.13,ok,0.506
