qid,arrival,start,finish,runtime,status
14308,25.245,40.0,82.6,42.63,ok
4741,22.562,38.0,102.0,63.96,ok
4383,43.799,82.6,109.7,27.09,ok
26517,96.314,132.0,139.2,7.19,ok
25788,132.108,139.2,146.2,6.96,ok
10795,30.833,101.3,196.8,95.52,ok
9990,139.166,181.7,205.8,24.13,ok
11844,83.451,159.8,207.9,48.13,ok
10229,181.739,213.8,245.6,31.76,ok
25478,225.136,245.6,281.3,35.74,ok
7857,229.309,281.3,294.8,13.51,ok
25527,247.228,294.8,312.5,17.62,ok
17168,185.055,222.8,320.7,97.94,ok
14018,269.905,320.7,325.8,5.06,ok
26294,252.613,312.5,352.8,40.38,ok
26022,294.467,325.8,356.5,30.68,ok
26321,330.847,356.5,372.7,16.24,ok
14904,318.328,352.8,376.6,23.78,ok
26214,331.476,372.7,385.2,12.42,ok
3955,198.506,224.9,406.6,181.69,ok
11822,359.138,385.2,420.4,35.25,ok
26005,342.889,376.6,423.0,46.34,ok
26522,0.0,103.8,436.1,332.34,ok
12889,360.21,406.6,450.3,43.74,ok
25344,384.216,436.1,462.9,26.74,ok
25934,376.043,423.0,463.2,40.25,ok
11614,375.852,420.4,464.5,44.08,ok
26810,402.847,462.9,482.2,19.3,ok
15149,394.322,450.3,505.7,55.37,ok
26027,409.592,463.2,514.3,51.13,ok
7436,454.644,505.7,517.2,11.52,ok
25467,442.918,464.5,528.7,64.24,ok
17471,452.153,482.2,533.9,51.69,ok
10948,457.55,514.3,546.5,32.16,ok
14051,536.549,558.8,582.3,23.43,ok
26496,558.9,582.3,596.8,14.56,ok
7787,568.279,596.8,614.1,17.33,ok
25631,468.615,529.5,643.0,113.45,ok
26414,498.735,546.2,658.2,111.95,ok
25746,607.951,643.0,658.6,15.65,ok
26240,618.013,658.6,670.3,11.66,ok
12305,613.787,658.2,672.8,14.62,ok
6107,484.382,541.0,680.2,139.16,ok
9953,663.831,686.0,701.4,15.46,ok
16115,594.487,627.3,707.6,80.22,ok
7660,706.298,722.6,739.2,16.51,ok
14342,693.644,716.5,747.3,30.75,ok
26144,728.997,747.3,753.0,5.75,ok
12343,722.846,739.2,760.4,21.28,ok
22566,739.224,753.0,775.2,22.21,ok
26479,745.12,760.4,782.9,22.49,ok
15014,672.821,708.5,808.9,100.42,ok
9618,766.205,808.9,829.8,20.84,ok
17034,755.149,775.2,831.6,56.35,ok
26324,784.727,831.6,842.5,10.95,ok
26508,658.926,698.6,852.8,154.22,ok
11399,761.722,782.9,876.0,93.08,ok
25629,816.544,842.5,901.4,58.83,ok
4291,842.801,901.4,910.3,8.92,ok
17332,828.716,852.8,924.3,71.49,ok
15049,839.62,876.0,951.4,75.41,ok
26787,771.126,829.8,961.7,131.94,ok
11334,866.919,951.4,975.3,23.87,ok
5069,871.042,961.7,976.5,14.84,ok
14319,880.739,975.3,1023.4,48.13,ok
10260,846.944,910.3,1033.4,123.09,ok
11729,854.768,924.3,1040.0,115.71,ok
8198,908.32,1023.4,1047.2,23.75,ok
26256,908.581,1033.4,1061.4,28.0,ok
10001,913.808,1040.0,1062.2,22.18,ok
15243,921.581,1047.2,1065.5,18.31,ok
25469,942.121,1062.2,1083.1,20.93,ok
25577,961.122,1083.1,1102.8,19.65,ok
3924,925.763,1061.4,1106.5,45.07,ok
26658,899.403,976.5,1128.0,151.42,ok
25882,1052.84,1106.5,1129.5,23.0,ok
10073,1071.334,1129.5,1148.6,19.09,ok
13237,1064.83,1128.0,1161.5,33.54,ok
15010,967.44,1102.8,1164.7,61.94,ok
26456,1085.897,1161.5,1179.6,18.14,ok
11810,1089.828,1164.7,1181.3,16.64,ok
15474,1080.404,1148.6,1203.0,54.4,ok
25397,949.028,1065.5,1279.9,214.4,ok
11968,1114.678,1181.3,1291.6,110.24,ok
5765,1197.829,1291.6,1296.8,5.19,ok
9173,1135.051,1203.0,1327.8,124.78,ok
15348,1180.253,1279.9,1354.4,74.44,ok
25498,1201.018,1296.8,1364.5,67.72,ok
8793,1239.357,1364.5,1377.1,12.55,ok
26718,1260.777,1377.1,1392.9,15.78,ok
11082,1225.999,1354.4,1405.7,51.34,ok
2895,1274.402,1392.9,1415.4,22.55,ok
26710,1221.144,1327.8,1418.4,90.54,ok
26115,1108.991,1179.6,1434.2,254.56,ok
15326,1360.283,1415.4,1448.3,32.87,ok
9057,1372.268,1434.2,1472.3,38.08,ok
14438,1377.667,1448.3,1473.3,24.97,ok
12050,1398.163,1473.3,1479.2,5.9,ok
13805,1398.862,1479.2,1494.4,15.17,ok
25435,1396.133,1472.3,1503.8,31.57,ok
8812,1399.703,1494.4,1522.9,28.54,ok
26245,1365.553,1418.4,1524.6,106.27,ok
25259,1333.47,1405.7,1539.6,133.88,ok
22624,1448.145,1522.9,1550.6,27.72,ok
26281,1463.381,1524.6,1563.2,38.55,ok
15697,1484.344,1539.6,1602.5,62.88,ok
17182,1485.968,1550.6,1617.3,66.71,ok
26327,1491.171,1602.5,1618.1,15.64,ok
25977,1404.885,1503.8,1631.4,127.51,ok
8569,1507.192,1618.1,1640.5,22.36,ok
15150,1486.153,1563.2,1649.2,85.99,ok
25824,1562.058,1640.5,1656.9,16.41,ok
11555,1500.943,1617.3,1664.4,47.03,ok
25425,1557.693,1631.4,1677.4,46.05,ok
26752,1594.566,1664.4,1687.6,23.23,ok
25885,1591.735,1649.2,1696.0,46.81,ok
24675,1604.718,1677.4,1703.2,25.82,ok
26276,1637.489,1703.2,1708.4,5.21,ok
25320,1662.491,1708.4,1734.8,26.33,ok
10075,1593.552,1656.9,1735.6,78.66,ok
11800,1617.624,1687.6,1754.7,67.06,ok
25715,1707.167,1734.8,1756.7,21.93,ok
6836,1712.781,1754.7,1771.5,16.75,ok
14738,1733.103,1771.5,1788.8,17.3,ok
26112,1725.03,1756.7,1789.2,32.47,ok
18604,1635.021,1696.0,1794.1,98.13,ok
19186,1708.502,1735.6,1805.7,70.15,ok
26813,1746.702,1809.5,1833.2,23.78,ok
15832,1783.575,1814.8,1843.2,28.4,ok
25315,1831.92,1843.2,1854.2,11.0,ok
26210,1761.154,1809.9,1867.7,57.78,ok
26382,1853.641,1867.7,1870.6,2.93,ok
14674,1866.253,1870.6,1880.1,9.44,ok
