qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
14308,25.245,40.0,86.1,46.08,ok,1.694,1.694,1.672
4741,22.562,38.0,95.6,57.62,ok,2.306,3.01,2.961
11844,83.451,86.1,101.2,15.08,ok,0.857,0.857,0.845
26517,96.314,131.9,134.4,2.52,ok,0.065,0.065,0.064
25788,132.108,134.4,141.8,7.43,ok,0.223,0.223,0.22
4383,43.799,166.0,184.6,18.57,ok,1.264,1.264,0.969
9990,139.166,181.6,205.6,24.02,ok,1.352,1.352,1.334
10229,181.739,184.6,217.9,33.25,ok,1.645,1.645,1.621
10795,30.833,121.0,234.2,113.13,ok,1.252,1.252,1.249
25478,225.136,234.2,252.8,18.65,ok,0.657,0.657,0.627
26294,252.613,252.9,286.6,33.78,ok,0.6,0.6,0.6
14018,269.905,286.7,292.5,5.8,ok,0.671,0.671,0.615
7857,229.309,292.5,307.2,14.65,ok,1.312,1.312,0.949
17168,185.055,225.0,320.5,95.52,ok,1.136,1.136,0.96
25527,247.228,320.5,336.4,15.91,ok,1.566,1.566,1.075
26214,331.476,336.5,346.0,9.52,ok,1.006,1.006,0.98
26022,294.467,307.2,349.2,42.01,ok,0.244,0.305,0.286
26321,330.847,349.2,368.6,19.4,ok,0.836,0.836,0.761
3955,198.506,212.7,389.7,177.01,ok,0.473,0.473,0.456
26005,342.889,346.0,393.4,47.38,ok,0.939,0.939,0.924
11822,359.138,368.7,416.2,47.57,ok,1.298,1.298,1.237
25344,384.216,389.8,417.7,27.92,ok,0.604,0.604,0.587
26522,0.0,106.5,435.7,329.27,ok,1.0,1.0,0.98
25934,376.043,393.5,437.4,43.98,ok,0.826,0.826,0.755
11614,375.852,416.3,455.5,39.18,ok,0.882,0.882,0.717
26810,402.847,455.5,466.2,10.68,ok,1.438,1.438,1.098
12889,360.21,417.8,474.2,56.4,ok,1.394,1.394,1.038
26027,409.592,437.5,490.8,53.35,ok,0.836,0.836,0.724
15149,394.322,435.8,509.1,73.26,ok,1.047,1.047,0.847
25467,442.918,466.2,525.1,58.9,ok,1.197,1.197,1.063
14904,318.328,525.2,550.5,25.3,ok,1.844,1.844,0.638
25631,468.615,474.2,555.3,81.08,ok,0.583,0.583,0.566
10948,457.55,550.5,576.5,25.95,ok,1.094,1.094,0.679
26414,498.735,509.1,585.3,76.19,ok,0.297,0.297,0.282
6107,484.382,490.9,595.5,104.65,ok,0.832,0.832,0.805
14051,536.549,576.5,600.8,24.23,ok,0.819,0.819,0.667
7436,454.644,585.3,615.9,30.52,ok,1.219,1.219,0.624
26496,558.9,595.6,629.5,33.96,ok,0.803,0.803,0.666
7787,568.279,615.9,635.8,19.91,ok,1.318,1.318,1.032
26240,618.013,629.6,642.2,12.59,ok,1.038,1.038,0.978
17471,452.153,572.0,669.4,97.44,ok,1.026,1.026,0.605
12305,613.787,652.4,676.0,23.56,ok,1.315,1.315,1.174
9953,663.831,676.0,686.0,9.93,ok,0.927,0.927,0.871
25746,607.951,666.2,703.0,36.77,ok,1.289,1.289,1.082
16115,594.487,624.8,721.3,96.47,ok,1.182,1.182,1.145
14342,693.644,703.0,730.4,27.43,ok,2.618,2.618,2.496
7660,706.298,721.3,737.8,16.47,ok,1.2,1.509,1.397
26144,728.997,737.8,743.3,5.56,ok,1.296,1.296,1.239
