qid,arrival,start,finish,runtime,status,predicted_slowdown
14308,25.245,111.0,141.8,30.78,ok,1.924
4383,43.799,160.2,186.0,25.83,ok,2.924
26517,96.314,173.2,191.8,18.59,ok,3.84
25788,132.108,180.8,205.4,24.56,ok,11.609
4741,22.562,170.4,232.9,62.48,ok,0.68
11844,83.451,192.5,248.5,56.01,ok,1.132
9990,139.166,204.2,249.4,45.17,ok,9.37
10795,30.833,178.4,249.4,70.99,ok,2.442
10229,181.739,234.8,298.3,63.53,ok,8.091
7857,229.309,249.6,314.8,65.23,ok,9.993
25527,247.228,265.2,331.5,66.28,ok,7.726
17168,185.055,229.0,344.3,115.31,ok,8.616
25478,225.136,266.1,354.6,88.49,ok,9.181
14018,269.905,298.4,359.0,60.64,ok,7.383
26214,331.476,344.4,387.8,43.42,ok,6.509
26022,294.467,314.8,389.5,74.69,ok,7.58
26321,330.847,331.5,403.7,72.11,ok,8.297
26294,252.613,269.6,406.6,136.97,ok,10.979
14904,318.328,359.1,421.7,62.66,ok,11.565
3955,198.506,241.8,424.6,182.76,ok,14.403
26810,402.847,403.8,444.5,40.71,ok,6.938
26005,342.889,354.7,445.0,90.31,ok,6.291
26522,0.0,169.5,474.2,304.75,ok,0.96
11822,359.138,406.7,486.3,79.56,ok,7.334
25934,376.043,421.9,491.0,69.15,ok,7.997
12889,360.21,389.7,495.5,105.86,ok,8.504
25344,384.216,444.7,509.7,65.05,ok,8.355
7436,454.644,486.5,518.4,31.9,ok,6.684
10948,457.55,474.5,527.4,52.9,ok,6.225
26027,409.592,454.0,557.7,103.71,ok,9.193
15149,394.322,433.6,581.6,148.04,ok,9.534
25467,442.918,500.1,592.3,92.19,ok,7.081
11614,375.852,397.0,599.3,202.28,ok,7.272
17471,452.153,513.0,620.2,107.26,ok,8.701
14051,536.549,566.1,642.5,76.33,ok,10.448
7787,568.279,590.1,662.5,72.42,ok,7.817
26414,498.735,527.2,665.2,138.08,ok,10.072
25631,468.615,535.8,676.6,140.81,ok,9.932
26496,558.9,600.7,677.7,77.03,ok,10.084
25746,607.951,636.0,717.3,81.33,ok,7.97
9953,663.831,681.0,730.9,49.94,ok,7.574
6107,484.382,560.4,734.0,173.61,ok,10.657
26240,618.013,658.2,743.0,84.71,ok,7.015
12305,613.787,692.4,755.9,63.57,ok,6.011
16115,594.487,623.4,759.2,135.77,ok,12.224
26144,728.997,734.1,766.5,32.4,ok,4.739
7660,706.298,717.4,776.9,59.48,ok,5.301
12343,722.846,731.0,784.8,53.74,ok,5.327
