qid,start,runtime,status
16989,0.0,77.47,ok
25709,0.0,77.48,ok
10322,77.8,42.47,ok
7670,77.8,82.42,ok
16367,120.7,43.05,ok
10765,160.6,15.92,ok
25646,164.1,18.54,ok
13935,176.9,13.33,ok
11919,190.7,19.59,ok
7234,1000.0,252.17,ok
17391,1183.0,93.72,ok
14904,1252.7,35.14,ok
25420,1288.3,600,penalty
25420,1371.7,600,penalty
25250,1277.1,600,penalty
3676,1210.7,600,penalty
14904,1444.8,18.9,ok
25420,1450.8,600,penalty
16761,1464.0,600,penalty
25250,1444.9,82.09,ok
25678,1527.3,39.38,ok
10458,1567.1,11.39,ok
25576,1578.9,7.35,ok
25678,1545.6,45.11,ok
16761,1540.0,77.07,ok
25756,1617.4,9.29,ok
13920,1627.0,29.41,ok
15877,1656.8,1.95,ok
25271,1659.1,7.31,ok
16115,1666.7,20.56,ok
25249,1687.6,5.08,ok
15503,1591.2,112.41,ok
14114,1704.0,2.52,ok
13712,1586.5,161.57,ok
25699,1707.0,48.91,ok
8332,1756.4,7.13,ok
25300,1748.5,18.17,ok
25773,1763.8,13.86,ok
16586,1767.5,10.55,ok
18783,1693.0,94.48,ok
7777,1778.0,20.89,ok
25533,1799.3,24.05,ok
10521,1823.8,18.03,ok
15020,1842.2,2.79,ok
10533,1845.5,15.88,ok
12860,1861.7,10.31,ok
25701,1872.4,50.25,ok
23615,1787.9,137.62,ok
14183,1778.4,167.7,ok
15832,1926.3,25.06,ok
11927,1923.1,30.82,ok
25753,1946.4,11.72,ok
11565,1954.2,16.75,ok
11829,1951.9,25.66,ok
15024,1978.2,3.32,ok
9179,1982.0,8.16,ok
10172,1990.6,12.33,ok
11082,1971.3,46.07,ok
11959,2003.4,23.87,ok
14823,2017.9,9.77,ok
25386,2028.2,14.82,ok
25682,2043.5,23.78,ok
22761,2027.8,76.13,ok
22018,2104.4,6.41,ok
12297,2068.0,100.63,ok
13292,2169.0,37.79,ok
25321,2207.3,32.45,ok
20307,2111.3,147.89,ok
14371,2240.2,37.54,ok
14099,2259.5,30.13,ok
25623,1958.5,332.0,ok
13673,2290.1,3.59,ok
10155,2291.3,38.39,ok
12118,2294.5,58.6,ok
10342,2353.4,600,penalty
6725,2278.2,115.3,ok
10015,2330.1,108.19,ok
13162,2394.0,47.93,ok
13162,2423.9,28.64,ok
16969,2453.0,9.47,ok
7254,2462.8,600,penalty
12610,2442.3,600,penalty
16525,2438.6,39.42,ok
25508,2478.3,47.0,ok
7186,2525.6,3.75,ok
7186,2528.0,6.71,ok
10696,2529.9,20.29,ok
25762,2550.6,27.5,ok
7497,2535.2,43.98,ok
17018,2578.5,15.42,ok
11878,2579.5,45.74,ok
12102,2625.6,18.37,ok
25508,2527.7,116.65,ok
25687,2644.4,16.04,ok
7400,2644.8,24.2,ok
5254,2594.2,121.6,ok
17922,2669.4,86.23,ok
25454,2756.0,9.0,ok
10211,2716.1,50.24,ok
12183,2765.5,15.7,ok
13216,2660.8,139.39,ok
15014,2766.8,46.06,ok
10330,2800.5,16.82,ok
17693,2781.6,52.78,ok
25083,2834.7,4.27,ok
14607,2817.8,22.21,ok
8046,2813.3,44.33,ok
13282,2839.4,20.83,ok
25389,2858.1,14.16,ok
13074,2860.7,24.32,ok
8282,2872.8,600,penalty
8474,2885.3,25.33,ok
5532,2840.4,90.45,ok
25048,2911.0,38.98,ok
9000,2931.2,20.25,ok
8156,2951.8,14.07,ok
9000,2950.3,19.37,ok
25574,2953.4,21.42,ok
17650,2970.1,10.19,ok
3585,2975.2,15.64,ok
12388,2980.7,600,penalty
15172,2991.2,32.93,ok
13127,2966.2,70.75,ok
10259,3024.5,72.18,ok
14239,3037.2,76.81,ok
4399,3097.1,28.65,ok
14239,3066.1,67.19,ok
13485,3114.7,43.81,ok
19122,3126.7,41.93,ok
11559,3159.0,22.5,ok
12518,3133.7,47.89,ok
14854,3182.1,4.42,ok
25373,3182.2,24.11,ok
22013,3206.6,11.17,ok
13586,3218.3,43.63,ok
4601,3262.2,15.3,ok
17175,3169.0,108.64,ok
25486,3277.8,12.4,ok
17169,3290.6,2.59,ok
8624,3278.5,30.81,ok
12083,3187.0,142.91,ok
6703,3330.4,98.92,ok
5085,3309.6,178.61,ok
23393,3488.6,3.37,ok
6292,3294.0,197.96,ok
14034,3429.6,108.83,ok
11952,3492.4,46.37,ok
10614,3539.0,11.12,ok
13940,3539.2,12.98,ok
25781,3550.7,18.23,ok
25752,3492.3,88.15,ok
7653,3569.3,24.28,ok
13612,3594.0,11.48,ok
8403,3580.8,27.03,ok
25563,3605.9,32.65,ok
15733,3638.8,8.45,ok
14569,3608.3,62.05,ok
7346,3552.6,121.93,ok
13417,3670.7,19.46,ok
25629,3690.5,39.94,ok
7660,3730.9,13.36,ok
14521,3647.7,120.9,ok
15697,3744.6,46.81,ok
17332,3769.0,44.1,ok
16462,3813.5,2.99,ok
25303,3791.8,25.9,ok
12764,3818.2,24.68,ok
25448,3843.3,21.97,ok
12035,3817.0,59.05,ok
19992,3876.6,29.87,ok
25622,3865.6,83.16,ok
11661,3906.9,43.99,ok
25223,3949.2,7.13,ok
9351,3956.7,600,penalty
25415,3674.9,600,penalty
14507,3951.3,600,penalty
25223,4046.6,5.91,ok
14507,4049.7,23.9,ok
14051,4074.0,22.29,ok
4076,4096.7,15.91,ok
14672,4113.1,23.45,ok
10821,4136.9,21.03,ok
7587,4158.3,600,penalty
9351,4052.7,600,penalty
25436,4053.0,115.34,ok
16447,4168.6,2.33,ok
15508,4171.3,1.57,ok
12664,4173.2,2.3,ok
25362,4175.8,4.37,ok
25691,4180.5,12.13,ok
25394,4192.9,31.94,ok
25691,4225.2,29.33,ok
25394,4225.8,62.01,ok
11266,4228.5,69.94,ok
13827,4298.7,3.73,ok
9855,4288.3,16.71,ok
13380,4302.8,19.7,ok
11399,4305.3,63.84,ok
13591,4369.5,27.5,ok
16107,4397.4,24.7,ok
10804,4323.0,110.94,ok
25317,4254.9,179.7,ok
9618,4422.5,25.68,ok
7203,4435.7,18.36,ok
11881,4454.6,600,penalty
5646,4434.3,48.16,ok
14246,4448.7,170.04,ok
13917,4619.2,600,penalty
13917,4746.0,141.19,ok
16743,4890.7,9.74,ok
10237,4483.1,418.5,ok
25258,4908.0,30.24,ok
10237,4542.1,407.3,ok
16032,4903.9,57.19,ok
25469,4944.7,17.59,ok
14320,4962.7,600,penalty
12184,4961.6,36.79,ok
10499,4949.8,67.52,ok
6936,4998.7,32.7,ok
11821,5018.0,15.9,ok
11543,5031.8,16.17,ok
14936,5034.3,35.03,ok
14936,5047.1,43.88,ok
11547,5069.7,57.67,ok
10731,5127.8,6.05,ok
9057,5051.3,138.42,ok
9447,5091.4,131.32,ok
9924,5223.1,91.33,ok
17514,5314.9,25.52,ok
13313,5190.2,188.2,ok
25704,5134.2,269.77,ok
25703,5340.7,68.16,ok
25282,5404.3,14.2,ok
19169,5419.0,27.4,ok
17034,5446.8,19.2,ok
5216,5466.4,26.6,ok
16547,5493.5,1.67,ok
11154,5495.5,25.8,ok
2837,5409.3,118.54,ok
16119,5521.7,15.13,ok
11540,5528.1,9.84,ok
7414,5538.3,7.47,ok
11170,5546.1,4.89,ok
25037,5551.4,3.73,ok
10556,5555.4,22.87,ok
6456,5578.7,5.42,ok
19844,5584.4,45.29,ok
10075,5630.1,17.05,ok
7857,5647.5,9.81,ok
12406,5378.9,279.68,ok
25324,5657.6,7.08,ok
10262,5537.1,136.25,ok
11999,5674.1,2.5,ok
25650,5677.1,18.34,ok
25566,5665.0,54.78,ok
25283,5695.8,34.41,ok
19727,5720.2,25.64,ok
15194,5659.4,90.84,ok
25624,5746.2,34.64,ok
10170,5730.6,59.55,ok
7551,5750.6,45.81,ok
19865,5790.5,600,penalty
11437,5796.8,600,penalty
17087,5781.2,37.33,ok
11974,5819.1,15.35,ok
10074,5834.9,7.68,ok
15259,5842.9,5.82,ok
10182,5849.0,10.61,ok
10182,5877.7,600,penalty
12212,5859.9,39.48,ok
10601,5899.8,9.45,ok
12212,5877.7,55.09,ok
13308,5933.3,16.87,ok
13626,5950.5,6.9,ok
13308,5949.9,7.59,ok
11982,5958.0,12.83,ok
12849,5971.2,600,penalty
25382,5957.9,600,penalty
14786,5909.6,82.51,ok
25350,5992.5,10.71,ok
3714,6003.5,7.13,ok
12429,6010.9,21.6,ok
25770,6036.7,11.14,ok
25770,6032.9,14.95,ok
25770,6041.6,6.52,ok
25419,6048.1,31.76,ok
3050,6048.1,33.45,ok
16299,6048.6,121.23,ok
5119,6082.0,121.98,ok
25284,6204.5,12.46,ok
8925,6217.3,13.14,ok
12465,6170.2,88.32,ok
12941,6259.1,21.44,ok
14043,6080.3,240.19,ok
20789,6231.0,92.66,ok
15022,6324.1,3.33,ok
10125,6321.1,24.3,ok
10759,6345.7,7.66,ok
17817,6353.8,16.57,ok
11810,6370.7,19.11,ok
13135,6390.2,11.73,ok
12107,6281.1,126.54,ok
16386,6402.4,20.5,ok
25425,6423.3,15.26,ok
12508,6327.8,112.62,ok
13503,6438.9,18.97,ok
15567,6440.8,19.63,ok
12647,6458.4,16.52,ok
13597,6408.2,101.49,ok
13026,6475.4,46.18,ok
15574,6510.0,23.69,ok
25679,6534.1,26.62,ok
5463,6460.8,147.25,ok
11889,6608.4,600,penalty
18465,6561.1,55.8,ok
7316,6521.9,147.75,ok
18934,6617.3,132.67,ok
15010,6750.5,38.42,ok
5310,6789.3,600,penalty
25287,6679.2,600,penalty
25287,6670.1,600,penalty
5310,6871.4,600,penalty
15010,6869.0,55.28,ok
25287,6864.9,600,penalty
10110,6924.7,15.95,ok
12096,6940.9,1.64,ok
15015,6942.9,10.92,ok
17856,6954.1,1.65,ok
10316,6956.1,9.55,ok
10316,6969.0,20.89,ok
20103,6969.8,25.2,ok
14695,6993.2,4.28,ok
15300,7001.4,5.71,ok
15300,7002.7,13.18,ok
12991,7000.8,29.33,ok
14203,7016.4,21.89,ok
25545,7030.5,25.35,ok
14628,7038.7,600,penalty
25700,7007.4,600,penalty
10722,7056.2,600,penalty
10722,7151.9,600,penalty
10722,7158.8,600,penalty
14628,7156.5,600,penalty
14628,7225.5,600,penalty
10722,7226.8,600,penalty
25545,7225.5,600,penalty
10722,7319.2,600,penalty
