qid,start,runtime,status
8060,126304.0,600,penalty
17650,126304.0,600,penalty
16206,126304.0,600,penalty
25313,126304.0,22.48,ok
13485,126383.9,15.13,ok
10906,126399.6,600,penalty
3030,126383.9,600,penalty
25372,126383.7,22.28,ok
25642,126406.3,11.48,ok
4399,126418.3,16.11,ok
14246,126326.8,110.24,ok
17162,126434.7,5.49,ok
13935,126437.4,2.97,ok
13417,126440.5,10.1,ok
7026,126440.8,11.41,ok
25134,126450.9,18.7,ok
12462,126452.7,22.73,ok
15678,126463.8,29.06,ok
25714,126463.8,35.28,ok
25712,126493.3,8.04,ok
10274,126499.4,600,penalty
10211,126501.6,600,penalty
25765,126470.0,600,penalty
22761,126475.8,600,penalty
6294,126564.3,11.85,ok
10742,126564.3,22.64,ok
19920,126564.3,25.39,ok
14203,126590.2,600,penalty
10833,126587.3,600,penalty
23470,126564.1,56.72,ok
7392,126621.3,20.0,ok
10731,126641.6,6.33,ok
25699,126576.5,105.64,ok
10867,126682.4,600,penalty
10765,126673.6,16.33,ok
14710,126690.3,16.69,ok
13093,126668.5,38.71,ok
11163,126648.3,600,penalty
8282,126707.4,22.53,ok
14972,126730.3,8.33,ok
25258,126707.9,50.3,ok
9968,126758.6,14.5,ok
12429,126738.9,50.56,ok
10521,126773.5,18.96,ok
7141,126791.0,15.07,ok
15194,126745.6,89.48,ok
7497,126835.4,14.43,ok
25629,126806.4,65.94,ok
8403,126872.8,45.99,ok
2837,126790.0,132.54,ok
11559,126919.3,18.28,ok
25682,126923.1,28.12,ok
12575,126792.8,159.61,ok
15574,126951.5,10.03,ok
13360,126937.9,26.26,ok
12380,126952.7,19.36,ok
11123,126962.1,11.33,ok
19935,126850.3,169.05,ok
25321,126964.5,56.48,ok
13250,127021.5,10.61,ok
7551,127019.7,25.9,ok
14381,127046.1,3.05,ok
25469,127049.6,16.67,ok
14319,127032.6,59.27,ok
25340,127092.2,10.24,ok
25388,127103.3,600,penalty
10109,126972.6,149.13,ok
25261,127066.6,55.39,ok
8678,127122.1,12.74,ok
12137,127122.6,14.13,ok
7400,127135.2,8.81,ok
25676,127137.2,600,penalty
25478,127171.7,15.59,ok
25680,127187.7,51.54,ok
14786,127144.5,95.5,ok
25361,126973.8,269.82,ok
14114,127217.8,27.51,ok
13092,127239.7,600,penalty
23703,127240.4,20.32,ok
6456,127261.1,4.98,ok
13540,127244.0,22.07,ok
25336,127266.6,13.22,ok
15093,127280.3,1.87,ok
17034,127245.7,83.5,ok
10861,127282.7,57.85,ok
25413,127341.0,13.6,ok
9414,127355.1,2.96,ok
25464,127316.3,55.69,ok
12689,127372.5,4.88,ok
12102,127358.5,28.52,ok
25501,127387.5,600,penalty
11052,127266.5,123.37,ok
13341,127377.8,12.5,ok
10618,127390.3,600,penalty
9618,127390.6,600,penalty
23895,127329.6,600,penalty
11543,127456.6,40.9,ok
10371,127456.6,48.47,ok
14250,127497.9,22.26,ok
7857,127505.4,18.46,ok
11830,127452.7,72.07,ok
13541,127520.5,25.73,ok
5463,127524.6,109.63,ok
25345,127634.7,10.34,ok
17793,127645.5,5.53,ok
25279,127550.5,102.43,ok
25287,127546.6,106.6,ok
11787,127651.5,600,penalty
6292,127653.9,600,penalty
13210,127653.3,600,penalty
8277,127525.1,139.42,ok
4883,127664.9,16.45,ok
13074,127681.7,4.08,ok
10738,127686.1,17.6,ok
25366,127725.9,45.83,ok
14308,127725.7,52.08,ok
10001,127726.4,51.9,ok
25206,127778.7,22.21,ok
7034,127772.3,36.03,ok
4745,127809.1,15.84,ok
12054,127825.4,600,penalty
25394,127778.1,84.01,ok
25354,127704.0,193.3,ok
7107,127897.7,600,penalty
7670,127801.4,123.39,ok
25600,127925.3,600,penalty
8046,127891.6,46.74,ok
15679,127862.5,92.34,ok
17832,127955.2,1.9,ok
13839,127970.8,2.32,ok
25355,127938.8,39.85,ok
12827,127979.1,18.18,ok
13922,127973.5,47.52,ok
12118,128021.4,31.92,ok
12035,127996.3,59.07,ok
25673,128053.7,14.39,ok
7609,127957.4,118.54,ok
25471,128056.0,33.29,ok
4076,128076.4,600,penalty
10695,128089.6,12.11,ok
12431,128102.1,6.41,ok
11399,127998.2,116.42,ok
11038,128109.0,600,penalty
17693,128068.7,79.16,ok
17331,128148.4,2.78,ok
23189,128156.2,49.35,ok
14610,128114.9,113.43,ok
12829,128207.1,21.3,ok
9501,128228.7,600,penalty
25566,128205.9,50.1,ok
6388,128256.7,12.48,ok
13949,128269.6,9.67,ok
10458,128279.7,600,penalty
25412,128151.6,144.85,ok
12181,128229.1,81.1,ok
13826,128310.7,24.8,ok
7674,128335.9,3.61,ok
12370,128296.8,600,penalty
13932,128339.9,600,penalty
17213,128344.4,600,penalty
12646,128316.8,56.0,ok
9792,128373.1,2.74,ok
16743,128376.1,5.7,ok
10243,128382.1,1.91,ok
17987,128384.4,1.99,ok
7011,128386.7,2.32,ok
10187,128412.8,4.99,ok
11628,128418.2,12.01,ok
25367,128430.6,13.19,ok
11928,128444.2,17.26,ok
10866,128461.9,8.84,ok
13546,128406.8,80.11,ok
5460,128389.3,111.71,ok
13575,128487.4,26.43,ok
17297,128471.2,78.53,ok
16233,128550.2,38.47,ok
22447,128589.1,8.22,ok
11661,128597.7,43.24,ok
14823,128641.3,8.44,ok
13313,128501.5,169.62,ok
13712,128408.1,267.9,ok
25530,128514.2,166.81,ok
6727,128681.6,600,penalty
10569,128671.6,36.09,ok
11952,128650.2,71.94,ok
18604,128708.1,57.39,ok
25353,128751.1,600,penalty
15409,128765.8,50.97,ok
25651,128817.2,600,penalty
25370,128838.1,4.41,ok
15300,128843.0,4.05,ok
13127,128722.6,157.83,ok
25373,128902.9,600,penalty
19186,128880.7,55.07,ok
11889,128936.2,600,penalty
16853,128968.1,60.57,ok
10556,128999.6,29.63,ok
23782,129029.6,21.12,ok
11696,128847.6,252.85,ok
19571,129029.2,108.01,ok
25553,128676.3,600,penalty
8614,129051.1,110.35,ok
10543,129100.9,104.44,ok
16525,129222.7,600,penalty
25628,129205.7,90.14,ok
10682,129296.3,2.63,ok
10705,129299.3,600,penalty
25577,129285.6,20.22,ok
9876,129306.2,14.11,ok
7205,129320.7,600,penalty
10804,129137.6,222.59,ok
10755,129360.6,12.83,ok
11829,129365.7,15.01,ok
11341,129381.0,11.22,ok
12647,129385.5,18.15,ok
25441,129392.6,11.14,ok
25688,129404.1,600,penalty
25762,129373.8,36.25,ok
5887,129404.1,29.84,ok
25687,129434.4,9.81,ok
25278,129410.5,36.77,ok
12305,129444.5,14.63,ok
14018,129459.6,5.82,ok
15077,129447.7,26.77,ok
17169,129474.9,2.62,ok
8730,129465.7,12.42,ok
12855,129470.5,24.0,ok
17856,129478.9,19.61,ok
15204,129499.0,600,penalty
11949,129494.9,600,penalty
6409,129561.4,600,penalty
7414,129565.2,600,penalty
25385,129478.1,118.13,ok
12909,129596.7,21.65,ok
13614,129624.2,600,penalty
13404,129618.8,10.11,ok
14854,129629.4,2.14,ok
25294,129161.8,507.15,ok
5114,129642.1,30.11,ok
10172,129672.7,13.15,ok
9593,129688.1,7.58,ok
17875,129669.3,85.77,ok
25624,129755.5,36.77,ok
9972,129792.6,600,penalty
6703,129686.3,124.52,ok
11974,129811.2,9.74,ok
8332,129821.3,3.12,ok
12849,129632.1,220.07,ok
12760,129696.1,157.13,ok
9410,129824.8,48.13,ok
25334,129873.4,600,penalty
14904,129852.6,600,penalty
13917,129853.7,600,penalty
5216,129856.6,600,penalty
25746,129936.1,24.55,ok
25531,129935.7,24.97,ok
12991,129936.0,56.9,ok
25420,129961.0,34.77,ok
11170,129993.4,29.3,ok
10128,130023.0,600,penalty
12877,129935.7,96.84,ok
25350,130033.1,12.26,ok
8178,130045.8,15.24,ok
17125,129961.0,112.57,ok
12343,130061.4,22.23,ok
16969,130084.1,4.56,ok
7226,130089.7,5.03,ok
6725,130095.1,600,penalty
12184,130074.0,35.75,ok
11719,129996.3,128.62,ok
10375,130110.2,15.68,ok
12473,130125.3,8.84,ok
25570,130134.4,19.46,ok
10342,130160.0,600,penalty
10259,130154.3,12.52,ok
3969,130126.2,68.36,ok
8078,130089.0,151.86,ok
9351,130194.9,70.57,ok
25666,130241.3,33.54,ok
14364,130167.3,140.28,ok
25552,130275.3,41.85,ok
19031,130265.9,62.89,ok
10722,130329.2,600,penalty
6107,130226.0,107.81,ok
25310,130317.5,48.62,ok
13925,130366.5,600,penalty
16606,130393.8,23.7,ok
12959,130334.2,83.41,ok
12406,130430.1,600,penalty
10182,130418.0,600,penalty
25097,130418.0,20.28,ok
15259,130438.6,8.56,ok
14043,130307.9,157.16,ok
14051,130447.5,18.71,ok
25759,130465.6,15.93,ok
17990,130492.0,600,penalty
12915,130468.8,29.35,ok
13308,130499.2,9.29,ok
4618,130481.9,31.96,ok
13009,130509.4,16.45,ok
5957,130526.2,11.1,ok
18783,130498.6,600,penalty
9920,130538.0,600,penalty
8198,130514.4,35.74,ok
20103,130580.7,23.45,ok
3487,130604.6,600,penalty
8447,130611.0,22.62,ok
24675,130611.0,32.77,ok
14313,130644.2,6.55,ok
9822,130651.2,16.96,ok
10406,130634.1,47.56,ok
18059,130682.0,11.65,ok
15010,130668.5,69.69,ok
14129,130576.8,181.37,ok
7605,130758.5,3.04,ok
7399,130762.0,10.92,ok
25499,130773.3,600,penalty
13321,130682.7,107.62,ok
12530,130790.7,22.23,ok
9651,130813.3,600,penalty
6251,130694.1,129.29,ok
25576,130836.6,10.31,ok
25369,130847.3,27.03,ok
5085,130874.8,600,penalty
14034,130879.3,600,penalty
14553,130823.8,83.36,ok
25250,130738.5,173.51,ok
25403,130912.3,27.1,ok
11345,130939.9,1.18,ok
13307,130942.2,9.47,ok
14628,130907.7,48.32,ok
11540,130941.7,26.8,ok
10678,130958.5,23.48,ok
9752,130982.3,600,penalty
14809,130969.3,17.23,ok
25683,130952.4,41.49,ok
13805,130986.9,17.99,ok
12388,131005.3,19.82,ok
11769,131025.6,12.59,ok
8156,131038.5,7.27,ok
15614,131044.2,16.01,ok
25496,131046.3,600,penalty
12346,130949.3,131.06,ok
17922,131080.8,56.96,ok
25251,131125.1,13.31,ok
25689,131138.8,4.5,ok
19605,131138.2,38.84,ok
10614,131177.4,10.76,ok
7802,131188.6,600,penalty
13438,131060.6,166.93,ok
14677,130994.3,249.67,ok
25492,131228.0,22.72,ok
10074,131244.5,8.69,ok
25781,131253.7,14.23,ok
3924,131258.1,36.41,ok
25701,131251.1,48.19,ok
3050,131295.0,15.43,ok
25246,131310.9,8.34,ok
13912,131299.7,19.89,ok
12846,131320.0,7.29,ok
22951,131319.7,600,penalty
25447,131143.6,248.49,ok
12269,131268.2,127.8,ok
12511,131327.7,95.38,ok
25593,131392.7,46.24,ok
10073,131423.4,30.61,ok
12245,131454.4,8.98,ok
10639,131439.3,26.51,ok
15889,131463.8,7.89,ok
12878,131396.4,85.26,ok
10110,131472.1,29.58,ok
11112,131502.1,3.01,ok
9179,131505.5,26.8,ok
10319,131418.8,120.55,ok
25434,131539.8,600,penalty
11417,131466.4,84.0,ok
9398,131532.7,600,penalty
16177,131482.0,86.29,ok
6373,131568.7,11.26,ok
10499,131550.8,69.46,ok
10330,131617.9,10.1,ok
10549,131620.6,12.52,ok
5123,131633.6,3.6,ok
12150,131628.3,31.4,ok
25752,131604.7,144.28,ok
18997,131749.4,600,penalty
10664,131637.6,145.79,ok
19844,131660.1,141.22,ok
25283,131801.8,600,penalty
13678,131783.8,47.79,ok
25397,131580.4,251.45,ok
15697,131832.4,35.07,ok
10893,131868.0,24.47,ok
17175,131814.7,84.04,ok
10533,131881.0,18.92,ok
13593,131900.4,11.03,ok
17087,131899.3,23.53,ok
25702,131911.9,600,penalty
25377,131923.4,12.12,ok
18656,131893.1,52.19,ok
7653,131936.0,24.38,ok
19169,131960.9,35.66,ok
10237,131832.1,600,penalty
13612,131997.5,600,penalty
16434,131997.0,600,penalty
13133,131945.7,115.64,ok
4722,132073.5,15.04,ok
11235,132073.5,25.43,ok
25562,132074.5,28.37,ok
14409,132089.2,20.74,ok
14578,132099.4,16.18,ok
11584,132103.2,31.87,ok
19122,132116.2,43.46,ok
25559,132160.2,4.41,ok
9924,132061.6,119.29,ok
7308,132135.6,58.02,ok
16989,132110.4,83.25,ok
10335,132194.0,25.52,ok
25263,132194.3,600,penalty
14672,132165.1,68.18,ok
12661,132220.0,600,penalty
12465,132181.7,83.22,ok
11807,132234.9,60.32,ok
13790,132265.3,68.44,ok
10555,132312.2,33.77,ok
16107,132295.8,50.27,ok
3585,132346.4,9.7,ok
12950,132334.1,24.49,ok
11565,132356.6,15.43,ok
13615,132372.4,2.7,ok
14607,132359.1,17.72,ok
11798,132377.3,3.9,ok
2843,132381.5,600,penalty
11216,132346.6,54.18,ok
9594,132401.3,3.02,ok
10322,132375.5,52.36,ok
25679,132404.7,28.06,ok
4886,132453.0,600,penalty
25448,132428.4,34.64,ok
11631,132433.3,65.02,ok
14464,132312.0,198.41,ok
13292,132463.4,75.7,ok
17536,132539.5,5.24,ok
11007,132498.7,46.12,ok
13509,132545.7,4.73,ok
16115,132550.8,39.3,ok
6607,132524.7,72.17,ok
11968,132545.2,52.19,ok
18294,132597.7,2.33,ok
11100,132590.7,13.27,ok
13276,132597.4,19.49,ok
25315,132600.7,17.21,ok
14691,132617.3,12.96,ok
25750,132604.4,26.3,ok
13282,132618.3,12.94,ok
25718,132510.9,124.45,ok
12526,132630.6,11.65,ok
10189,132631.3,37.23,ok
15776,132632.3,600,penalty
11182,132668.9,10.87,ok
25342,132643.1,47.42,ok
7393,132680.2,32.57,ok
25715,132713.2,20.0,ok
7175,132636.2,600,penalty
11883,132735.7,600,penalty
10122,132690.9,600,penalty
11855,132806.7,27.39,ok
17168,132806.6,95.56,ok
15338,132902.7,600,penalty
11215,132806.7,120.83,ok
24380,132834.6,111.96,ok
14222,132928.0,57.04,ok
25563,132971.9,32.05,ok
6383,132985.4,25.01,ok
7203,133004.6,5.93,ok
15877,133010.9,37.96,ok
25395,132947.0,114.23,ok
25507,133010.8,52.73,ok
