qid,arrival,start,finish,serial_runtime,wait_time,n_concurrent,overlapping_ids
10003,4.7,4.69,31.29,26.6,0,0,
10015,34.8,34.79,102.99,68.2,0,9,10058;10068;10073;10075;1008;10083;10091;10211;10218
10058,48.0,47.96,53.61,5.65,0,1,10015
10068,57.1,57.09,57.56,0.46,0,1,10015
10073,58.8,58.79,80.39,21.6,0,3,10015;10075;1008
10075,60.5,60.48,79.28,18.8,0,3,10015;10073;1008
1008,61.1,61.08,69.92,8.84,0,3,10015;10073;10075
10083,81.2,81.19,90.45,9.26,0,2,10015;10091
10091,90.4,90.38,108.18,17.8,0,4,10015;10083;10211;10218
10211,102.7,102.7,130.0,27.3,0,3,10015;10091;10218
10218,102.9,102.91,127.01,24.1,0,3,10015;10091;10211
10229,137.9,137.94,149.34,11.4,0,0,
10234,155.8,155.8,157.88,2.08,0,0,
10237,158.2,158.19,296.19,138.0,0,18,10242;10243;10257;10262;10294;10316;10335;10361;10368;10391;10399;10450;10506;10521;1054;10555;10606;10610
10242,160.2,160.2,183.5,23.3,0,5,10237;10243;10257;10262;10294
10243,162.2,162.22,168.59,6.37,0,3,10237;10242;10257
10257,165.9,165.85,166.97,1.12,0,3,10237;10242;10243
10262,173.3,173.29,579.09,405.8,0,43,10237;10242;10294;10316;10335;10361;10368;10391;10399;10450;10506;10521;1054;10555;10606;10610;10645;10664;10678;10682;10711;10759;10817;10828;10829;10833;10861;10866;10990;10991;11063;11100;11144;11154;11156;11160;11193;11210;11289;11345;11358;11439;11467
10294,178.9,178.95,219.05,40.1,0,4,10237;10242;10262;10316
10316,182.4,183.5,235.8,52.3,1.11,5,10237;10262;10294;10335;10361
10335,191.9,219.05,220.06,1.01,27.19,3,10237;10262;10316
10361,193.4,220.06,237.96,17.9,26.7,4,10237;10262;10316;10368
10368,196.8,235.8,238.31,2.51,38.99,4,10237;10262;10361;10391
10391,201.4,237.96,250.96,13.0,36.58,4,10237;10262;10368;10399
10399,207.5,238.31,280.21,41.9,30.85,8,10237;10262;10391;10450;10506;10521;1054;10555
10450,222.8,250.96,252.26,1.3,28.12,3,10237;10262;10399
10506,225.1,252.26,265.76,13.5,27.19,3,10237;10262;10399
10521,232.3,265.76,268.68,2.92,33.47,3,10237;10262;10399
1054,241.3,268.68,279.88,11.2,27.41,3,10237;10262;10399
10555,241.7,279.88,285.2,5.32,38.14,4,10237;10262;10399;10606
10606,251.1,280.21,301.21,21.0,29.12,6,10237;10262;10555;10610;10645;10664
10610,253.0,285.2,301.0,15.8,32.23,5,10237;10262;10606;10645;10664
10645,253.6,296.19,297.77,1.58,42.56,3,10262;10606;10610
10664,283.4,297.77,368.87,71.1,14.4,10,10262;10606;10610;10678;10682;10711;10759;10817;10828;10829
10678,317.1,317.08,366.88,49.8,0,7,10262;10664;10682;10711;10759;10817;10828
10682,333.6,333.6,341.33,7.73,0,3,10262;10664;10678
10711,337.2,341.33,343.24,1.91,4.1,3,10262;10664;10678
10759,338.3,343.24,348.17,4.93,4.98,3,10262;10664;10678
10817,349.8,349.79,351.11,1.32,0,3,10262;10664;10678
10828,355.6,355.59,469.89,114.3,0,12,10262;10664;10678;10829;10833;10861;10866;10990;10991;11063;11100;11144
10829,356.9,366.88,387.98,21.1,9.99,4,10262;10664;10828;10833
10833,363.7,368.87,440.37,71.5,5.14,6,10262;10828;10829;10861;10866;10990
10861,364.1,387.98,413.78,25.8,23.9,3,10262;10828;10833
10866,388.1,413.78,419.54,5.76,25.7,3,10262;10828;10833
10990,391.1,419.54,460.44,40.9,28.46,5,10262;10828;10833;10991;11063
10991,401.9,440.37,457.87,17.5,38.43,3,10262;10828;10990
11063,405.7,457.87,627.67,169.8,52.2,23,10262;10828;10990;11100;11144;11154;11156;11160;11193;11210;11289;11345;11358;11439;11467;11469;11471;11487;11547;11556;11584;11598;11700
11100,413.0,460.44,462.47,2.03,47.42,3,10262;10828;11063
11144,420.9,462.47,485.47,23.0,41.54,4,10262;10828;11063;11154
11154,423.0,469.89,492.69,22.8,46.92,5,10262;11063;11144;11156;11160
11156,457.9,485.47,490.53,5.06,27.57,3,10262;11063;11154
11160,472.8,490.53,497.09,6.56,17.71,3,10262;11063;11154
11193,500.9,500.87,530.17,29.3,0,3,10262;11063;11210
