-- Query: 14996
-- Execution time: 69.753242142s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_17	10.00	10	root		time:1m9.7s, loops:2, RU:174874.170553, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#31, Column#32, Column#33	5.45 KB	N/A
└─TopN_21	10.00	10	root		time:1m9.7s, loops:2	Column#32:desc, offset:0, count:10	2.45 KB	0 Bytes
  └─TableReader_161	10.00	40	root		time:1m9.7s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_160	3.58 KB	N/A
    └─ExchangeSender_160	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m9.7s, min:1m9.6s, avg: 1m9.6s, p80:1m9.7s, p95:1m9.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_159	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m9.7s, min:1m9.6s, avg: 1m9.6s, p80:1m9.7s, p95:1m9.7s, iters:4, tasks:2, threads:4}	Column#32:desc, offset:0, count:10	N/A	N/A
        └─Projection_155	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1m9.6s, min:1m9.5s, avg: 1m9.5s, p80:1m9.6s, p95:1m9.6s, iters:1024, tasks:2, threads:4}	Column#31, Column#32, div(Column#33, cast(case(eq(Column#52, 0), 1, Column#52), decimal(20,0) BINARY))->Column#33, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name	N/A	N/A
          └─HashAgg_156	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1m9.4s, min:1m9.3s, avg: 1m9.4s, p80:1m9.4s, p95:1m9.4s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, funcs:sum(Column#53)->Column#31, funcs:sum(Column#54)->Column#32, funcs:sum(Column#55)->Column#52, funcs:sum(Column#56)->Column#33, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_158	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1m9s, min:1m9s, avg: 1m9s, p80:1m9s, p95:1m9s, iters:516, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1347ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_157	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1m9.2s, min:0s, avg: 34.6s, p80:1m9.2s, p95:1m9.2s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_153	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1m9.1s, min:0s, avg: 34.5s, p80:1m9.1s, p95:1m9.1s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, funcs:sum(tpch_sf40.lineitem.l_quantity)->Column#53, funcs:sum(tpch_sf40.lineitem.l_extendedprice)->Column#54, funcs:count(tpch_sf40.partsupp.ps_supplycost)->Column#55, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#56	N/A	N/A
                  └─Projection_142	968584808.60	960049160	mpp[tiflash]		tiflash_task:{proc max:36.3s, min:0s, avg: 18.2s, p80:36.3s, p95:36.3s, iters:18314, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
                    └─Projection_132	968584808.60	960049160	mpp[tiflash]		tiflash_task:{proc max:36.3s, min:0s, avg: 18.2s, p80:36.3s, p95:36.3s, iters:18314, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_partkey	N/A	N/A
                      └─HashJoin_131	968584808.60	960049160	mpp[tiflash]		tiflash_task:{proc max:36.3s, min:0s, avg: 18.2s, p80:36.3s, p95:36.3s, iters:18314, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)]	N/A	N/A
                        ├─Projection_59(Build)	32141938.80	32000000	mpp[tiflash]		tiflash_task:{proc max:967.5ms, min:0s, avg: 483.7ms, p80:967.5ms, p95:967.5ms, iters:1016, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                        │ └─HashJoin_51	32141938.80	32000000	mpp[tiflash]		tiflash_task:{proc max:967.5ms, min:0s, avg: 483.7ms, p80:967.5ms, p95:967.5ms, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
                        │   ├─ExchangeReceiver_55(Build)	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:286.5ms, min:0s, avg: 143.2ms, p80:286.5ms, p95:286.5ms, iters:484, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 65ms}	stream_count: 2	N/A	N/A
                        │   │ └─ExchangeSender_54	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:348.9ms, min:0s, avg: 174.4ms, p80:348.9ms, p95:348.9ms, iters:126, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
