-- Query: 17078
-- Execution time: .306503663s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_9	25.00	25	root		time:243.3ms, loops:2, RU:85.169118	Column#12:desc	1.38 KB	0 Bytes
└─TableReader_90	25.00	25	root		time:243.2ms, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_89	2.15 KB	N/A
  └─ExchangeSender_89	25.00	25	mpp[tiflash]		tiflash_task:{time:242.1ms, loops:2, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_12	25.00	25	mpp[tiflash]		tiflash_task:{time:242.1ms, loops:2, threads:2}	tpch_sf40.nation.n_name, Column#12	N/A	N/A
      └─Projection_85	25.00	25	mpp[tiflash]		tiflash_task:{time:242.1ms, loops:2, threads:2}	Column#12, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_86	25.00	25	mpp[tiflash]		tiflash_task:{time:242.1ms, loops:2, threads:2}	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#12, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_88	25.00	400000	mpp[tiflash]		tiflash_task:{time:239.1ms, loops:42, threads:2}, tiflash_wait: {pipeline_queue_wait: 97ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_87	25.00	400000	mpp[tiflash]		tiflash_task:{time:240.2ms, loops:256, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_83	25.00	400000	mpp[tiflash]		tiflash_task:{time:233.2ms, loops:256, threads:2}	group by:tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, 	N/A	N/A
                └─Projection_72	399988.00	400000	mpp[tiflash]		tiflash_task:{time:169.2ms, loops:7, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                  └─HashJoin_71	399988.00	400000	mpp[tiflash]		tiflash_task:{time:169.2ms, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
                    ├─ExchangeReceiver_42(Build)	25.00	25	mpp[tiflash]		tiflash_task:{time:56.2ms, loops:1, threads:2}, tiflash_wait: {pipeline_queue_wait: 55ms}		N/A	N/A
                    │ └─ExchangeSender_41	25.00	25	mpp[tiflash]		tiflash_task:{time:55.2ms, loops:1, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                    │   └─TableFullScan_40	25.00	25	mpp[tiflash]	table:n	tiflash_task:{time:55.2ms, loops:1, threads:2}, tiflash_wait: {pipeline_queue_wait: 54ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:54ms, max_local_stream:54ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                    └─TableFullScan_43(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:166.2ms, loops:7, threads:2}, tiflash_wait: {pipeline_breaker_wait: 55ms, pipeline_queue_wait: 108ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:164ms, max_local_stream:165ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:2ms}}	keep order:false	N/A	N/A
