-- Query: 25257
-- SQL: WITH ranked_orders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_orderdate DESC) AS order_r...
-- Execution time: 1.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_60	100.70	100	root		time:1.32s, loops:2, RU:9363.411328, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_retailprice, coalesce(Column#51, 0)->Column#103, coalesce(Column#52, 0)->Column#104, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, case(not(isnull(tpch_sf40.orders.o_orderkey)), Yes, No)->Column#105	27.5 KB	N/A
└─Sort_61	100.70	100	root		time:1.32s, loops:2	tpch_sf40.part.p_partkey	29.1 KB	0 Bytes
  └─HashJoin_63	100.70	100	root		time:1.32s, loops:2, build_hash_table:{total:22.1ms, fetch:22.1ms, build:0s}, probe:{concurrency:2, total:2.64s, max:1.32s, probe:40.7µs, fetch and wait:2.64s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	0 Bytes	0 Bytes
    ├─IndexJoin_324(Build)	1.00	0	root		time:22.1ms, loops:1	inner join, inner:TableReader_321, outer key:tpch_sf40.supplier.s_nationkey, inner key:tpch_sf40.nation.n_nationkey, equal cond:eq(tpch_sf40.supplier.s_nationkey, tpch_sf40.nation.n_nationkey)	0 Bytes	N/A
    │ ├─TableReader_365(Build)	1.00	0	root		time:19.8ms, loops:1, cop_task: {num: 1, max: 0s, proc_keys: 0, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_364	484 Bytes	N/A
    │ │ └─ExchangeSender_364	1.00	0	mpp[tiflash]		tiflash_task:{time:21.3ms, loops:0, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │ │   └─TableFullScan_362	1.00	0	mpp[tiflash]	table:s	tiflash_task:{time:21.3ms, loops:0, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:400000, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:4ms, min_local_stream:10ms, max_local_stream:10ms, dtfile:{data_scanned_rows:0, data_skipped_rows:400000, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:400000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:4ms}}	pushed down filter:gt(tpch_sf40.supplier.s_acctbal, 10000.00), keep order:false	N/A	N/A
    │ └─TableReader_321(Probe)	1.00	0	root			data:TableRangeScan_320	N/A	N/A
    │   └─TableRangeScan_320	1.00	0	cop[tikv]	table:n		range: decided by [tpch_sf40.supplier.s_nationkey], keep order:false	N/A	N/A
    └─Sort_65(Probe)	100.70	100	root		time:1.32s, loops:2	tpch_sf40.part.p_partkey	24.5 KB	0 Bytes
      └─HashJoin_68	100.70	100	root		time:1.32s, loops:2, build_hash_table:{total:60.8ms, fetch:60.7ms, build:62.1µs}, probe:{concurrency:2, total:2.64s, max:1.32s, probe:9.99µs, fetch and wait:2.64s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)]	226.3 KB	0 Bytes
        ├─Limit_75(Build)	100.00	100	root		time:60.5ms, loops:2	offset:0, count:100	N/A	N/A
        │ └─IndexHashJoin_228	100.00	1024	root		time:60.5ms, loops:1, inner:{total:19.5ms, concurrency:2, task:1, construct:28.2µs, fetch:18.7ms, build:20.1µs, join:762.5µs}	left outer join, inner:IndexReader_225, outer key:tpch_sf40.part.p_partkey, inner key:tpch_sf40.lineitem.l_partkey, equal cond:eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)	273.2 KB	N/A
        │   ├─IndexJoin_291(Build)	100.00	100	root		time:38.2ms, loops:3, inner:{total:14.6ms, concurrency:2, task:1, construct:41.3µs, fetch:14.2ms, build:351.5µs}, probe:25.3µs	left outer join, inner:HashAgg_285, outer key:tpch_sf40.part.p_partkey, inner key:tpch_sf40.partsupp.ps_partkey, equal cond:eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)	41.5 KB	N/A
        │   │ ├─Limit_109(Build)	100.00	100	root		time:22ms, loops:3	offset:0, count:100	N/A	N/A
        │   │ │ └─TableReader_125	100.00	100	root		time:21.9ms, loops:1, cop_task: {num: 1, max: 26.6ms, proc_keys: 224, tot_proc: 25ms, tot_wait: 216µs, copr_cache_hit_ratio: 0.00, build_task_duration: 10.7µs, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:1, total_time:26.6ms}}	data:Limit_124	50.9 KB	N/A
        │   │ │   └─Limit_124	100.00	100	cop[tikv]		tikv_task:{time:25ms, loops:3}, scan_detail: {total_process_keys: 224, total_process_keys_size: 36706, total_keys: 225, get_snapshot_time: 205.8µs, rocksdb: {key_skipped_count: 224, block: {cache_hit_count: 3, read_count: 6, read_byte: 854.3 KB, read_time: 7.03ms}}}, time_detail: {total_process_time: 25ms, total_suspend_time: 10.3µs, total_wait_time: 216µs, total_kv_read_wall_time: 21ms, tikv_wall_time: 26.4ms}	offset:0, count:100	N/A	N/A
        │   │ │     └─Selection_122	100.00	224	cop[tikv]		tikv_task:{time:25ms, loops:3}	gt(tpch_sf40.part.p_retailprice, 50.00), not(like(tpch_sf40.part.p_comment, "%defective%", 92))	N/A	N/A
        │   │ │       └─TableFullScan_121	375.00	224	cop[tikv]	table:p	tikv_task:{time:21ms, loops:3}	keep order:true, stats:partial[p_retailprice:unInitialized, p_comment:unInitialized]	N/A	N/A
        │   │ └─HashAgg_285(Probe)	100.00	100	root		time:13.3ms, loops:3, partial_worker:{wall_time:13.025338ms, concurrency:2, task_num:1, tot_wait:12.893162ms, tot_exec:67.555µs, tot_time:25.937021ms, max:12.969916ms, p95:12.969916ms}, final_worker:{wall_time:13.274929ms, concurrency:2, task_num:2, tot_wait:1.987µs, tot_exec:43ns, tot_time:26.44811ms, max:13.224794ms, p95:13.224794ms}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#183)->Column#51, funcs:avg(Column#184, Column#185)->Column#52, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey	43.6 KB	0 Bytes
        │   │   └─TableReader_286	100.00	100	root		time:12.9ms, loops:2, cop_task: {num: 1, max: 12.8ms, proc_keys: 400, tot_proc: 9.77ms, tot_wait: 246.3µs, copr_cache_hit_ratio: 0.00, build_task_duration: 182µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:12.8ms}}	data:HashAgg_284	N/A	N/A
        │   │     └─HashAgg_284	100.00	100	cop[tikv]		tikv_task:{time:10ms, loops:1}, scan_detail: {total_process_keys: 400, total_process_keys_size: 74218, total_keys: 500, get_snapshot_time: 233.6µs, rocksdb: {key_skipped_count: 400, block: {cache_hit_count: 399, read_count: 7, read_byte: 760.7 KB, read_time: 5.34ms}}}, time_detail: {total_process_time: 9.77ms, total_suspend_time: 25.9µs, total_wait_time: 246.3µs, total_kv_read_wall_time: 8ms, tikv_wall_time: 12.5ms}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(tpch_sf40.partsupp.ps_availqty)->Column#183, funcs:count(tpch_sf40.partsupp.ps_supplycost)->Column#184, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#185	N/A	N/A
        │   │       └─TableRangeScan_283	100.00	400	cop[tikv]	table:ps	tikv_task:{time:8ms, loops:1}	range: decided by [eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)], keep order:false	N/A	N/A
        │   └─IndexReader_225(Probe)	3013.46	3064	root		time:18.5ms, loops:4, cop_task: {num: 5, max: 14.6ms, min: 882.8µs, avg: 6.4ms, p95: 14.6ms, max_proc_keys: 1368, p95_proc_keys: 1368, tot_proc: 28.9ms, tot_wait: 696.4µs, copr_cache_hit_ratio: 0.00, build_task_duration: 16.9µs, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:5, total_time:31.9ms}}	index:IndexRangeScan_224	56.1 KB	N/A
        │     └─IndexRangeScan_224	3013.46	3064	cop[tikv]	table:l, index:idx_lineitem_fk2(l_partkey, l_suppkey)	tikv_task:{proc max:13ms, min:1ms, avg: 5.8ms, p80:13ms, p95:13ms, iters:19, tasks:5}, scan_detail: {total_process_keys: 3064, total_process_keys_size: 202224, total_keys: 3168, get_snapshot_time: 617.5µs, rocksdb: {key_skipped_count: 3064, block: {cache_hit_count: 414, read_count: 11, read_byte: 1.33 MB, read_time: 11.8ms}}}, time_detail: {total_process_time: 28.9ms, total_suspend_time: 36.4µs, total_wait_time: 696.4µs, total_kv_read_wall_time: 29ms, tikv_wall_time: 30.1ms}	range: decided by [eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)], keep order:false	N/A	N/A
        └─TableReader_317(Probe)	5495036.09	5	root		time:1.32s, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_316	1.27 KB	N/A
          └─ExchangeSender_316	5495036.09	5	mpp[tiflash]		tiflash_task:{proc max:1.32s, min:485.2ms, avg: 902.7ms, p80:1.32s, p95:1.32s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            └─Selection_297	5495036.09	5	mpp[tiflash]		tiflash_task:{proc max:1.32s, min:485.2ms, avg: 902.7ms, p80:1.32s, p95:1.32s, iters:1, tasks:2, threads:4}	le(Column#83, 5), stream_count: 2	N/A	N/A
              └─Window_315	6868795.11	6812011	mpp[tiflash]		tiflash_task:{proc max:1.32s, min:485.2ms, avg: 901.2ms, p80:1.32s, p95:1.32s, iters:104, tasks:2, threads:4}	row_number()->Column#83 over(partition by tpch_sf40.orders.o_orderstatus order by tpch_sf40.orders.o_orderdate desc rows between current row and current row), stream_count: 2	N/A	N/A
                └─Sort_304	6868795.11	6812011	mpp[tiflash]		tiflash_task:{proc max:1.24s, min:485.2ms, avg: 860.2ms, p80:1.24s, p95:1.24s, iters:104, tasks:2, threads:4}	tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_orderdate:desc, stream_count: 2	N/A	N/A
                  └─ExchangeReceiver_303	6868795.11	6812011	mpp[tiflash]		tiflash_task:{proc max:488.3ms, min:485.2ms, avg: 486.7ms, p80:488.3ms, p95:488.3ms, iters:457, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}	stream_count: 2	N/A	N/A
                    └─ExchangeSender_302	6868795.11	6812011	mpp[tiflash]		tiflash_task:{proc max:488ms, min:0s, avg: 244ms, p80:488ms, p95:488ms, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderstatus, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                      └─TableFullScan_300	6868795.11	6812011	mpp[tiflash]	table:o	tiflash_task:{proc max:430.2ms, min:0s, avg: 215.1ms, p80:430.2ms, p95:430.2ms, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:48ms, min_local_stream:359ms, max_local_stream:429ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1353ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1997-01-01 00:00:00.000000), lt(tpch_sf40.orders.o_orderdate, 1997-10-01 00:00:00.000000), keep order:false	N/A	N/A
