-- Query: 25260
-- SQL: WITH RegionalSupplierInfo AS (
    SELECT 
        n.n_name AS nation_name,
        r.r_name AS region_name,
        s.s_suppkey,
        SUM(ps.ps_availqty) AS total_available_qty,
        SUM(ps.ps_...
-- Execution time: 6.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_60	319027.20	0	root		time:6.24s, loops:1, RU:23286.686874, Concurrency:2	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#118->Column#124, Column#119->Column#125, Column#120->Column#126, Column#121->Column#127	23.3 KB	N/A
└─Sort_62	319027.20	0	root		time:6.24s, loops:1	Column#119:desc	0 Bytes	0 Bytes
  └─Selection_64	319027.20	0	root		time:6.24s, loops:1	gt(Column#119, 1000000)	16.2 KB	N/A
    └─HashAgg_66	398784.00	70	root		time:6.24s, loops:2	group by:Column#75, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.lineitem.l_orderkey)->Column#118, funcs:sum(Column#100)->Column#119, funcs:avg(tpch_sf40.lineitem.l_quantity)->Column#120, funcs:max(Column#75)->Column#121, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	54.5 KB	0 Bytes
      └─Projection_70	29472418.01	70	root		time:6.24s, loops:2, Concurrency:2	Column#75, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_quantity, Column#100	33.7 KB	N/A
        └─HashJoin_73	29472418.01	70	root		time:6.24s, loops:2, build_hash_table:{total:3.43s, fetch:3.38s, build:46.5ms}, probe:{concurrency:2, total:12.5s, max:6.24s, probe:162.6µs, fetch and wait:12.5s}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	59.8 MB	0 Bytes
          ├─TableReader_313(Build)	398784.00	400000	root		time:3.38s, loops:465, cop_task: {num: 94, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_312	9.74 MB	N/A
          │ └─ExchangeSender_312	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.42s, min:3.38s, avg: 3.4s, p80:3.42s, p95:3.42s, iters:262, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          │   └─Projection_308	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.39s, min:3.36s, avg: 3.38s, p80:3.39s, p95:3.39s, iters:262, tasks:2, threads:4}	Column#75, tpch_sf40.supplier.s_suppkey, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          │     └─HashAgg_309	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.39s, min:3.36s, avg: 3.38s, p80:3.39s, p95:3.39s, iters:262, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#139)->Column#75, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
