-- Query: 25267
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY n.n_name ORDER BY s.s_acctbal DESC) AS ...
-- Execution time: 138.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_91	8597061.61	15986200	root		time:2m18.8s, loops:15613, RU:220543.984616	Column#128:desc, tpch_sf40.part.p_partkey	2.73 GB	0 Bytes
└─Projection_93	8597061.61	15986200	root		time:1m57.4s, loops:15613, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, coalesce(Column#109, 0)->Column#128, tpch_sf40.supplier.s_name, Column#76, case(le(Column#76, 5), Top Supplier, Other Supplier)->Column#129	419.0 KB	N/A
  └─Selection_95	8597061.61	15986200	root		time:1m54.9s, loops:15613	or(isnull(Column#109), gt(Column#109, 10000))	145.0 KB	N/A
    └─HashJoin_98	10746327.02	15986200	root		time:1m53.2s, loops:15615, build_hash_table:{total:1m49.8s, fetch:1m49.8s, build:40.4ms}, probe:{concurrency:2, total:3m55.3s, max:1m57.6s, probe:6.95s, fetch and wait:3m48.3s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)]	42.4 MB	0 Bytes
      ├─HashAgg_255(Build)	398784.00	400000	root		time:1m49.8s, loops:393, partial_worker:{wall_time:1m49.76882551s, concurrency:2, task_num:35574, tot_wait:3m28.675965278s, tot_exec:10.825086624s, tot_time:3m39.509149574s, max:1m49.754580106s, p95:1m49.754580106s}, final_worker:{wall_time:1m49.849838002s, concurrency:2, task_num:4, tot_wait:5.305µs, tot_exec:100.174258ms, tot_time:3m39.695221857s, max:1m49.849789876s, p95:1m49.849789876s}	group by:Column#141, funcs:sum(Column#140)->Column#109, funcs:firstrow(Column#141)->tpch_sf40.lineitem.l_suppkey	128.9 MB	0 Bytes
      │ └─Projection_329	36998443.31	36426141	root		time:1m49.6s, loops:35575, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#140, tpch_sf40.lineitem.l_suppkey->Column#141	311.6 KB	N/A
      │   └─IndexHashJoin_270	36998443.31	36426141	root		time:1m49.5s, loops:35575, inner:{total:3m39.3s, concurrency:2, task:359, construct:1.59s, fetch:3m27.6s, build:436.6ms, join:10.1s}	inner join, inner:TableReader_265, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	28.2 MB	N/A
      │     ├─TableReader_302(Build)	9184457.40	9105203	root		time:80.2ms, loops:9177, cop_task: {num: 939, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_301	325.1 KB	N/A
      │     │ └─ExchangeSender_301	9184457.40	9105203	mpp[tiflash]		tiflash_task:{proc max:1.42s, min:750.4ms, avg: 1.09s, p80:1.42s, p95:1.42s, iters:965, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │     │   └─TableFullScan_299	9184457.40	9105203	mpp[tiflash]	table:o	tiflash_task:{proc max:1.39s, min:714.4ms, avg: 1.05s, p80:1.39s, p95:1.39s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1053ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:42ms, min_local_stream:700ms, max_local_stream:1382ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1064ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1997-01-01 00:00:00.000000), lt(tpch_sf40.orders.o_orderdate, 1998-01-01 00:00:00.000000), keep order:false	N/A	N/A
      │     └─TableReader_265(Probe)	9184457.40	36426141	root		time:3m24.7s, loops:36893, cop_task: {num: 8959, max: 403.8ms, min: 143.3µs, avg: 38.1ms, p95: 136.9ms, max_proc_keys: 33760, p95_proc_keys: 17376, tot_proc: 4m20.5s, tot_wait: 1.51s, copr_cache_hit_ratio: 0.01, build_task_duration: 278.8ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:8959, total_time:5m40.8s}}	data:TableRangeScan_264	N/A	N/A
