-- Query: 25786
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        COUNT(DISTINCT ps.ps_partkey) AS available_parts,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_co...
-- Execution time: 242.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_102	6144010240017.07	59998935	root		time:4m1.5s, loops:58594, RU:101176.425074, Concurrency:2	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#167->Column#203, Column#168->Column#204, Column#199->Column#205, Column#200->Column#206	721.5 KB	N/A
└─Sort_103	6144010240017.07	59998935	root		time:4m1.5s, loops:58594	Column#145:desc, Column#167:desc	3.00 GB	9.94 GB
  └─Selection_105	6144010240017.07	59998935	root		time:2m31.6s, loops:58594	or(and(not(isnull(Column#168)), not(isnull(Column#200))), and(isnull(Column#168), isnull(Column#200)))	194.8 KB	N/A
    └─HashJoin_107	7680012800021.33	59998935	root		time:2m23.1s, loops:58596, build_hash_table:{total:1m13.7s, fetch:1m13.7s, build:4.79µs}, probe:{concurrency:2, total:5m39.3s, max:2m49.7s, probe:2m35.9s, fetch and wait:3m3.4s}	CARTESIAN left outer join	263.8 KB	2.36 KB
      ├─Projection_108(Build)	1600000.00	15	root		time:1m13.7s, loops:2, Concurrency:2	tpch_sf40.region.r_name, Column#145, tpch_sf40.supplier.s_name, Column#167, Column#168	247.0 KB	N/A
      │ └─HashJoin_109	1600000.00	15	root		time:1m13.7s, loops:2, build_hash_table:{total:1m13.7s, fetch:1m13.7s, build:346µs}, probe:{concurrency:2, total:2m27.4s, max:1m13.7s, probe:13µs, fetch and wait:2m27.4s}	CARTESIAN inner join	57.7 KB	354 Bytes
      │   ├─TopN_240(Build)	5.00	5	root		time:1m13.7s, loops:2	Column#145:desc, offset:0, count:5	2.06 KB	0 Bytes
      │   │ └─TableReader_430	5.00	5	root		time:1m13.7s, loops:2, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_429	5.50 KB	N/A
      │   │   └─ExchangeSender_429	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:1m13.7s, avg: 1m13.7s, p80:1m13.7s, p95:1m13.7s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   │     └─Projection_425	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:1m13.7s, avg: 1m13.7s, p80:1m13.7s, p95:1m13.7s, iters:3, tasks:2, threads:4}	Column#145, tpch_sf40.region.r_name	N/A	N/A
      │   │       └─HashAgg_426	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:1m13.7s, avg: 1m13.7s, p80:1m13.7s, p95:1m13.7s, iters:3, tasks:2, threads:4}	group by:tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_name, funcs:sum(Column#213)->Column#145, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
      │   │         └─ExchangeReceiver_428	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:1m13.7s, avg: 1m13.7s, p80:1m13.7s, p95:1m13.7s, iters:3, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 14ms}	stream_count: 2	N/A	N/A
      │   │           └─ExchangeSender_427	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:0s, avg: 36.8s, p80:1m13.7s, p95:1m13.7s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_regionkey, collate: binary], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │   │             └─HashAgg_249	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m13.7s, min:0s, avg: 36.8s, p80:1m13.7s, p95:1m13.7s, iters:2, tasks:2, threads:2}	group by:Column#230, Column#231, funcs:sum(Column#229)->Column#213	N/A	N/A
