-- Query: 25791
-- SQL: WITH SupplierSales AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
    F...
-- Execution time: 79.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TableReader_455	20.00	5	root		time:1m18.3s, loops:2, RU:145076.851944, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_454	8.44 KB	N/A
└─ExchangeSender_454	20.00	5	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.3s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
  └─Projection_110	20.00	5	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.3s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#225, stream_count: 2	N/A	N/A
    └─Selection_453	20.00	5	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.3s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	or(eq(Column#227, 1), 0), stream_count: 2	N/A	N/A
      └─Window_450	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.3s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	rank()->Column#227 over(partition by tpch_sf40.region.r_name order by Column#225 desc), stream_count: 2	N/A	N/A
        └─Sort_192	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.3s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#225:desc, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_191	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:1m18.2s, avg: 1m18.3s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_190	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:0s, avg: 39.1s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─Projection_186	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:0s, avg: 39.1s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	Column#225, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                └─HashAgg_187	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m18.3s, min:0s, avg: 39.1s, p80:1m18.3s, p95:1m18.3s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:sum(Column#232)->Column#225, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
