-- Query: 25804
-- SQL: WITH SupplierDetails AS (
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supplycost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_su...
-- Execution time: 19.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_62	10.00	10	root		time:18.9s, loops:2, RU:34075.260264, Concurrency:OFF	tpch_sf40.nation.n_name, Column#127, Column#128, Column#130	3.80 KB	N/A
└─TopN_66	10.00	10	root		time:18.9s, loops:2	Column#128:desc, offset:0, count:10	1.64 KB	0 Bytes
  └─TableReader_331	10.00	10	root		time:18.9s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_330	6.47 KB	N/A
    └─ExchangeSender_330	10.00	10	mpp[tiflash]		tiflash_task:{time:18.9s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_329	10.00	10	mpp[tiflash]		tiflash_task:{time:18.9s, loops:1, threads:2}	Column#128:desc, offset:0, count:10	N/A	N/A
        └─Window_328	20.00	16	mpp[tiflash]		tiflash_task:{time:18.9s, loops:1, threads:2}	rank()->Column#130 over(order by Column#128 desc)	N/A	N/A
          └─Sort_162	20.00	16	mpp[tiflash]		tiflash_task:{time:18.9s, loops:1, threads:1}	Column#128:desc	N/A	N/A
            └─ExchangeReceiver_161	20.00	16	mpp[tiflash]		tiflash_task:{time:18.9s, loops:2, threads:2}		N/A	N/A
              └─ExchangeSender_160	20.00	16	mpp[tiflash]		tiflash_task:{time:18.9s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Selection_73	20.00	16	mpp[tiflash]		tiflash_task:{time:18.9s, loops:4, threads:4}	gt(minus(Column#127, Column#128), 0), not(isnull(Column#127)), not(isnull(Column#128))	N/A	N/A
                  └─Projection_153	25.00	25	mpp[tiflash]		tiflash_task:{time:18.9s, loops:4, threads:4}	Column#127, Column#128, tpch_sf40.nation.n_name	N/A	N/A
                    └─HashAgg_74	25.00	25	mpp[tiflash]		tiflash_task:{time:18.9s, loops:4, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:sum(Column#103)->Column#127, funcs:sum(Column#126)->Column#128, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
                      └─ExchangeReceiver_152	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.9s, loops:22, threads:4}, tiflash_wait: {pipeline_queue_wait: 147ms}	stream_count: 2	N/A	N/A
                        └─ExchangeSender_151	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.9s, loops:513, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                          └─Projection_150	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.9s, loops:513, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, Column#103, Column#126	N/A	N/A
                            └─HashJoin_76	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.9s, loops:513, threads:4}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                              ├─Projection_114(Build)	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:262, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, Column#103	N/A	N/A
                              │ └─HashJoin_77	25.00	400000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:262, threads:4}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)], stream_count: 2	N/A	N/A
                              │   ├─ExchangeReceiver_81(Build)	25.00	25	mpp[tiflash]		tiflash_task:{time:96.2ms, loops:4, threads:4}	stream_count: 2	N/A	N/A
                              │   │ └─ExchangeSender_80	25.00	25	mpp[tiflash]		tiflash_task:{time:78ms, loops:1, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], stream_count: 2	N/A	N/A
                              │   │   └─TableFullScan_79	25.00	25	mpp[tiflash]	table:n	tiflash_task:{time:78ms, loops:1, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:75ms, min_local_stream:77ms, max_local_stream:77ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                              │   └─Projection_97(Probe)	398784.00	400000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:262, threads:4}	Column#103, tpch_sf40.supplier.s_nationkey	N/A	N/A
                              │     └─HashAgg_98	398784.00	400000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:262, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#131)->Column#103, funcs:firstrow(tpch_sf40.supplier.s_nationkey)->tpch_sf40.supplier.s_nationkey, stream_count: 2	N/A	N/A
                              │       └─ExchangeReceiver_100	398784.00	800000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:95, threads:4}, tiflash_wait: {pipeline_breaker_wait: 89ms, pipeline_queue_wait: 51ms}	stream_count: 2	N/A	N/A
                              │         └─ExchangeSender_99	398784.00	800000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
                              │           └─HashAgg_83	398784.00	800000	mpp[tiflash]		tiflash_task:{time:18.7s, loops:512, threads:4}	group by:Column#162, Column#163, Column#164, funcs:sum(Column#161)->Column#131	N/A	N/A
