-- Query: 25805
-- SQL: WITH RegionalSales AS (
    SELECT 
        r_name,
        SUM(l_extendedprice * (1 - l_discount)) AS total_sales,
        COUNT(DISTINCT o_orderkey) AS order_count,
        AVG(c_acctbal) AS avg_cus...
-- Execution time: 151.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_399	17403286.47	27248044	root		time:2m30.3s, loops:26611, RU:167431.331690	Column#137, Column#136:desc	2.63 GB	2.75 GB
└─Projection_401	17403286.47	27248044	root		time:1m48.7s, loops:26612, Concurrency:2	tpch_sf40.region.r_name, Column#136, Column#137, case(le(Column#137, 3), Top Region, Other Region)->Column#159, coalesce(tpch_sf40.customer.c_name, Unknown)->Column#160	304.5 KB	N/A
  └─HashJoin_404	17403286.47	27248044	root		time:1m44.1s, loops:26612, build_hash_table:{total:1m5.5s, fetch:1m5.5s, build:3.68µs}, probe:{concurrency:2, total:4m7.6s, max:2m3.8s, probe:30.7s, fetch and wait:3m36.9s}	CARTESIAN inner join, other cond:gt(Column#136, Column#158)	81.8 KB	56 Bytes
    ├─Selection_405(Build)	0.80	1	root		time:1m5.5s, loops:2	not(isnull(Column#158))	233 Bytes	N/A
    │ └─MaxOneRow_406	1.00	1	root		time:1m5.5s, loops:3		N/A	N/A
    │   └─StreamAgg_411	1.00	1	root		time:1m5.5s, loops:2	funcs:avg(Column#156)->Column#158	2.44 KB	N/A
    │     └─CTEFullScan_417	4.00	5	root	CTE:topregions	time:1m5.5s, loops:2	data:CTE_1	4.79 KB	868 Bytes
    └─HashJoin_429(Probe)	21754108.09	34060055	root		time:1m30.1s, loops:33264, build_hash_table:{total:6.59s, fetch:5.09s, build:1.5s}, probe:{concurrency:2, total:4m7.6s, max:2m3.8s, probe:58.7s, fetch and wait:3m8.9s}	left outer join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	573.9 MB	286.1 MB
      ├─TableReader_448(Build)	6000000.00	6000000	root		time:4.84s, loops:5863, cop_task: {num: 97, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_447	4.25 MB	N/A
      │ └─ExchangeSender_447	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:6.55s, min:5.72s, avg: 6.14s, p80:6.55s, p95:6.55s, iters:95, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─TableFullScan_446	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:6.52s, min:5.7s, avg: 6.11s, p80:6.52s, p95:6.52s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 278ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:29ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:5671ms, max_local_stream:6508ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3709ms}}	keep order:false	N/A	N/A
      └─HashJoin_432(Probe)	21754108.09	34060055	root		time:1m7s, loops:33264, build_hash_table:{total:1m5.5s, fetch:1m5.5s, build:4.28µs}, probe:{concurrency:2, total:4m7.6s, max:2m3.8s, probe:49.2s, fetch and wait:3m18.4s}	CARTESIAN left outer join	130.8 KB	434 Bytes
        ├─Selection_433(Build)	3.20	5	root		time:1m5.5s, loops:2	not(isnull(Column#136))	2.39 KB	N/A
        │ └─CTEFullScan_435	4.00	5	root	CTE:topregions AS tr	time:1m5.5s, loops:3	data:CTE_1	N/A	N/A
        └─TableReader_443(Probe)	6798158.78	6812011	root		time:472.6ms, loops:7317, cop_task: {num: 938, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_442	241.5 KB	N/A
          └─ExchangeSender_442	6798158.78	6812011	mpp[tiflash]		tiflash_task:{proc max:21.2s, min:21.1s, avg: 21.1s, p80:21.2s, p95:21.2s, iters:965, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            └─TableFullScan_440	6798158.78	6812011	mpp[tiflash]	table:o	tiflash_task:{proc max:21.2s, min:21s, avg: 21.1s, p80:21.2s, p95:21.2s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 234ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:23ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1190ms, min_local_stream:21031ms, max_local_stream:21191ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:24006ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1997-01-01 00:00:00.000000), lt(tpch_sf40.orders.o_orderdate, 1997-10-01 00:00:00.000000), keep order:false	N/A	N/A
CTE_1	4.00	5	root		time:1m5.5s, loops:2	Non-Recursive CTE	4.79 KB	868 Bytes
└─TableReader_394(Seed Part)	4.00	5	root		time:1m5.5s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_393	9.05 KB	N/A
  └─ExchangeSender_393	4.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_81	4.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:2}	tpch_sf40.region.r_name, Column#130, Column#134	N/A	N/A
      └─Selection_392	4.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:2}	or(not(isnull(Column#130)), 1)	N/A	N/A
        └─Window_389	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:2}	rank()->Column#134 over(order by Column#130 desc)	N/A	N/A
          └─Sort_145	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:1}	Column#130:desc	N/A	N/A
            └─ExchangeReceiver_144	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:1, threads:2}		N/A	N/A
              └─ExchangeSender_143	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Projection_139	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:4, threads:4}	Column#130, tpch_sf40.region.r_name	N/A	N/A
                  └─HashAgg_140	5.00	5	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:4, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#163)->Column#130, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_142	5.00	10	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:4, threads:4}, tiflash_wait: {pipeline_queue_wait: 4ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_141	5.00	10	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        └─HashAgg_87	5.00	10	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:2, threads:2}	group by:Column#173, funcs:sum(Column#172)->Column#163	N/A	N/A
