-- Query: 25806
-- SQL: WITH SupplierCosts AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM
        supplier s
    JOIN partsupp ps ON s.s_su...
-- Execution time: 516.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_71	1740933918866.40	10570839	root		time:8m36s, loops:10325, RU:330158.949150	Column#159:desc, Column#160:desc, tpch_sf40.customer.c_name	368.3 MB	1.47 GB
└─Projection_73	1740933918866.40	10570839	root		time:7m45.3s, loops:10325, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, coalesce(Column#114, 0)->Column#159, coalesce(Column#136, 0)->Column#160, tpch_sf40.supplier.s_name, Column#156	436.1 KB	N/A
  └─HashJoin_75	1740933918866.40	10570839	root		time:7m44.8s, loops:10325, build_hash_table:{total:10.4s, fetch:10.4s, build:3.11µs}, probe:{concurrency:2, total:15m47.1s, max:7m53.6s, probe:31.8s, fetch and wait:15m15.3s}	CARTESIAN left outer join	150.7 KB	98 Bytes
    ├─TableReader_414(Build)	319027.20	1	root		time:10.4s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_413	3.00 KB	N/A
    │ └─ExchangeSender_413	319027.20	1	mpp[tiflash]		tiflash_task:{time:10.4s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_315	319027.20	1	mpp[tiflash]		tiflash_task:{time:10.4s, loops:1, threads:2}	eq(Column#158, 1)	N/A	N/A
    │     └─Window_412	398784.00	400000	mpp[tiflash]		tiflash_task:{time:10.4s, loops:7, threads:2}	dense_rank()->Column#158 over(order by Column#156 desc)	N/A	N/A
    │       └─Sort_340	398784.00	400000	mpp[tiflash]		tiflash_task:{time:10.4s, loops:7, threads:1}	Column#156:desc	N/A	N/A
    │         └─ExchangeReceiver_339	398784.00	400000	mpp[tiflash]		tiflash_task:{time:10.3s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 34ms}		N/A	N/A
    │           └─ExchangeSender_338	398784.00	400000	mpp[tiflash]		tiflash_task:{time:10.4s, loops:516, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
