-- Query: 25809
-- SQL: WITH RegionalSales AS (
    SELECT 
        r.r_name AS region,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
    FROM 
      ...
-- Execution time: 80.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_356	3.20	5	root		time:1m19.1s, loops:2, RU:161565.352910	Column#123:desc	5.90 KB	0 Bytes
└─Projection_358	3.20	5	root		time:1m19.1s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#123, Column#124, Column#132, Column#133, case(gt(Column#123, Column#133), Above Average, Below Average)->Column#134	5.20 KB	N/A
  └─Projection_360	3.20	5	root		time:1m19.1s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#123, Column#124, Column#132, Column#133	5.20 KB	N/A
    └─HashJoin_364	3.20	5	root		time:1m19.1s, loops:2, build_hash_table:{total:1m19.1s, fetch:1m19.1s, build:3.69µs}, probe:{concurrency:2, total:2m38.3s, max:1m19.1s, probe:6.67µs, fetch and wait:2m38.3s}	CARTESIAN inner join	81.8 KB	0 Bytes
      ├─StreamAgg_371(Build)	1.00	1	root		time:1m19.1s, loops:2	funcs:sum(Column#147)->Column#132, funcs:avg(Column#148)->Column#133	2.90 KB	N/A
      │ └─Projection_390	4.00	5	root		time:1m19.1s, loops:2, Concurrency:OFF	Column#129->Column#147, cast(Column#130, decimal(20,0) BINARY)->Column#148	2.77 KB	N/A
      │   └─CTEFullScan_377	4.00	5	root	CTE:topregions	time:1m19.1s, loops:2	data:CTE_1	5.53 KB	0 Bytes
      └─Selection_379(Probe)	3.20	5	root		time:1m19.1s, loops:2	le(Column#125, 5)	2.77 KB	N/A
        └─CTEFullScan_381	4.00	5	root	CTE:topregions AS tr	time:1m19.1s, loops:3	data:CTE_1	N/A	N/A
CTE_1	4.00	5	root		time:1m19.1s, loops:2	Non-Recursive CTE	5.53 KB	0 Bytes
└─TableReader_352(Seed Part)	4.00	5	root		time:1m19.1s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_351	8.25 KB	N/A
  └─ExchangeSender_351	4.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_72	4.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:1, threads:2}	tpch_sf40.region.r_name, Column#112, Column#113, Column#115	N/A	N/A
      └─Selection_350	4.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:1, threads:2}	or(le(Column#115, 5), 1)	N/A	N/A
        └─Window_347	5.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:1, threads:2}	rank()->Column#115 over(order by Column#112 desc)	N/A	N/A
          └─Sort_131	5.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:1, threads:1}	Column#112:desc	N/A	N/A
            └─ExchangeReceiver_130	5.00	5	mpp[tiflash]		tiflash_task:{time:1m19.1s, loops:2, threads:2}		N/A	N/A
