-- Query: 25810
-- SQL: WITH RankedSuppliers AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        RANK() OVER (PARTITION BY s.s_nationkey ORDER BY SUM(ps.ps_supplycost) DESC) AS rank_per_nati...
-- Execution time: 23.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_173	12.80	13	root		time:22.8s, loops:2, RU:49846.364431	tpch_sf40.nation.n_name, Column#88:desc	19.4 KB	0 Bytes
└─Projection_175	12.80	13	root		time:22.8s, loops:3, Concurrency:OFF	tpch_sf40.nation.n_name, Column#63, Column#64, Column#65, tpch_sf40.customer.c_name, Column#87, Column#88, tpch_sf40.supplier.s_name, Column#107, coalesce(Column#108, 0)->Column#123	11.0 KB	N/A
  └─Projection_176	12.80	13	root		time:22.8s, loops:3, Concurrency:OFF	tpch_sf40.nation.n_name, Column#63, Column#64, Column#65, Column#87, Column#88, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#108, Column#107, Column#107	9.62 KB	N/A
    └─HashJoin_178	12.80	13	root		time:22.8s, loops:3, build_hash_table:{total:19s, fetch:19s, build:4.7µs}, probe:{concurrency:2, total:45.5s, max:22.8s, probe:53.3µs, fetch and wait:45.5s}	CARTESIAN inner join, other cond:gt(Column#65, Column#122)	41.5 KB	0 Bytes
      ├─Selection_179(Build)	0.80	1	root		time:19s, loops:2	not(isnull(Column#122))	233 Bytes	N/A
      │ └─MaxOneRow_180	1.00	1	root		time:19s, loops:3		N/A	N/A
      │   └─StreamAgg_185	1.00	1	root		time:19s, loops:2	funcs:avg(Column#121)->Column#122	4.21 KB	N/A
      │     └─CTEFullScan_191	20.00	25	root	CTE:nationstats	time:19s, loops:2	data:CTE_2	8.34 KB	0 Bytes
      └─HashJoin_195(Probe)	16.00	25	root		time:22.8s, loops:4, build_hash_table:{total:19s, fetch:19s, build:10.3µs}, probe:{concurrency:2, total:45.5s, max:22.8s, probe:157.8ms, fetch and wait:45.4s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_custkey)]	9.10 KB	0 Bytes
        ├─HashJoin_231(Build)	16.00	25	root		time:19s, loops:2, build_hash_table:{total:19s, fetch:19s, build:13.6µs}, probe:{concurrency:2, total:37.9s, max:19s, probe:13.4µs, fetch and wait:37.9s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	114.5 KB	0 Bytes
        │ ├─Selection_232(Build)	16.00	25	root		time:19s, loops:2	not(isnull(Column#65))	4.17 KB	N/A
        │ │ └─CTEFullScan_234	20.00	25	root	CTE:nationstats AS ns	time:19s, loops:3	data:CTE_2	N/A	N/A
        │ └─TableReader_313(Probe)	319027.20	25	root		time:18.9s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_312	2.99 KB	N/A
        │   └─ExchangeSender_312	319027.20	25	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:18.9s, avg: 18.9s, p80:18.9s, p95:18.9s, iters:8, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │     └─Selection_237	319027.20	25	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:18.9s, avg: 18.9s, p80:18.9s, p95:18.9s, iters:8, tasks:2, threads:4}	eq(Column#110, 1), stream_count: 2	N/A	N/A
        │       └─Window_228	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:18.9s, avg: 18.9s, p80:18.9s, p95:18.9s, iters:8, tasks:2, threads:4}	rank()->Column#110 over(partition by tpch_sf40.supplier.s_nationkey order by Column#107 desc), stream_count: 2	N/A	N/A
        │         └─Sort_227	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:18.9s, avg: 18.9s, p80:18.9s, p95:18.9s, iters:8, tasks:2, threads:4}	tpch_sf40.supplier.s_nationkey, Column#107:desc, stream_count: 2	N/A	N/A
        │           └─ExchangeReceiver_226	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:18.9s, avg: 18.9s, p80:18.9s, p95:18.9s, iters:38, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 52ms}	stream_count: 2	N/A	N/A
        │             └─ExchangeSender_225	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.46s, p80:18.9s, p95:18.9s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
        │               └─Projection_221	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.46s, p80:18.9s, p95:18.9s, iters:516, tasks:2, threads:4}	Column#107, Column#108, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey	N/A	N/A
        │                 └─HashAgg_222	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.45s, p80:18.9s, p95:18.9s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#142)->Column#107, funcs:sum(Column#143)->Column#108, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.supplier.s_nationkey)->tpch_sf40.supplier.s_nationkey, stream_count: 2	N/A	N/A
        │                   └─ExchangeReceiver_224	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.44s, p80:18.9s, p95:18.9s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 211ms}	stream_count: 2	N/A	N/A
        │                     └─ExchangeSender_223	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.43s, p80:18.9s, p95:18.9s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
        │                       └─HashAgg_206	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.43s, p80:18.9s, p95:18.9s, iters:512, tasks:2, threads:4}	group by:Column#164, Column#165, Column#166, funcs:sum(Column#162)->Column#142, funcs:sum(Column#163)->Column#143	N/A	N/A
