-- Query: 25812
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        COUNT(ps.ps_partkey) AS PartCount,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalSupply...
-- Execution time: 183.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TopN_323	10.00	10	root		time:1m29.3s, loops:2, RU:190305.460372	Column#110:desc, offset:0, count:10	160 KB	0 Bytes
└─HashJoin_329	19065113483673.60	60399999	root		time:1m28.1s, loops:58987, build_hash_table:{total:19.4s, fetch:19.4s, build:988.6µs}, probe:{concurrency:2, total:2m58.7s, max:1m29.3s, probe:11.4s, fetch and wait:2m47.3s}	CARTESIAN left outer join, left cond:[eq(tpch_sf40.supplier.s_suppkey, 2)]	41.1 MB	0 Bytes
  ├─TableReader_382(Build)	319989.60	400000	root		time:19.3s, loops:397, cop_task: {num: 14, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_381	6.55 MB	N/A
  │ └─ExchangeSender_381	319989.60	400000	mpp[tiflash]		tiflash_task:{proc max:19.4s, min:19.3s, avg: 19.3s, p80:19.4s, p95:19.4s, iters:12, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
  │   └─Projection_380	319989.60	400000	mpp[tiflash]		tiflash_task:{proc max:19.3s, min:19.3s, avg: 19.3s, p80:19.3s, p95:19.3s, iters:12, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#79, Column#80, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey	N/A	N/A
  │     └─HashJoin_330	319989.60	400000	mpp[tiflash]		tiflash_task:{proc max:19.3s, min:19.3s, avg: 19.3s, p80:19.3s, p95:19.3s, iters:12, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
  │       ├─Selection_346(Build)	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:19.3s, min:19.3s, avg: 19.3s, p80:19.3s, p95:19.3s, iters:512, tasks:2, threads:4}	gt(coalesce(Column#80, 0), 10000)	N/A	N/A
  │       │ └─Projection_360	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:19.3s, min:19.3s, avg: 19.3s, p80:19.3s, p95:19.3s, iters:512, tasks:2, threads:4}	Column#79, Column#80, tpch_sf40.supplier.s_suppkey	N/A	N/A
  │       │   └─HashAgg_348	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:19.3s, min:19.3s, avg: 19.3s, p80:19.3s, p95:19.3s, iters:512, tasks:2, threads:4}	group by:Column#180, Column#181, Column#182, funcs:count(Column#178)->Column#79, funcs:sum(Column#179)->Column#80, funcs:firstrow(Column#180)->tpch_sf40.supplier.s_suppkey	N/A	N/A
  │       │     └─Projection_632	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:17.9s, min:17.9s, avg: 17.9s, p80:17.9s, p95:17.9s, iters:1016, tasks:2, threads:4}	tpch_sf40.partsupp.ps_partkey->Column#178, mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#179, tpch_sf40.supplier.s_suppkey->Column#180, tpch_sf40.supplier.s_name->Column#181, tpch_sf40.supplier.s_acctbal->Column#182	N/A	N/A
  │       │       └─Projection_358	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:17.9s, min:17.8s, avg: 17.9s, p80:17.9s, p95:17.9s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_acctbal, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
  │       │         └─HashJoin_350	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:17.9s, min:17.8s, avg: 17.9s, p80:17.9s, p95:17.9s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
  │       │           ├─ExchangeReceiver_354(Build)	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:101.7ms, min:101.1ms, avg: 101.4ms, p80:101.7ms, p95:101.7ms, iters:26, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4ms}	stream_count: 2	N/A	N/A
  │       │           │ └─ExchangeSender_353	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:105.7ms, min:0s, avg: 52.8ms, p80:105.7ms, p95:105.7ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
