-- Query: 25818
-- SQL: WITH RegionalSales AS (
    SELECT 
        n.n_name AS nation_name,
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales
    FROM 
        lineitem l
  ...
-- Execution time: 18.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_319	16.00	25	root		time:18.7s, loops:2, RU:121907.090286	tpch_sf40.region.r_name, Column#104:desc	5.31 KB	0 Bytes
└─Projection_321	16.00	25	root		time:18.7s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#104, coalesce(Column#122, 0)->Column#123, case(gt(Column#104, mul(0.8, coalesce(Column#128, 0))), Above Average, lt(Column#104, mul(0.2, coalesce(Column#133, 0))), Below Average, Average)->Column#134	6.85 KB	N/A
  └─HashJoin_324	16.00	25	root		time:18.7s, loops:2, build_hash_table:{total:18.7s, fetch:18.7s, build:7.21µs}, probe:{concurrency:2, total:37.3s, max:18.7s, probe:9.6µs, fetch and wait:37.3s}	left outer join, equal:[eq(tpch_sf40.region.r_name, tpch_sf40.region.r_name)]	2.15 KB	0 Bytes
    ├─HashAgg_376(Build)	16.00	5	root		time:18.7s, loops:3, partial_worker:{wall_time:18.654609087s, concurrency:2, task_num:1, tot_wait:18.65445369s, tot_exec:12.487µs, tot_time:37.308995664s, max:18.654498103s, p95:18.654498103s}, final_worker:{wall_time:18.654670633s, concurrency:2, task_num:2, tot_wait:1.038µs, tot_exec:40ns, tot_time:37.309119046s, max:18.654571116s, p95:18.654571116s}	group by:tpch_sf40.region.r_name, funcs:avg(Column#131)->Column#133, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	7.65 KB	0 Bytes
    │ └─Selection_380	16.00	25	root		time:18.7s, loops:2	not(isnull(tpch_sf40.region.r_name))	3.02 KB	N/A
    │   └─CTEFullScan_382	20.00	25	root	CTE:topnations	time:18.7s, loops:3	data:CTE_1	N/A	N/A
    └─HashJoin_339(Probe)	16.00	25	root		time:18.7s, loops:2, build_hash_table:{total:18.7s, fetch:18.7s, build:4.21µs}, probe:{concurrency:2, total:37.3s, max:18.7s, probe:21.3µs, fetch and wait:37.3s}	left outer join, equal:[eq(tpch_sf40.region.r_name, tpch_sf40.region.r_name)]	2.16 KB	0 Bytes
      ├─HashAgg_360(Build)	16.00	5	root		time:18.7s, loops:3, partial_worker:{wall_time:18.654558618s, concurrency:2, task_num:1, tot_wait:18.654410716s, tot_exec:7.339µs, tot_time:37.308945285s, max:18.654473001s, p95:18.654473001s}, final_worker:{wall_time:18.654609336s, concurrency:2, task_num:2, tot_wait:724ns, tot_exec:40ns, tot_time:37.309038975s, max:18.654525348s, p95:18.654525348s}	group by:tpch_sf40.region.r_name, funcs:avg(Column#126)->Column#128, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	7.65 KB	0 Bytes
      │ └─Selection_364	16.00	25	root		time:18.7s, loops:2	not(isnull(tpch_sf40.region.r_name))	3.02 KB	N/A
      │   └─CTEFullScan_366	20.00	25	root	CTE:topnations	time:18.7s, loops:3	data:CTE_1	N/A	N/A
