-- Query: 25819
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_nationkey,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        COUNT(DISTINCT s.s_suppkey) AS total_suppliers
    FROM 
       ...
-- Execution time: 6.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_61	10.00	10	root		time:6.48s, loops:2, RU:31277.447862, Concurrency:OFF	tpch_sf40.nation.n_name, Column#128, Column#129, Column#105, Column#127, minus(Column#129, Column#128)->Column#130, case(eq(Column#127, 0), No Orders, concat(Orders: , cast(Column#127, var_string(20))))->Column#131	4.17 KB	N/A
└─Projection_62	10.00	10	root		time:6.48s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, coalesce(Column#104, 0)->Column#128, coalesce(Column#126, 0)->Column#129, Column#105, Column#127	4.17 KB	N/A
  └─Projection_320	10.00	10	root		time:6.48s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#104, Column#105, Column#126, Column#127	5.57 KB	N/A
    └─TopN_65	10.00	10	root		time:6.48s, loops:2	Column#151:desc, offset:0, count:10	5.66 KB	0 Bytes
      └─Projection_321	20.00	25	root		time:6.48s, loops:3, Concurrency:OFF	tpch_sf40.nation.n_name, Column#104, Column#105, Column#126, Column#127, minus(coalesce(Column#126, 0), coalesce(Column#104, 0))->Column#151	4.17 KB	N/A
        └─HashJoin_71	20.00	25	root		time:6.48s, loops:3, build_hash_table:{total:2.03s, fetch:2.03s, build:10.4µs}, probe:{concurrency:2, total:13s, max:6.48s, probe:31.4µs, fetch and wait:13s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	4.02 KB	0 Bytes
          ├─HashJoin_171(Build)	20.00	25	root		time:2.03s, loops:2, build_hash_table:{total:2.03s, fetch:2.03s, build:10.6µs}, probe:{concurrency:2, total:4.06s, max:2.03s, probe:13.5µs, fetch and wait:4.06s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	58.0 KB	0 Bytes
          │ ├─TableReader_245(Build)	20.00	25	root		time:2.03s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_244	2.36 KB	N/A
          │ │ └─ExchangeSender_244	20.00	25	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:1.77s, avg: 1.9s, p80:2.03s, p95:2.03s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          │ │   └─Selection_177	20.00	25	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:1.77s, avg: 1.9s, p80:2.03s, p95:2.03s, iters:4, tasks:2, threads:4}	gt(coalesce(Column#104, 0), 0)	N/A	N/A
          │ │     └─Projection_89	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:1.77s, avg: 1.9s, p80:2.03s, p95:2.03s, iters:4, tasks:2, threads:4}	Column#104, Column#105, tpch_sf40.supplier.s_nationkey	N/A	N/A
          │ │       └─HashAgg_90	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:1.77s, avg: 1.9s, p80:2.03s, p95:2.03s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_nationkey, funcs:sum(Column#136)->Column#104, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#105, funcs:firstrow(tpch_sf40.supplier.s_nationkey)->tpch_sf40.supplier.s_nationkey, stream_count: 2	N/A	N/A
          │ │         └─ExchangeReceiver_92	25.00	800000	mpp[tiflash]		tiflash_task:{proc max:2.02s, min:1.76s, avg: 1.89s, p80:2.02s, p95:2.02s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 347ms}	stream_count: 2	N/A	N/A
          │ │           └─ExchangeSender_91	25.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.77s, min:0s, avg: 884.3ms, p80:1.77s, p95:1.77s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
