-- Query: 25820
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_availqty) AS total_available,
        AVG(ps.ps_supplycost) AS avg_supply_cost,
        COUNT(DISTINCT p.p_...
-- Execution time: 25.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_68	800892704041.37	774848	root		time:23.9s, loops:758, RU:41515.816137	Column#97:desc, Column#131	157.6 MB	0 Bytes
└─Projection_70	800892704041.37	774848	root		time:23.2s, loops:758, Concurrency:2	tpch_sf40.customer.c_name, Column#96, Column#97, tpch_sf40.supplier.s_name, Column#131, Column#130	406.2 KB	N/A
  └─Projection_72	800892704041.37	774848	root		time:23.2s, loops:758, Concurrency:2	Column#96, Column#97, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#130, Column#131	406.2 KB	N/A
    └─HashJoin_75	800892704041.37	774848	root		time:23.2s, loops:758, build_hash_table:{total:23s, fetch:23s, build:4.52µs}, probe:{concurrency:2, total:46.4s, max:23.2s, probe:160.3ms, fetch and wait:46.2s}	CARTESIAN inner join	114.5 KB	0 Bytes
      ├─TableReader_227(Build)	208565.46	1	root		time:23s, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_226	4.07 KB	N/A
      │ └─ExchangeSender_226	208565.46	1	mpp[tiflash]		tiflash_task:{proc max:23s, min:23s, avg: 23s, p80:23s, p95:23s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_77	208565.46	1	mpp[tiflash]		tiflash_task:{proc max:23s, min:23s, avg: 23s, p80:23s, p95:23s, iters:1, tasks:2, threads:4}	eq(Column#134, 1), stream_count: 2	N/A	N/A
      │     └─Window_225	260706.83	327130	mpp[tiflash]		tiflash_task:{proc max:23s, min:23s, avg: 23s, p80:23s, p95:23s, iters:5, tasks:2, threads:4}	row_number()->Column#134 over(partition by Column#132 order by Column#131 desc rows between current row and current row), stream_count: 2	N/A	N/A
      │       └─Sort_107	260706.83	327130	mpp[tiflash]		tiflash_task:{proc max:23s, min:23s, avg: 23s, p80:23s, p95:23s, iters:5, tasks:2, threads:4}	Column#132, Column#131:desc, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_106	260706.83	327130	mpp[tiflash]		tiflash_task:{proc max:23s, min:22.9s, avg: 22.9s, p80:23s, p95:23s, iters:8, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 45ms}	stream_count: 2	N/A	N/A
