-- Query: 25822
-- SQL: WITH SupplierStatistics AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalCost,
        COUNT(ps.ps_partkey) AS PartCount
    FROM 
       ...
-- Execution time: 342.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_71	10.00	10	root		time:5m42.5s, loops:2, RU:278472.520595, Concurrency:OFF	tpch_sf40.customer.c_name, Column#147, Column#148, tpch_sf40.supplier.s_name, Column#168	4.67 KB	N/A
└─TopN_74	10.00	10	root		time:5m42.5s, loops:2	Column#147:desc, tpch_sf40.customer.c_name, offset:0, count:10	11.6 KB	0 Bytes
  └─HashJoin_80	3190272.00	50	root		time:5m42.5s, loops:2, build_hash_table:{total:5m42.5s, fetch:5m42.5s, build:4.63µs}, probe:{concurrency:2, total:11m25s, max:5m42.5s, probe:21.7µs, fetch and wait:11m25s}	CARTESIAN left outer join, left cond:[gt(Column#147, 0)]	58.4 KB	0 Bytes
    ├─Projection_81(Build)	10.00	10	root		time:5m42.5s, loops:2, Concurrency:OFF	tpch_sf40.customer.c_name, coalesce(Column#145, 0)->Column#147, case(eq(tpch_sf40.customer.c_acctbal, 0), No Balance, lt(tpch_sf40.customer.c_acctbal, 1000), Low Balance, Sufficient Balance)->Column#148	3.43 KB	N/A
    │ └─Projection_330	10.00	10	root		time:5m42.5s, loops:2, Concurrency:OFF	tpch_sf40.customer.c_name, tpch_sf40.customer.c_acctbal, Column#145	4.83 KB	N/A
    │   └─TopN_84	10.00	10	root		time:5m42.5s, loops:2	Column#193:desc, tpch_sf40.customer.c_name, offset:0, count:10	162.3 KB	0 Bytes
    │     └─Projection_331	6000000.00	11627534	root		time:5m42.3s, loops:11358, Concurrency:2	tpch_sf40.customer.c_name, tpch_sf40.customer.c_acctbal, Column#145, coalesce(Column#145, 0)->Column#193	552.7 KB	N/A
    │       └─HashJoin_90	6000000.00	11627534	root		time:5m42.2s, loops:11358, build_hash_table:{total:1.68s, fetch:115.3ms, build:1.56s}, probe:{concurrency:2, total:11m24.8s, max:5m42.4s, probe:7.99s, fetch and wait:11m16.9s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	805.4 MB	0 Bytes
    │         ├─TableReader_155(Build)	6000000.00	6000000	root		time:41.6ms, loops:5863, cop_task: {num: 97, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_154	9.26 MB	N/A
    │         │ └─ExchangeSender_154	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:551.2ms, min:337.5ms, avg: 444.4ms, p80:551.2ms, p95:551.2ms, iters:95, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │         │   └─TableFullScan_153	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:220.2ms, min:165.5ms, avg: 192.9ms, p80:220.2ms, p95:220.2ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 203ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:11ms, min_local_stream:143ms, max_local_stream:219ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:332ms}}	keep order:false	N/A	N/A
