-- Query: 25824
-- SQL: WITH Supplier_Stats AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        COUNT(DISTINCT ps.ps_partkey) AS num_parts,
        SUM(ps.ps_supplycost) AS total_supply_cost,
        AVG(ps.ps_ava...
-- Execution time: 54.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_334	1914166390277.32	3985752	root		time:25.3s, loops:3894, RU:63299.349307	Column#93:desc, Column#174	884.9 MB	0 Bytes
└─Projection_336	1914166390277.32	3985752	root		time:22s, loops:3895, Concurrency:2	tpch_sf40.customer.c_name, coalesce(tpch_sf40.supplier.s_name, No Supplier)->Column#173, Column#93, Column#118, Column#117, case(isnull(Column#117), Supplier Info Not Available, Supplier Info Available)->Column#174	469.3 KB	N/A
  └─HashJoin_338	1914166390277.32	3985752	root		time:21.4s, loops:3895, build_hash_table:{total:20.2s, fetch:20.2s, build:11.1µs}, probe:{concurrency:2, total:44s, max:22s, probe:617.4ms, fetch and wait:43.4s}	CARTESIAN left outer join, left cond:[eq(tpch_sf40.customer.c_custkey, 1476001)]	116.5 KB	0 Bytes
    ├─TableReader_523(Build)	319027.20	75	root		time:20.2s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_522	2.99 KB	N/A
    │ └─ExchangeSender_522	319027.20	75	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:8, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_423	319027.20	75	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:8, tasks:2, threads:4}	le(Column#120, 3), stream_count: 2	N/A	N/A
    │     └─Window_521	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:8, tasks:2, threads:4}	row_number()->Column#120 over(partition by tpch_sf40.supplier.s_nationkey order by Column#117 desc rows between current row and current row), stream_count: 2	N/A	N/A
    │       └─Sort_448	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.2s, min:20.2s, avg: 20.2s, p80:20.2s, p95:20.2s, iters:8, tasks:2, threads:4}	tpch_sf40.supplier.s_nationkey, Column#117:desc, stream_count: 2	N/A	N/A
    │         └─ExchangeReceiver_447	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:20.1s, avg: 20.1s, p80:20.1s, p95:20.1s, iters:37, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 32ms}	stream_count: 2	N/A	N/A
    │           └─ExchangeSender_446	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:0s, avg: 10s, p80:20.1s, p95:20.1s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
    │             └─Projection_442	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:0s, avg: 10s, p80:20.1s, p95:20.1s, iters:516, tasks:2, threads:4}	Column#117, div(Column#118, cast(case(eq(Column#189, 0), 1, Column#189), decimal(20,0) BINARY))->Column#118, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey	N/A	N/A
    │               └─HashAgg_443	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:0s, avg: 10s, p80:20.1s, p95:20.1s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#190)->Column#117, funcs:sum(Column#191)->Column#189, funcs:sum(Column#192)->Column#118, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.supplier.s_nationkey)->tpch_sf40.supplier.s_nationkey, stream_count: 2	N/A	N/A
    │                 └─ExchangeReceiver_445	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20s, min:0s, avg: 10s, p80:20s, p95:20s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 96ms}	stream_count: 2	N/A	N/A
    │                   └─ExchangeSender_444	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:0s, avg: 10s, p80:20.1s, p95:20.1s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_nationkey, collate: binary], stream_count: 2	N/A	N/A
    │                     └─HashAgg_427	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:0s, avg: 10s, p80:20.1s, p95:20.1s, iters:512, tasks:2, threads:4}	group by:Column#210, Column#211, Column#212, funcs:sum(Column#207)->Column#190, funcs:count(Column#208)->Column#191, funcs:sum(Column#209)->Column#192	N/A	N/A
    │                       └─Projection_524	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:0s, avg: 9.04s, p80:18.1s, p95:18.1s, iters:509, tasks:2, threads:4}	tpch_sf40.partsupp.ps_supplycost->Column#207, tpch_sf40.partsupp.ps_availqty->Column#208, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#209, tpch_sf40.supplier.s_suppkey->Column#210, tpch_sf40.supplier.s_name->Column#211, tpch_sf40.supplier.s_nationkey->Column#212	N/A	N/A
    │                         └─Projection_441	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:0s, avg: 9.03s, p80:18.1s, p95:18.1s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
    │                           └─HashJoin_440	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:0s, avg: 9.03s, p80:18.1s, p95:18.1s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
    │                             ├─ExchangeReceiver_431(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:789.4ms, min:0s, avg: 394.7ms, p80:789.4ms, p95:789.4ms, iters:12, tasks:2, threads:4}		N/A	N/A
    │                             │ └─ExchangeSender_430	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:792.2ms, min:0s, avg: 396.1ms, p80:792.2ms, p95:792.2ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                             │   └─TableFullScan_429	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:787.2ms, min:0s, avg: 393.6ms, p80:787.2ms, p95:787.2ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:95ms, min_local_stream:0ms, max_local_stream:776ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:682ms}}	keep order:false	N/A	N/A
    │                             └─TableFullScan_432(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:17.2s, min:0s, avg: 8.59s, p80:17.2s, p95:17.2s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 796ms, pipeline_queue_wait: 305ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 17/5=3.400000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1269ms, min_local_stream:0ms, max_local_stream:17170ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:46873ms}}	keep order:false	N/A	N/A
    └─TableReader_418(Probe)	6000010.00	3985678	root		time:20.8s, loops:4097, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_417	582.9 KB	N/A
      └─ExchangeSender_417	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:21s, min:21s, avg: 21s, p80:21s, p95:21s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        └─Projection_413	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:20.8s, avg: 20.8s, p80:20.8s, p95:20.8s, iters:1024, tasks:2, threads:4}	Column#93, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
          └─HashAgg_414	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:20.8s, avg: 20.8s, p80:20.8s, p95:20.8s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#182)->Column#93, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_416	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.7s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 177ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_415	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:20.8s, min:0s, avg: 10.4s, p80:20.8s, p95:20.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_344	6000010.00	3985678	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:0s, avg: 10.4s, p80:20.7s, p95:20.7s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#182	N/A	N/A
                  └─Projection_412	29173325.97	29234172	mpp[tiflash]		tiflash_task:{proc max:18.6s, min:0s, avg: 9.32s, p80:18.6s, p95:18.6s, iters:1808, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
                    └─HashJoin_411	29173325.97	29234172	mpp[tiflash]		tiflash_task:{proc max:18.6s, min:0s, avg: 9.32s, p80:18.6s, p95:18.6s, iters:1808, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                      ├─ExchangeReceiver_376(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.8s, min:0s, avg: 1.9s, p80:3.8s, p95:3.8s, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 44ms}	stream_count: 2	N/A	N/A
                      │ └─ExchangeSender_375	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.89s, min:0s, avg: 1.94s, p80:3.89s, p95:3.89s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
