-- Query: 25830
-- SQL: WITH RankedSales AS (
    SELECT 
        c.c_custkey,
        c.c_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITION BY c.c_custkey ORDER B...
-- Execution time: 23.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_217	398784.00	266663	root		time:23.3s, loops:262, RU:119359.000610	Column#115:desc, Column#112	45.7 MB	0 Bytes
└─Projection_219	398784.00	266663	root		time:23.2s, loops:262, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#115, Column#112, case(gt(Column#115, Column#112), Sales Exceeds Supply Cost, lt(Column#115, Column#112), Supply Cost Exceeds Sales, Sales and Supply Cost Equal)->Column#117	335.1 KB	N/A
  └─Projection_221	398784.00	266663	root		time:23.2s, loops:262, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#112, Column#115	254.6 KB	N/A
    └─HashJoin_224	398784.00	266663	root		time:23.2s, loops:262, build_hash_table:{total:4.43s, fetch:4.37s, build:61.4ms}, probe:{concurrency:2, total:46.4s, max:23.2s, probe:473ms, fetch and wait:46s}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.supplier.s_suppkey)]	49.3 MB	0 Bytes
      ├─TableReader_325(Build)	398784.00	400000	root		time:4.38s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_324	3.00 MB	N/A
      │ └─ExchangeSender_324	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.42s, min:4.39s, avg: 4.41s, p80:4.42s, p95:4.42s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_248	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.4s, min:4.36s, avg: 4.38s, p80:4.4s, p95:4.4s, iters:516, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, coalesce(Column#111, 0)->Column#112	N/A	N/A
      │     └─Projection_320	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.4s, min:4.36s, avg: 4.38s, p80:4.4s, p95:4.4s, iters:516, tasks:2, threads:4}	Column#111, tpch_sf40.supplier.s_suppkey	N/A	N/A
      │       └─HashAgg_321	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.4s, min:4.36s, avg: 4.38s, p80:4.4s, p95:4.4s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#138)->Column#111, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_323	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.37s, min:4.34s, avg: 4.35s, p80:4.37s, p95:4.37s, iters:49, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 69ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_322	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.35s, min:0s, avg: 2.18s, p80:4.35s, p95:4.35s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_318	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.35s, min:0s, avg: 2.17s, p80:4.35s, p95:4.35s, iters:512, tasks:2, threads:4}	group by:Column#141, Column#142, funcs:sum(Column#140)->Column#138	N/A	N/A
      │               └─Projection_333	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.98s, min:0s, avg: 1.49s, p80:2.98s, p95:2.98s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#140, tpch_sf40.supplier.s_suppkey->Column#141, tpch_sf40.supplier.s_name->Column#142	N/A	N/A
      │                 └─Projection_307	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:0s, avg: 1.48s, p80:2.95s, p95:2.95s, iters:1016, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      │                   └─HashJoin_306	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:0s, avg: 1.48s, p80:2.95s, p95:2.95s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
      │                     ├─ExchangeReceiver_275(Build)	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:198.3ms, min:0s, avg: 99.2ms, p80:198.3ms, p95:198.3ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 139ms}	stream_count: 2	N/A	N/A
      │                     │ └─ExchangeSender_274	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:96.6ms, min:0s, avg: 48.3ms, p80:96.6ms, p95:96.6ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
      │                     │   └─TableFullScan_273	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:96.6ms, min:0s, avg: 48.3ms, p80:96.6ms, p95:96.6ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 63ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3ms, min_local_stream:52ms, max_local_stream:86ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:15ms}}	keep order:false	N/A	N/A
      │                     └─ExchangeReceiver_278(Probe)	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:2.4s, min:0s, avg: 1.2s, p80:2.4s, p95:2.4s, iters:1016, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 203ms, pipeline_queue_wait: 1225ms}		N/A	N/A
      │                       └─ExchangeSender_277	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:4.06s, min:0s, avg: 2.03s, p80:4.06s, p95:4.06s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary]	N/A	N/A
      │                         └─TableFullScan_276	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:3.86s, min:0s, avg: 1.93s, p80:3.86s, p95:3.86s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3713ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 17/5=3.400000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:29ms, min_local_stream:1500ms, max_local_stream:3844ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:1277ms}}	keep order:false	N/A	N/A
      └─HashJoin_237(Probe)	3840006.40	3999929	root		time:23s, loops:3908, build_hash_table:{total:22.2s, fetch:21.4s, build:824.5ms}, probe:{concurrency:2, total:46.4s, max:23.2s, probe:1.09s, fetch and wait:45.3s}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)]	520.2 MB	0 Bytes
        ├─Selection_243(Build)	3840006.40	3999929	root		time:21.5s, loops:3908	not(isnull(tpch_sf40.customer.c_custkey))	84.2 KB	N/A
        │ └─CTEFullScan_245	4800008.00	3999929	root	CTE:rankedsales AS rs	time:21.3s, loops:3910	data:CTE_0	N/A	N/A
        └─Selection_239(Probe)	3840006.40	3999929	root		time:21.5s, loops:3908	le(Column#95, 5), not(isnull(tpch_sf40.customer.c_custkey))	84.2 KB	N/A
