-- Query: 25831
-- SQL: WITH ranked_orders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        RANK() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice DESC)...
-- Execution time: 35.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_71	59869690.68	0	root		time:34.4s, loops:1, RU:38940.269021	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc	0 Bytes	0 Bytes
└─Projection_73	59869690.68	0	root		time:34.4s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.part.p_name, Column#121, Column#122, coalesce(tpch_sf40.customer.c_acctbal, 0)->Column#140	26.2 KB	N/A
  └─Projection_75	59869690.68	0	root		time:34.4s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.part.p_name, Column#121, Column#122, tpch_sf40.customer.c_acctbal	26.2 KB	N/A
    └─HashJoin_78	59869690.68	0	root		time:34.4s, loops:1, build_hash_table:{total:23.3s, fetch:21.5s, build:1.72s}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)]	861.2 MB	0 Bytes
      ├─TableReader_338(Build)	6371737.80	8000000	root		time:21.3s, loops:8193, cop_task: {num: 514, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_337	1.67 MB	N/A
      │ └─ExchangeSender_337	6371737.80	8000000	mpp[tiflash]		tiflash_task:{proc max:22.1s, min:22s, avg: 22s, p80:22.1s, p95:22.1s, iters:512, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_234	6371737.80	8000000	mpp[tiflash]		tiflash_task:{proc max:21.6s, min:21.5s, avg: 21.6s, p80:21.6s, p95:21.6s, iters:512, tasks:2, threads:4}	gt(Column#122, 0)	N/A	N/A
      │     └─Projection_333	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:21.6s, min:21.5s, avg: 21.6s, p80:21.6s, p95:21.6s, iters:1024, tasks:2, threads:4}	Column#121, Column#122, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │       └─HashAgg_334	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:21.6s, min:21.5s, avg: 21.6s, p80:21.6s, p95:21.6s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#121, funcs:sum(Column#147)->Column#122, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_336	7964672.25	32000000	mpp[tiflash]		tiflash_task:{proc max:20.7s, min:20.6s, avg: 20.7s, p80:20.7s, p95:20.7s, iters:1682, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1373ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_335	7964672.25	32000000	mpp[tiflash]		tiflash_task:{proc max:21.3s, min:0s, avg: 10.7s, p80:21.3s, p95:21.3s, iters:768, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
      │             └─HashAgg_331	7964672.25	32000000	mpp[tiflash]		tiflash_task:{proc max:21.1s, min:0s, avg: 10.6s, p80:21.1s, p95:21.1s, iters:768, tasks:2, threads:4}	group by:Column#150, Column#151, funcs:sum(Column#149)->Column#147	N/A	N/A
      │               └─Projection_346	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.5s, min:0s, avg: 9.24s, p80:18.5s, p95:18.5s, iters:509, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#149, tpch_sf40.partsupp.ps_partkey->Column#150, tpch_sf40.supplier.s_suppkey->Column#151	N/A	N/A
      │                 └─Projection_305	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.5s, min:0s, avg: 9.23s, p80:18.5s, p95:18.5s, iters:509, tasks:2, threads:4}	tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.supplier.s_suppkey	N/A	N/A
      │                   └─Projection_295	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.5s, min:0s, avg: 9.23s, p80:18.5s, p95:18.5s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty	N/A	N/A
      │                     └─HashJoin_294	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:18.5s, min:0s, avg: 9.23s, p80:18.5s, p95:18.5s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
      │                       ├─ExchangeReceiver_271(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:998.3ms, min:0s, avg: 499.2ms, p80:998.3ms, p95:998.3ms, iters:14, tasks:2, threads:4}		N/A	N/A
      │                       │ └─ExchangeSender_270	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:1s, min:0s, avg: 501.9ms, p80:1s, p95:1s, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                       │   └─TableFullScan_269	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:1s, min:0s, avg: 501.9ms, p80:1s, p95:1s, iters:7, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:166ms, min_local_stream:0ms, max_local_stream:993ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:249ms}}	keep order:false	N/A	N/A
      │                       └─TableFullScan_272(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:18s, min:0s, avg: 8.99s, p80:18s, p95:18s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1004ms, pipeline_queue_wait: 85ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 17/5=3.400000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1687ms, min_local_stream:0ms, max_local_stream:17960ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:35594ms}}	keep order:false	N/A	N/A
      └─HashJoin_122(Probe)	59869690.68	0	root		time:34.4s, loops:1, build_hash_table:{total:10.7s, fetch:9.17s, build:1.56s}	left outer join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)]	782.7 MB	0 Bytes
        ├─TableReader_232(Build)	8000000.00	8000000	root		time:9.17s, loops:7816, cop_task: {num: 128, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_231	6.10 MB	N/A
        │ └─ExchangeSender_231	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:6.37s, avg: 8.54s, p80:10.7s, p95:10.7s, iters:126, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─TableFullScan_230	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:10.6s, min:6.33s, avg: 8.49s, p80:10.6s, p95:10.6s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 20ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:452ms, min_local_stream:6311ms, max_local_stream:10633ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:21259ms}}	keep order:false	N/A	N/A
        └─IndexJoin_131(Probe)	59605306.13	0	root		time:34.4s, loops:1, inner:{total:2.95s, concurrency:2, task:1, construct:45µs, fetch:2.95s, build:275ns}, probe:4.69µs	inner join, inner:TableReader_127, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	34.4 KB	N/A
          ├─HashJoin_139(Build)	18805391.20	125	root		time:31.5s, loops:3, build_hash_table:{total:8.1s, fetch:7.51s, build:590.2ms}, probe:{concurrency:2, total:1m3s, max:31.5s, probe:195.1µs, fetch and wait:1m3s}	left outer join, equal:[eq(tpch_sf40.customer.c_name, tpch_sf40.customer.c_name)]	378.5 MB	0 Bytes
          │ ├─TableReader_212(Build)	2720578.63	2726248	root		time:7.5s, loops:2664, cop_task: {num: 43, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_211	4.63 MB	N/A
          │ │ └─ExchangeSender_211	2720578.63	2726248	mpp[tiflash]		tiflash_task:{time:7.82s, loops:42, threads:2}	ExchangeType: PassThrough	N/A	N/A
          │ │   └─Window_209	2720578.63	2726248	mpp[tiflash]		tiflash_task:{time:7.75s, loops:42, threads:2}	row_number()->Column#139 over(order by tpch_sf40.customer.c_acctbal desc rows between current row and current row)	N/A	N/A
          │ │     └─Sort_108	2720578.63	2726248	mpp[tiflash]		tiflash_task:{time:7.78s, loops:42, threads:1}	tpch_sf40.customer.c_acctbal:desc	N/A	N/A
          │ │       └─ExchangeReceiver_107	2720578.63	2726248	mpp[tiflash]		tiflash_task:{time:7.39s, loops:95, threads:2}, tiflash_wait: {pipeline_queue_wait: 23ms}		N/A	N/A
          │ │         └─ExchangeSender_106	2720578.63	2726248	mpp[tiflash]		tiflash_task:{time:7.48s, loops:95, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
