-- Query: 25839
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_orderdate DESC) AS order_rank
   ...
-- Execution time: 24.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_54	133974193824723.05	0	root		time:23.5s, loops:1, RU:19883.974630	Column#70:desc, tpch_sf40.orders.o_orderdate	0 Bytes	0 Bytes
└─Projection_56	133974193824723.05	0	root		time:23.5s, loops:1, Concurrency:2	tpch_sf40.customer.c_name, Column#70, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.part.p_name, Column#109, Column#110, case(isnull(Column#70), No Orders, Orders Present)->Column#111, if(eq(Column#109, 0), <nil>, Column#109)->Column#112	28.8 KB	N/A
  └─HashJoin_58	133974193824723.05	0	root		time:23.5s, loops:1, build_hash_table:{total:22.7s, fetch:22.4s, build:306.8ms}	CARTESIAN left outer join	1.06 GB	0 Bytes
    ├─TableReader_263(Build)	6400000.00	8000000	root		time:20.8s, loops:8193, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_262	1.84 MB	N/A
    │ └─ExchangeSender_262	6400000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:22.3s, min:22.3s, avg: 22.3s, p80:22.3s, p95:22.3s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_177	6400000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.7s, avg: 20.8s, p80:20.9s, p95:20.9s, iters:1024, tasks:2, threads:4}	gt(Column#109, 100)	N/A	N/A
    │     └─Projection_258	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.7s, avg: 20.8s, p80:20.9s, p95:20.9s, iters:1024, tasks:2, threads:4}	Column#109, Column#110, tpch_sf40.part.p_name	N/A	N/A
    │       └─HashAgg_259	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:20.9s, min:20.7s, avg: 20.8s, p80:20.9s, p95:20.9s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_brand, tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#132)->Column#109, funcs:sum(Column#133)->Column#110, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, stream_count: 2	N/A	N/A
    │         └─ExchangeReceiver_261	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:20.6s, min:20.3s, avg: 20.4s, p80:20.6s, p95:20.6s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 925ms}	stream_count: 2	N/A	N/A
    │           └─ExchangeSender_260	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:20.6s, min:0s, avg: 10.3s, p80:20.6s, p95:20.6s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_brand, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
