-- Query: 25842
-- SQL: WITH ranked_orders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalpr...
-- Execution time: 36.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_92	3207936.50	0	root		time:35.6s, loops:1, RU:57544.468887	tpch_sf40.part.p_retailprice:desc, Column#128:desc	0 Bytes	0 Bytes
└─TableReader_372	3207936.50	0	root		time:35.6s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_371	6.98 KB	N/A
  └─ExchangeSender_371	3207936.50	0	mpp[tiflash]		tiflash_task:{proc max:35.5s, min:35.5s, avg: 35.5s, p80:35.5s, p95:35.5s, iters:280, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_95	3207936.50	0	mpp[tiflash]		tiflash_task:{proc max:35.5s, min:35.5s, avg: 35.5s, p80:35.5s, p95:35.5s, iters:280, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, coalesce(Column#75, 0)->Column#128, coalesce(Column#92, 0)->Column#129, coalesce(Column#108, 0)->Column#130, coalesce(Column#109, 0)->Column#131	N/A	N/A
      └─Projection_370	3207936.50	0	mpp[tiflash]		tiflash_task:{proc max:35.5s, min:35.5s, avg: 35.5s, p80:35.5s, p95:35.5s, iters:280, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#75, Column#92, Column#108, Column#109	N/A	N/A
        └─Projection_367	3207936.50	0	mpp[tiflash]		tiflash_task:{proc max:35.5s, min:35.5s, avg: 35.5s, p80:35.5s, p95:35.5s, iters:280, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#108, Column#109, Column#75, Column#92, tpch_sf40.customer.c_custkey	N/A	N/A
          └─HashJoin_366	3207936.50	0	mpp[tiflash]		tiflash_task:{proc max:35.5s, min:35.5s, avg: 35.5s, p80:35.5s, p95:35.5s, iters:280, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey)], left cond:[gt(Column#76, 0)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_170(Build)	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:33.7s, avg: 33.7s, p80:33.7s, p95:33.7s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_169	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:0s, avg: 16.9s, p80:33.8s, p95:33.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─HashJoin_101	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:33.8s, min:0s, avg: 16.9s, p80:33.8s, p95:33.8s, iters:512, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
            │     ├─Projection_133(Build)	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:26.9s, min:0s, avg: 13.5s, p80:26.9s, p95:26.9s, iters:512, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#108, Column#109	N/A	N/A
            │     │ └─HashJoin_102	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:26.9s, min:0s, avg: 13.5s, p80:26.9s, p95:26.9s, iters:512, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
            │     │   ├─ExchangeReceiver_107(Build)	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:13.8s, min:0s, avg: 6.9s, p80:13.8s, p95:13.8s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            │     │   │ └─ExchangeSender_106	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:13.8s, min:0s, avg: 6.9s, p80:13.8s, p95:13.8s, iters:0, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
            │     │   │   └─Selection_105	3185503.18	0	mpp[tiflash]		tiflash_task:{proc max:13.8s, min:0s, avg: 6.9s, p80:13.8s, p95:13.8s, iters:0, tasks:2, threads:4}	like(tpch_sf40.part.p_type, "%plastic%", 92)	N/A	N/A
            │     │   │     └─TableFullScan_104	3981878.98	3996550	mpp[tiflash]	table:p	tiflash_task:{proc max:13.8s, min:0s, avg: 6.9s, p80:13.8s, p95:13.8s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 396ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:544ms, min_local_stream:0ms, max_local_stream:13658ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:29047ms}}	pushed down filter:gt(tpch_sf40.part.p_retailprice, 1499.495035), keep order:false	N/A	N/A
            │     │   └─Projection_124(Probe)	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:26.9s, min:0s, avg: 13.5s, p80:26.9s, p95:26.9s, iters:1024, tasks:2, threads:4}	Column#108, Column#109, tpch_sf40.partsupp.ps_partkey	N/A	N/A
            │     │     └─HashAgg_125	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:26.9s, min:0s, avg: 13.5s, p80:26.9s, p95:26.9s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#136)->Column#108, funcs:min(Column#137)->Column#109, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
            │     │       └─ExchangeReceiver_127	7964672.25	8000007	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:0s, avg: 13.4s, p80:26.8s, p95:26.8s, iters:640, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 13711ms, pipeline_queue_wait: 412ms}	stream_count: 2	N/A	N/A
            │     │         └─ExchangeSender_126	7964672.25	8000007	mpp[tiflash]		tiflash_task:{proc max:26.8s, min:0s, avg: 13.4s, p80:26.8s, p95:26.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
            │     │           └─HashAgg_109	7964672.25	8000007	mpp[tiflash]		tiflash_task:{proc max:26.7s, min:0s, avg: 13.4s, p80:26.7s, p95:26.7s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(tpch_sf40.partsupp.ps_supplycost)->Column#136, funcs:min(tpch_sf40.partsupp.ps_availqty)->Column#137	N/A	N/A
            │     │             └─Projection_119	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:25.9s, min:0s, avg: 12.9s, p80:25.9s, p95:25.9s, iters:509, tasks:2, threads:4}	tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
            │     │               └─HashJoin_114	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:25.9s, min:0s, avg: 12.9s, p80:25.9s, p95:25.9s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
            │     │                 ├─ExchangeReceiver_117(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:3.11s, min:0s, avg: 1.55s, p80:3.11s, p95:3.11s, iters:14, tasks:2, threads:4}		N/A	N/A
            │     │                 │ └─ExchangeSender_116	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.13s, min:0s, avg: 1.56s, p80:3.13s, p95:3.13s, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │     │                 │   └─TableFullScan_115	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:3.13s, min:0s, avg: 1.56s, p80:3.13s, p95:3.13s, iters:7, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:157ms, min_local_stream:0ms, max_local_stream:3129ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:263ms}}	keep order:false	N/A	N/A
            │     │                 └─TableFullScan_118(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:25.5s, min:0s, avg: 12.7s, p80:25.5s, p95:25.5s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3031ms, pipeline_queue_wait: 738ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:1ms, region_balance:{instance_num: 2, max/min: 17/5=3.400000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:34ms, tot_build_inputstream:1075ms, min_local_stream:0ms, max_local_stream:25398ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:34ms, tot_read:52008ms}}	keep order:false	N/A	N/A
            │     └─Projection_149(Probe)	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:33.7s, min:0s, avg: 16.9s, p80:33.7s, p95:33.7s, iters:512, tasks:2, threads:4}	Column#75, Column#76, tpch_sf40.customer.c_custkey	N/A	N/A
