-- Query: 25846
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY n.n_nationkey ORDER BY s.s_acctbal DESC) AS rnk
    FROM 
    ...
-- Execution time: 109.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_115	204793.34	125	root		time:1m48.4s, loops:2, RU:188278.406174, Concurrency:2	tpch_sf40.supplier.s_name, Column#173->Column#218, tpch_sf40.region.r_name, Column#214->Column#220, Column#215->Column#221	38.8 KB	N/A
└─Sort_117	204793.34	125	root		time:1m48.4s, loops:2	Column#173:desc, Column#214:desc	28.7 KB	0 Bytes
  └─TableReader_599	204793.34	125	root		time:1m48.4s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_598	12.6 KB	N/A
    └─ExchangeSender_598	204793.34	125	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:1m48.3s, avg: 1m48.3s, p80:1m48.3s, p95:1m48.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Selection_120	204793.34	125	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:1m48.3s, avg: 1m48.3s, p80:1m48.3s, p95:1m48.3s, iters:4, tasks:2, threads:4}	gt(Column#216, 100)	N/A	N/A
        └─Projection_594	255991.68	125	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:1m48.3s, avg: 1m48.3s, p80:1m48.3s, p95:1m48.3s, iters:4, tasks:2, threads:4}	Column#214, Column#215, Column#216, tpch_sf40.supplier.s_name, Column#173, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_595	255991.68	125	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:1m48.3s, avg: 1m48.3s, p80:1m48.3s, p95:1m48.3s, iters:4, tasks:2, threads:4}	group by:Column#173, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#214, funcs:sum(Column#275)->Column#215, funcs:sum(Column#276)->Column#216, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(Column#173)->Column#173, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_597	255991.68	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:1m48.3s, avg: 1m48.3s, p80:1m48.3s, p95:1m48.3s, iters:7, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_596	255991.68	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: Column#173, collate: binary], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_592	255991.68	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:2, tasks:2, threads:2}	group by:Column#284, Column#285, Column#286, Column#287, funcs:sum(Column#282)->Column#275, funcs:sum(Column#283)->Column#276	N/A	N/A
                  └─Projection_603	155624323.44	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:9, tasks:2, threads:4}	cast(case(eq(tpch_sf40.lineitem.l_returnflag, R), 1, 0), decimal(20,0) BINARY)->Column#282, tpch_sf40.lineitem.l_quantity->Column#283, tpch_sf40.supplier.s_name->Column#284, Column#173->Column#285, tpch_sf40.region.r_name->Column#286, tpch_sf40.orders.o_orderkey->Column#287	N/A	N/A
                    └─Projection_581	155624323.44	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:9, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#173, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_returnflag, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name	N/A	N/A
                      └─Projection_571	155624323.44	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:9, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#173, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_returnflag, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                        └─HashJoin_570	155624323.44	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:9, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                          ├─ExchangeReceiver_237(Build)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:9.19s, min:0s, avg: 4.6s, p80:9.19s, p95:9.19s, iters:3616, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 309ms}	stream_count: 2	N/A	N/A
                          │ └─ExchangeSender_236	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                          │   └─TableFullScan_235	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:10.1s, min:0s, avg: 5.05s, p80:10.1s, p95:10.1s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 875ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1285ms, min_local_stream:10060ms, max_local_stream:10087ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:12081ms}}	keep order:false	N/A	N/A
                          └─ExchangeReceiver_234(Probe)	154536032.17	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:9, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 10165ms, pipeline_queue_wait: 79ms}		N/A	N/A
                            └─ExchangeSender_233	154536032.17	74953	mpp[tiflash]		tiflash_task:{proc max:1m48.3s, min:0s, avg: 54.2s, p80:1m48.3s, p95:1m48.3s, iters:7750, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
