-- Query: 25847
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        c.c_name,
        c.c_acctbal,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice DES...
-- Execution time: 92.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_156	18540361.57	14	root		time:1m28.6s, loops:2, RU:93836.998983	Column#190:desc, tpch_sf40.orders.o_orderdate	4.76 KB	0 Bytes
└─TableReader_393	18540361.57	14	root		time:1m28.6s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_392	7.52 KB	N/A
  └─ExchangeSender_392	18540361.57	14	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_159	18540361.57	14	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_acctbal, coalesce(Column#188, 0)->Column#190, Column#189	N/A	N/A
      └─Selection_391	18540361.57	14	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	gt(coalesce(Column#188, 0), 1000)	N/A	N/A
        └─Projection_385	23175451.97	25	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	Column#188, Column#189, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_acctbal	N/A	N/A
          └─HashAgg_386	23175451.97	25	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_acctbal, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:sum(Column#209)->Column#188, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#189, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.customer.c_acctbal)->tpch_sf40.customer.c_acctbal, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_388	23175451.97	97	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:1m28.6s, avg: 1m28.6s, p80:1m28.6s, p95:1m28.6s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_387	23175451.97	97	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:0s, avg: 44.3s, p80:1m28.6s, p95:1m28.6s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.customer.c_acctbal, collate: binary], stream_count: 2	N/A	N/A
                └─HashAgg_383	23175451.97	97	mpp[tiflash]		tiflash_task:{proc max:1m28.6s, min:0s, avg: 44.3s, p80:1m28.6s, p95:1m28.6s, iters:2, tasks:2, threads:2}	group by:Column#215, Column#216, Column#217, Column#218, Column#219, funcs:sum(Column#214)->Column#209	N/A	N/A
