-- Query: 25853
-- SQL: WITH SupplierOrderStats AS (
    SELECT
        s.s_suppkey,
        s.s_name,
        COUNT(o.o_orderkey) AS total_orders,
        AVG(o.o_totalprice) AS avg_order_value,
        SUM(CASE WHEN l.l_re...
-- Execution time: 57.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_103	25.00	0	root		time:57s, loops:1, RU:148962.854904	tpch_sf40.region.r_name, Column#248:desc	0 Bytes	0 Bytes
└─Projection_105	25.00	0	root		time:57s, loops:1, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#247, Column#248, Column#249, coalesce(if(eq(Column#249, 0), <nil>, Column#249), <nil>)->Column#252	4.42 KB	N/A
  └─TableReader_179	25.00	0	root		time:57s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_178	8.66 KB	N/A
    └─ExchangeSender_178	25.00	0	mpp[tiflash]		tiflash_task:{proc max:57s, min:56.9s, avg: 56.9s, p80:57s, p95:57s, iters:8, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_177	25.00	0	mpp[tiflash]		tiflash_task:{proc max:57s, min:56.9s, avg: 56.9s, p80:57s, p95:57s, iters:8, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#247, Column#248, Column#249, tpch_sf40.supplier.s_name	N/A	N/A
        └─HashJoin_107	25.00	0	mpp[tiflash]		tiflash_task:{proc max:57s, min:56.9s, avg: 56.9s, p80:57s, p95:57s, iters:8, tasks:2, threads:4}	inner join, equal:[eq(Column#198, Column#247)]	N/A	N/A
          ├─ExchangeReceiver_136(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:2.63s, min:2.54s, avg: 2.59s, p80:2.63s, p95:2.63s, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 95ms}		N/A	N/A
          │ └─ExchangeSender_135	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.26s, p80:2.53s, p95:2.53s, iters:2, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
          │   └─Projection_131	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.26s, p80:2.53s, p95:2.53s, iters:2, tasks:2, threads:2}	Column#198, tpch_sf40.region.r_name	N/A	N/A
          │     └─HashAgg_132	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.26s, p80:2.53s, p95:2.53s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#198, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          │       └─ExchangeReceiver_134	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.52s, min:0s, avg: 1.26s, p80:2.52s, p95:2.52s, iters:42, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 1889ms}	stream_count: 2	N/A	N/A
          │         └─ExchangeSender_133	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:2.52s, min:0s, avg: 1.26s, p80:2.52s, p95:2.52s, iters:256, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
          │           └─HashAgg_111	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:688.5ms, min:0s, avg: 344.2ms, p80:688.5ms, p95:688.5ms, iters:256, tasks:2, threads:2}	group by:tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey, 	N/A	N/A
          │             └─Projection_130	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:232.5ms, min:0s, avg: 116.2ms, p80:232.5ms, p95:232.5ms, iters:7, tasks:2, threads:2}	tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
          │               └─Projection_124	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:232.5ms, min:0s, avg: 116.2ms, p80:232.5ms, p95:232.5ms, iters:7, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey	N/A	N/A
          │                 └─HashJoin_114	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:231.5ms, min:0s, avg: 115.7ms, p80:231.5ms, p95:231.5ms, iters:7, tasks:2, threads:2}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
          │                   ├─ExchangeReceiver_123(Build)	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:49.5ms, min:0s, avg: 24.7ms, p80:49.5ms, p95:49.5ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 28ms}		N/A	N/A
          │                   │ └─ExchangeSender_122	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:44.3ms, min:0s, avg: 22.1ms, p80:44.3ms, p95:44.3ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
