-- Query: 25856
-- SQL: WITH SupplierTotal AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM 
        supplier s
    JOIN 
        partsupp...
-- Execution time: 8.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_130	20.00	0	root		time:7.7s, loops:1, RU:40825.380248, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#166, coalesce(Column#167, 0)->Column#171, coalesce(Column#168, 0)->Column#172, Column#169, Column#170	7.22 KB	N/A
└─Projection_382	20.00	0	root		time:7.7s, loops:1, Concurrency:OFF	Column#166, Column#167, Column#168, Column#169, Column#170, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	8.62 KB	N/A
  └─TopN_133	20.00	0	root		time:7.7s, loops:1	Column#199:desc, offset:0, count:50	0 Bytes	0 Bytes
    └─Projection_383	20.00	0	root		time:7.7s, loops:2, Concurrency:OFF	Column#166, Column#167, Column#168, Column#169, Column#170, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, coalesce(Column#167, 0)->Column#199	7.22 KB	N/A
      └─HashAgg_135	20.00	0	root		time:7.7s, loops:2	group by:Column#197, Column#198, funcs:count(distinct Column#192)->Column#166, funcs:sum(Column#193)->Column#167, funcs:sum(Column#194)->Column#168, funcs:avg(Column#195)->Column#169, funcs:max(Column#196)->Column#170, funcs:firstrow(Column#197)->tpch_sf40.nation.n_name, funcs:firstrow(Column#198)->tpch_sf40.region.r_name	7.95 KB	0 Bytes
        └─Projection_381	4799992.00	0	root		time:7.7s, loops:1, Concurrency:2	tpch_sf40.customer.c_custkey->Column#192, cast(Column#95, decimal(20,0) BINARY)->Column#193, Column#112->Column#194, Column#96->Column#195, Column#155->Column#196, tpch_sf40.nation.n_name->Column#197, tpch_sf40.region.r_name->Column#198	26.8 KB	N/A
          └─HashJoin_136	4799992.00	0	root		time:7.7s, loops:1, build_hash_table:{total:9.87ms, fetch:9.87ms, build:2.15µs}	CARTESIAN left outer join	1.43 KB	0 Bytes
            ├─HashAgg_365(Build)	1.00	1	root		time:9.85ms, loops:2, partial_worker:{wall_time:9.841491ms, concurrency:2, task_num:1, tot_wait:9.067337ms, tot_exec:719.794µs, tot_time:19.584549ms, max:9.792782ms, p95:9.792782ms}, final_worker:{wall_time:9.850998ms, concurrency:2, task_num:2, tot_wait:2.036µs, tot_exec:24ns, tot_time:19.601622ms, max:9.803999ms, p95:9.803999ms}	group by:Column#191, funcs:sum(Column#190)->Column#155	4.59 KB	0 Bytes
            │ └─Projection_380	1.07	1	root		time:9.08ms, loops:2, Concurrency:OFF	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#190, tpch_sf40.orders.o_orderkey->Column#191	3.18 KB	N/A
            │   └─HashJoin_368	1.07	1	root		time:9.06ms, loops:2, build_hash_table:{total:7.5ms, fetch:7.49ms, build:12.2µs}, probe:{concurrency:2, total:18ms, max:8.98ms, probe:12.3µs, fetch and wait:17.9ms}	CARTESIAN inner join	9.46 KB	0 Bytes
            │     ├─Point_Get_369(Build)	1.00	1	root	table:orders	time:7.47ms, loops:2, Get:{num_rpc:2, total_time:16.8ms}, time_detail: {total_process_time: 15.7ms, total_wait_time: 492.3µs, total_kv_read_wall_time: 16.2ms, tikv_wall_time: 16.2ms}, scan_detail: {total_process_keys: 2, total_process_keys_size: 320, total_keys: 2, get_snapshot_time: 293.1µs, rocksdb: {block: {cache_hit_count: 5, read_count: 13, read_byte: 1.12 MB, read_time: 9.32ms}}}	handle:208225190	N/A	N/A
            │     └─TableReader_372(Probe)	1.07	1	root		time:8.97ms, loops:2, cop_task: {num: 1, max: 9.06ms, proc_keys: 1, tot_proc: 8.32ms, tot_wait: 327µs, copr_cache_hit_ratio: 0.00, build_task_duration: 3.09µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:9.05ms}}	data:Selection_371	424 Bytes	N/A
            │       └─Selection_371	1.07	1	cop[tikv]		tikv_task:{time:9ms, loops:1}, scan_detail: {total_process_keys: 1, total_process_keys_size: 203, total_keys: 2, get_snapshot_time: 318.3µs, rocksdb: {key_skipped_count: 1, block: {cache_hit_count: 3, read_count: 5, read_byte: 467.3 KB, read_time: 4.74ms}}}, time_detail: {total_process_time: 8.32ms, total_suspend_time: 7.25µs, total_wait_time: 327µs, total_kv_read_wall_time: 7ms, tikv_wall_time: 8.73ms}	ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01)	N/A	N/A
            │         └─TableRangeScan_370	4.03	1	cop[tikv]	table:l	tikv_task:{time:7ms, loops:1}	range:[208225190,208225190], keep order:false	N/A	N/A
            └─HashJoin_138(Probe)	4799992.00	0	root		time:7.7s, loops:1, build_hash_table:{total:137.9ms, fetch:137.9ms, build:8.54µs}	CARTESIAN left outer join	1.43 KB	0 Bytes
              ├─HashAgg_350(Build)	1.00	1	root		time:137.8ms, loops:2, partial_worker:{wall_time:137.820757ms, concurrency:2, task_num:1, tot_wait:137.710286ms, tot_exec:32.718µs, tot_time:275.500493ms, max:137.750909ms, p95:137.750909ms}, final_worker:{wall_time:137.834681ms, concurrency:2, task_num:2, tot_wait:1.667µs, tot_exec:32ns, tot_time:275.527173ms, max:137.764634ms, p95:137.764634ms}	group by:Column#188, Column#189, funcs:sum(Column#187)->Column#112	16.8 KB	0 Bytes
              │ └─Projection_379	80.24	80	root		time:137.7ms, loops:2, Concurrency:OFF	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#187, tpch_sf40.supplier.s_suppkey->Column#188, tpch_sf40.supplier.s_name->Column#189	9.43 KB	N/A
