-- Query: 25860
-- SQL: WITH SupplierSales AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        RANK() OVER (PARTITION BY s.s_suppkey ORDER BY SU...
-- Execution time: 96.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_66	319027.20	400000	root		time:1m36.2s, loops:392, RU:219823.712199, Concurrency:2	tpch_sf40.supplier.s_name, Column#158->Column#162, Column#159->Column#163, Column#160->Column#164	514.5 KB	N/A
└─Sort_68	319027.20	400000	root		time:1m36.2s, loops:392	Column#129:desc, Column#158:desc	57.5 MB	0 Bytes
  └─TableReader_343	319027.20	400000	root		time:1m36s, loops:513, cop_task: {num: 258, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_342	402.3 KB	N/A
    └─ExchangeSender_342	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:1m36s, min:1m36s, avg: 1m36s, p80:1m36s, p95:1m36s, iters:256, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_71	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:1m36s, min:1m36s, avg: 1m36s, p80:1m36s, p95:1m36s, iters:256, tasks:2, threads:4}	tpch_sf40.supplier.s_name, coalesce(Column#156, 0)->Column#158, coalesce(Column#157, 0)->Column#159, case(gt(coalesce(Column#157, 0), 10000), High Value, and(ge(coalesce(Column#157, 0), 5000), le(coalesce(Column#157, 0), 10000)), Medium Value, Low Value)->Column#160, Column#129	N/A	N/A
        └─Projection_341	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:1m36s, min:1m36s, avg: 1m36s, p80:1m36s, p95:1m36s, iters:256, tasks:2, threads:4}	Column#129, tpch_sf40.supplier.s_name, Column#156, Column#157, tpch_sf40.supplier.s_suppkey	N/A	N/A
          └─HashJoin_340	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:1m36s, min:1m36s, avg: 1m36s, p80:1m36s, p95:1m36s, iters:256, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
            ├─Selection_76(Build)	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:1m35.7s, min:1m35.7s, avg: 1m35.7s, p80:1m35.7s, p95:1m35.7s, iters:8, tasks:2, threads:4}	le(Column#131, 10), stream_count: 2	N/A	N/A
            │ └─Window_78	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1m35.7s, min:1m35.7s, avg: 1m35.7s, p80:1m35.7s, p95:1m35.7s, iters:8, tasks:2, threads:4}	rank()->Column#131 over(partition by tpch_sf40.supplier.s_suppkey order by Column#129 desc), stream_count: 2	N/A	N/A
            │   └─Sort_108	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1m35.7s, min:1m35.7s, avg: 1m35.7s, p80:1m35.7s, p95:1m35.7s, iters:8, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, Column#129:desc, stream_count: 2	N/A	N/A
