-- Query: 25868
-- SQL: WITH LatestOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_custkey,
        CONCAT(c.c_name, ' from ', c.c_address) AS CustomerInfo
    FROM 
 ...
-- Execution time: 2.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_156	0.32	0	root		time:2.55s, loops:1, RU:27509.433660	tpch_sf40.part.p_partkey:desc	0 Bytes	0 Bytes
└─Projection_158	0.32	0	root		time:2.55s, loops:1, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, coalesce(Column#93, 0)->Column#120, coalesce(Column#101, 0)->Column#121, case(isnull(Column#101), No suppliers available, Available)->Column#122	4.17 KB	N/A
  └─Projection_160	0.32	0	root		time:2.55s, loops:1, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#93, Column#101	4.17 KB	N/A
    └─HashJoin_166	0.32	0	root		time:2.55s, loops:1, build_hash_table:{total:10.2ms, fetch:10.2ms, build:0s}, probe:{concurrency:2, total:5.11s, max:2.55s, probe:1.94ms, fetch and wait:5.1s}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)]	0 Bytes	0 Bytes
      ├─IndexJoin_282(Build)	0.32	0	root		time:10.2ms, loops:1	left outer join, inner:HashAgg_276, outer key:tpch_sf40.part.p_partkey, inner key:tpch_sf40.partsupp.ps_partkey, equal cond:eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)	0 Bytes	N/A
      │ ├─TableReader_298(Build)	0.32	0	root		time:10.1ms, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_297	605 Bytes	N/A
      │ │ └─ExchangeSender_297	0.32	0	mpp[tiflash]		tiflash_task:{proc max:10.6ms, min:3.86ms, avg: 7.23ms, p80:10.6ms, p95:10.6ms, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │ │   └─Selection_296	0.32	0	mpp[tiflash]		tiflash_task:{proc max:10.6ms, min:3.86ms, avg: 7.23ms, p80:10.6ms, p95:10.6ms, iters:0, tasks:2, threads:4}	ge(tpch_sf40.part.p_size, 5), le(tpch_sf40.part.p_size, 20)	N/A	N/A
      │ │     └─TableFullScan_295	1.00	0	mpp[tiflash]	table:p	tiflash_task:{proc max:10.6ms, min:3.86ms, avg: 7.23ms, p80:10.6ms, p95:10.6ms, iters:0, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:3ms, max_local_stream:9ms, dtfile:{data_scanned_rows:0, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	pushed down filter:gt(tpch_sf40.part.p_retailprice, NULL), keep order:false	N/A	N/A
      │ └─HashAgg_276(Probe)	0.32	0	root			group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#144)->Column#101, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │   └─TableReader_277	0.32	0	root			data:HashAgg_275	N/A	N/A
      │     └─HashAgg_275	0.32	0	cop[tikv]			group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)))->Column#144	N/A	N/A
      │       └─TableRangeScan_274	0.32	0	cop[tikv]	table:ps		range: decided by [eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)], keep order:false	N/A	N/A
      └─HashAgg_340(Probe)	101551.32	99350	root		time:2.55s, loops:99, partial_worker:{wall_time:2.546737656s, concurrency:2, task_num:98, tot_wait:5.0742226s, tot_exec:19.071601ms, tot_time:5.093436747s, max:2.546718573s, p95:2.546718573s}, final_worker:{wall_time:2.55252243s, concurrency:2, task_num:4, tot_wait:1.452µs, tot_exec:6.496885ms, tot_time:5.104929303s, max:2.55250249s, p95:2.55250249s}	group by:tpch_sf40.lineitem.l_partkey, funcs:count(1)->Column#93, funcs:firstrow(tpch_sf40.lineitem.l_partkey)->tpch_sf40.lineitem.l_partkey	16.4 MB	0 Bytes
        └─IndexHashJoin_357	101551.32	99987	root		time:2.55s, loops:99, inner:{total:3.13s, concurrency:2, task:4, construct:5.73ms, fetch:3.11s, build:1.4ms, join:16.4ms}	inner join, inner:TableReader_352, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	3.85 MB	N/A
          ├─IndexJoin_387(Build)	25209.00	24903	root		time:1.61s, loops:27, inner:{total:2.85s, concurrency:2, task:4, construct:7.76ms, fetch:2.84s, build:3.19ms}, probe:2.46ms	inner join, inner:TableReader_384, outer key:tpch_sf40.orders.o_custkey, inner key:tpch_sf40.customer.c_custkey, equal cond:eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)	2.58 MB	N/A
          │ ├─TableReader_423(Build)	25209.00	24903	root		time:414.4ms, loops:47, cop_task: {num: 28, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_422	24.9 KB	N/A
          │ │ └─ExchangeSender_422	25209.00	24903	mpp[tiflash]		tiflash_task:{proc max:413.6ms, min:410.6ms, avg: 412.1ms, p80:413.6ms, p95:413.6ms, iters:1023, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          │ │   └─TableFullScan_420	25209.00	24903	mpp[tiflash]	table:o	tiflash_task:{proc max:413.6ms, min:410.6ms, avg: 412.1ms, p80:413.6ms, p95:413.6ms, iters:1023, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:4ms, tot_build_inputstream:12ms, min_local_stream:398ms, max_local_stream:403ms, dtfile:{data_scanned_rows:58029490, data_skipped_rows:1908736, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:58029490, lm_filter_skipped_rows:1970510, tot_rs_index_check:0ms, tot_read:1445ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderdate, 1998-08-02), keep order:false	N/A	N/A
          │ └─TableReader_384(Probe)	25209.00	24903	root		time:2.83s, loops:31, cop_task: {num: 62, max: 230.1ms, min: 3.42ms, avg: 85.6ms, p95: 193.4ms, max_proc_keys: 992, p95_proc_keys: 992, tot_proc: 4.3s, tot_wait: 19.8ms, copr_cache_hit_ratio: 0.00, build_task_duration: 1.2ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:62, total_time:5.31s}}	data:TableRangeScan_383	N/A	N/A
          │   └─TableRangeScan_383	25209.00	24903	cop[tikv]	table:c	tikv_task:{proc max:230ms, min:3ms, avg: 84.6ms, p80:113ms, p95:192ms, iters:229, tasks:62}, scan_detail: {total_process_keys: 24903, total_process_keys_size: 5063554, total_keys: 24945, get_snapshot_time: 2.91ms, rocksdb: {block: {cache_hit_count: 54427, read_count: 18756, read_byte: 223.6 MB, read_time: 3.77s}}}, time_detail: {total_process_time: 4.3s, total_suspend_time: 944.4ms, total_wait_time: 19.8ms, total_kv_read_wall_time: 5.24s, tikv_wall_time: 5.29s}	range: decided by [tpch_sf40.orders.o_custkey], keep order:false	N/A	N/A
          └─TableReader_352(Probe)	25209.00	99987	root		time:3.1s, loops:103, cop_task: {num: 411, max: 52.1ms, min: 240.3µs, avg: 14.9ms, p95: 30.5ms, max_proc_keys: 480, p95_proc_keys: 402, tot_proc: 4.69s, tot_wait: 179.1ms, copr_cache_hit_ratio: 0.00, build_task_duration: 1.07ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:411, total_time:6.13s}}	data:TableRangeScan_351	N/A	N/A
            └─TableRangeScan_351	25209.00	99987	cop[tikv]	table:l	tikv_task:{proc max:50ms, min:0s, avg: 14.2ms, p80:21ms, p95:29ms, iters:1328, tasks:411}, scan_detail: {total_process_keys: 99987, total_process_keys_size: 19657395, total_keys: 125077, get_snapshot_time: 82.8ms, rocksdb: {key_skipped_count: 99987, block: {cache_hit_count: 79558, read_count: 21393, read_byte: 182.7 MB, read_time: 3.96s}}}, time_detail: {total_process_time: 4.69s, total_suspend_time: 1.17s, total_wait_time: 179.1ms, total_kv_read_wall_time: 5.85s, tikv_wall_time: 6.07s}	range: decided by [eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], keep order:false	N/A	N/A
