-- Query: 25873
-- SQL: WITH RegionalSales AS (
    SELECT 
        n.n_name AS nation_name,
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_ord...
-- Execution time: 22.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_299	12.80	11	root		time:22.3s, loops:2, RU:124690.461054	tpch_sf40.region.r_name, Column#107:desc	3.81 KB	0 Bytes
└─Projection_301	12.80	11	root		time:22.3s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, coalesce(tpch_sf40.nation.n_name, Unknown)->Column#116, Column#107, Column#108, case(eq(Column#109, 1), Top Seller, Regular Seller)->Column#117	3.39 KB	N/A
  └─HashJoin_302	12.80	11	root		time:22.3s, loops:2, build_hash_table:{total:22.3s, fetch:22.3s, build:11.8µs}, probe:{concurrency:2, total:44.6s, max:22.3s, probe:443µs, fetch and wait:44.6s}	CARTESIAN inner join, other cond:gt(Column#107, Column#115)	41.5 KB	0 Bytes
    ├─Selection_308(Build)	0.80	1	root		time:22.3s, loops:2	not(isnull(Column#115))	233 Bytes	N/A
    │ └─MaxOneRow_309	1.00	1	root		time:22.3s, loops:3		N/A	N/A
    │   └─StreamAgg_314	1.00	1	root		time:22.3s, loops:2	funcs:avg(Column#112)->Column#115	3.43 KB	N/A
    │     └─CTEFullScan_320	20.00	25	root	CTE:rankedsales	time:22.3s, loops:2	data:CTE_1	N/A	N/A
    └─Selection_304(Probe)	16.00	25	root		time:22.3s, loops:2	not(isnull(Column#107))	3.39 KB	N/A
      └─CTEFullScan_306	20.00	25	root	CTE:rankedsales AS r	time:22.3s, loops:3	data:CTE_1	6.77 KB	0 Bytes
CTE_1	20.00	25	root		time:22.3s, loops:2	Non-Recursive CTE	N/A	N/A
└─TableReader_297(Seed Part)	20.00	25	root		time:22.3s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_296	7.15 KB	N/A
  └─ExchangeSender_296	20.00	25	mpp[tiflash]		tiflash_task:{proc max:22.3s, min:22.3s, avg: 22.3s, p80:22.3s, p95:22.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_64	20.00	25	mpp[tiflash]		tiflash_task:{proc max:22.3s, min:22.3s, avg: 22.3s, p80:22.3s, p95:22.3s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#101, Column#102, Column#104, stream_count: 2	N/A	N/A
