-- Query: 25876
-- SQL: WITH SupplyCostCTE AS (
    SELECT ps_partkey, ps_suppkey, 
           ps_availqty,
           ps_supplycost,
           ROW_NUMBER() OVER (PARTITION BY ps_partkey ORDER BY ps_supplycost DESC) AS rnk
...
-- Execution time: 83.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_63	10.00	10	root		time:1m23.5s, loops:2, RU:258816.872487, Concurrency:OFF	tpch_sf40.nation.n_name, Column#109->Column#139, Column#110->Column#140, Column#134->Column#141, case(gt(Column#109, 100000), High sales, and(ge(Column#109, 50000), le(Column#109, 100000)), Medium sales, Low sales)->Column#142, Column#135->Column#143	7.63 KB	N/A
└─TopN_67	10.00	10	root		time:1m23.5s, loops:2	Column#109:desc, offset:0, count:10	7.73 KB	0 Bytes
  └─TableReader_372	10.00	24	root		time:1m23.5s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_371	10.2 KB	N/A
    └─ExchangeSender_371	10.00	24	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_370	10.00	24	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}	Column#109:desc, offset:0, count:10	N/A	N/A
        └─Selection_369	20.00	24	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}	gt(Column#136, 0)	N/A	N/A
          └─Projection_363	25.00	24	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}	div(Column#134, cast(case(eq(Column#209, 0), 1, Column#209), decimal(20,0) BINARY))->Column#134, Column#135, Column#136, tpch_sf40.nation.n_name, Column#109, Column#110	N/A	N/A
            └─HashAgg_364	25.00	24	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}	group by:Column#109, Column#110, tpch_sf40.nation.n_name, funcs:sum(Column#210)->Column#209, funcs:sum(Column#211)->Column#134, funcs:sum(Column#212)->Column#135, funcs:sum(Column#213)->Column#136, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(Column#109)->Column#109, funcs:firstrow(Column#110)->Column#110, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_366	25.00	48	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:1m23.5s, avg: 1m23.5s, p80:1m23.5s, p95:1m23.5s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 5ms}	stream_count: 2	N/A	N/A
                └─ExchangeSender_365	25.00	48	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: Column#109, collate: binary], [name: Column#110, collate: binary], stream_count: 2	N/A	N/A
                  └─HashAgg_361	25.00	48	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:2, tasks:2, threads:2}	group by:Column#224, Column#225, Column#226, funcs:count(Column#221)->Column#210, funcs:sum(Column#222)->Column#211, funcs:sum(Column#223)->Column#212, funcs:sum(Column#224)->Column#213	N/A	N/A
                    └─Projection_376	2006.10	1920	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:492, tasks:2, threads:4}	Column#121->Column#221, Column#121->Column#222, case(eq(Column#133, 1), tpch_sf40.partsupp.ps_supplycost)->Column#223, Column#109->Column#224, tpch_sf40.nation.n_name->Column#225, Column#110->Column#226	N/A	N/A
                      └─Projection_350	2006.10	1920	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:492, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#109, Column#110, Column#121, tpch_sf40.partsupp.ps_supplycost, Column#133	N/A	N/A
                        └─Projection_340	2006.10	1920	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:492, tasks:2, threads:4}	Column#121, tpch_sf40.nation.n_name, Column#109, Column#110, tpch_sf40.partsupp.ps_supplycost, Column#133, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                          └─HashJoin_339	2006.10	1920	mpp[tiflash]		tiflash_task:{proc max:1m23.5s, min:0s, avg: 41.8s, p80:1m23.5s, p95:1m23.5s, iters:492, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
                            ├─ExchangeReceiver_141(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:1m22.5s, min:0s, avg: 41.2s, p80:1m22.5s, p95:1m22.5s, iters:4, tasks:2, threads:4}		N/A	N/A
                            │ └─ExchangeSender_140	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m22.5s, min:0s, avg: 41.2s, p80:1m22.5s, p95:1m22.5s, iters:4, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                            │   └─Projection_139	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m22.5s, min:0s, avg: 41.2s, p80:1m22.5s, p95:1m22.5s, iters:4, tasks:2, threads:4}	Column#121, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, Column#109, Column#110	N/A	N/A
                            │     └─HashJoin_84	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m22.5s, min:0s, avg: 41.2s, p80:1m22.5s, p95:1m22.5s, iters:4, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_nationkey, tpch_sf40.nation.n_nationkey)]	N/A	N/A
                            │       ├─ExchangeReceiver_99(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:2.05s, min:0s, avg: 1.02s, p80:2.05s, p95:2.05s, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 432ms}		N/A	N/A
                            │       │ └─ExchangeSender_98	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.6ms, p80:1.62s, p95:1.62s, iters:4, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                            │       │   └─Projection_94	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.6ms, p80:1.62s, p95:1.62s, iters:4, tasks:2, threads:4}	div(Column#121, cast(case(eq(Column#152, 0), 1, Column#152), decimal(20,0) BINARY))->Column#121, tpch_sf40.customer.c_nationkey	N/A	N/A
                            │       │     └─HashAgg_95	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.6ms, p80:1.62s, p95:1.62s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_nationkey, funcs:sum(Column#153)->Column#152, funcs:sum(Column#154)->Column#121, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, stream_count: 2	N/A	N/A
                            │       │       └─ExchangeReceiver_97	25.00	50	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.6ms, p80:1.62s, p95:1.62s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 311ms}	stream_count: 2	N/A	N/A
