-- Query: 25894
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY n.n_name ORDER BY s.s_acctbal DESC) AS rnk
    FROM 
        s...
-- Execution time: 19.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_158	4096000.00	4000170	root		time:19s, loops:3908, RU:40832.945831	tpch_sf40.part.p_partkey	883.6 MB	0 Bytes
└─Projection_160	4096000.00	4000170	root		time:15.8s, loops:3908, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#57, Column#58, coalesce(tpch_sf40.supplier.s_name, No Supplier)->Column#109, coalesce(tpch_sf40.customer.c_name, No High-Value Customer)->Column#110, case(gt(Column#58, 100), Expensive, and(ge(Column#58, 50), le(Column#58, 100)), Moderate, Cheap)->Column#111	488.8 KB	N/A
  └─HashJoin_161	4096000.00	4000170	root		time:14s, loops:3908, build_hash_table:{total:8.03s, fetch:8.03s, build:7.66µs}, probe:{concurrency:2, total:31.6s, max:15.8s, probe:4.23s, fetch and wait:27.3s}	CARTESIAN inner join, other cond:lt(Column#57, Column#108)	41.5 KB	0 Bytes
    ├─Selection_344(Build)	0.80	1	root		time:8.03s, loops:2	not(isnull(Column#108))	233 Bytes	N/A
    │ └─MaxOneRow_345	1.00	1	root		time:8.03s, loops:3		N/A	N/A
    │   └─StreamAgg_350	1.00	1	root		time:8.03s, loops:2	funcs:avg(Column#106)->Column#108	138.3 KB	N/A
    │     └─CTEFullScan_356	6400000.00	8000000	root	CTE:partsupplierdetails	time:7.94s, loops:8193	data:CTE_2	N/A	N/A
    └─HashJoin_164(Probe)	5120000.00	8000000	root		time:11.8s, loops:7814, build_hash_table:{total:10.7s, fetch:10.1s, build:657.5ms}, probe:{concurrency:2, total:31.6s, max:15.8s, probe:400.4ms, fetch and wait:31.2s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)]	496.0 MB	373.8 MB
      ├─TableReader_343(Build)	4800008.00	3999779	root		time:10.1s, loops:4098, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_342	581.4 KB	N/A
      │ └─ExchangeSender_342	4800008.00	3999779	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:10.2s, avg: 10.2s, p80:10.2s, p95:10.2s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_258	4800008.00	3999779	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1024, tasks:2, threads:4}	gt(Column#100, 50000)	N/A	N/A
      │     └─Projection_338	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1024, tasks:2, threads:4}	Column#100, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
      │       └─HashAgg_339	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#150)->Column#100, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_341	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:10s, min:9.97s, avg: 9.98s, p80:10s, p95:10s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 306ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_340	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5.02s, p80:10s, p95:10s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_336	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5.01s, p80:10s, p95:10s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#150	N/A	N/A
