-- Query: 25909
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        RANK() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalpri...
-- Execution time: 18.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_65	6000010.00	70	root		time:15.8s, loops:2, RU:147237.748189	Column#129:desc	15.3 KB	0 Bytes
└─TableReader_334	6000010.00	70	root		time:15.8s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_333	8.56 KB	N/A
  └─ExchangeSender_333	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.8s, avg: 15.8s, p80:15.8s, p95:15.8s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_68	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.8s, avg: 15.8s, p80:15.8s, p95:15.8s, iters:4, tasks:2, threads:4}	tpch_sf40.customer.c_name, Column#129, Column#130, tpch_sf40.supplier.s_name, case(isnull(Column#131), 0.00, Column#131)->Column#132	N/A	N/A
      └─Projection_329	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.8s, avg: 15.8s, p80:15.8s, p95:15.8s, iters:4, tasks:2, threads:4}	Column#129, Column#130, Column#131, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name	N/A	N/A
        └─HashAgg_330	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.8s, avg: 15.8s, p80:15.8s, p95:15.8s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, funcs:sum(Column#142)->Column#129, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#130, funcs:sum(Column#143)->Column#131, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_332	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:15.8s, avg: 15.8s, p80:15.8s, p95:15.8s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_331	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_327	6000010.00	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:2, tasks:2, threads:2}	group by:Column#148, Column#149, Column#150, funcs:sum(Column#146)->Column#142, funcs:sum(Column#147)->Column#143	N/A	N/A
                └─Projection_337	120131498.19	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#146, tpch_sf40.lineitem.l_discount->Column#147, tpch_sf40.customer.c_name->Column#148, tpch_sf40.supplier.s_name->Column#149, tpch_sf40.orders.o_orderkey->Column#150	N/A	N/A
                  └─Projection_316	120131498.19	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:1016, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.supplier.s_name	N/A	N/A
                    └─Projection_306	120131498.19	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:1016, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                      └─HashJoin_305	120131498.19	70	mpp[tiflash]		tiflash_task:{proc max:15.8s, min:0s, avg: 7.89s, p80:15.8s, p95:15.8s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.partsupp.ps_partkey) eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_109(Build)	29677716.37	70	mpp[tiflash]		tiflash_task:{proc max:14.3s, min:0s, avg: 7.13s, p80:14.3s, p95:14.3s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_108	29677716.37	70	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.12s, p80:14.2s, p95:14.2s, iters:7750, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary], [name: tpch_sf40.lineitem.l_suppkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─Projection_107	29677716.37	70	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.12s, p80:14.2s, p95:14.2s, iters:7750, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_suppkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                        │     └─HashJoin_78	29677716.37	70	mpp[tiflash]		tiflash_task:{proc max:14.2s, min:0s, avg: 7.12s, p80:14.2s, p95:14.2s, iters:7750, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)]	N/A	N/A
                        │       ├─Projection_102(Build)	7367167.27	10	mpp[tiflash]		tiflash_task:{proc max:7.68s, min:0s, avg: 3.84s, p80:7.68s, p95:7.68s, iters:3630, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey	N/A	N/A
                        │       │ └─HashJoin_79	7367167.27	10	mpp[tiflash]		tiflash_task:{proc max:7.68s, min:0s, avg: 3.84s, p80:7.68s, p95:7.68s, iters:3630, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                        │       │   ├─ExchangeReceiver_101(Build)	7315648.18	10	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:0s, avg: 2.51s, p80:5.02s, p95:5.02s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                        │       │   │ └─ExchangeSender_100	7315648.18	10	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:0s, avg: 2.51s, p80:5.02s, p95:5.02s, iters:1, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                        │       │   │   └─Selection_93	7315648.18	10	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:0s, avg: 2.51s, p80:5.02s, p95:5.02s, iters:1, tasks:2, threads:4}	le(Column#128, 10), stream_count: 2	N/A	N/A
                        │       │   │     └─Window_94	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:5.02s, min:0s, avg: 2.51s, p80:5.02s, p95:5.02s, iters:140, tasks:2, threads:4}	rank()->Column#128 over(partition by tpch_sf40.orders.o_orderstatus order by tpch_sf40.orders.o_totalprice desc), stream_count: 2	N/A	N/A
                        │       │   │       └─Sort_99	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:4.9s, min:0s, avg: 2.45s, p80:4.9s, p95:4.9s, iters:140, tasks:2, threads:4}	tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice:desc, stream_count: 2	N/A	N/A
                        │       │   │         └─ExchangeReceiver_98	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.27s, p80:2.53s, p95:2.53s, iters:483, tasks:2, threads:4}	stream_count: 2	N/A	N/A
                        │       │   │           └─ExchangeSender_97	9144560.22	9128300	mpp[tiflash]		tiflash_task:{proc max:2.53s, min:0s, avg: 1.27s, p80:2.53s, p95:2.53s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderstatus, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        │       │   │             └─TableFullScan_95	9144560.22	9128300	mpp[tiflash]	table:o	tiflash_task:{proc max:1.9s, min:0s, avg: 952.3ms, p80:1.9s, p95:1.9s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1120ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:13ms, min_local_stream:1648ms, max_local_stream:1893ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:2967ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), lt(tpch_sf40.orders.o_orderdate, 1997-01-01), keep order:false	N/A	N/A
                        │       │   └─ExchangeReceiver_91(Probe)	58434420.95	58463636	mpp[tiflash]		tiflash_task:{proc max:7.64s, min:0s, avg: 3.82s, p80:7.64s, p95:7.64s, iters:3630, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 5022ms, pipeline_queue_wait: 2351ms}		N/A	N/A
