-- Query: 25912
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        RANK() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_totalprice DESC) ...
-- Execution time: 62.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_63	2227833524737.22	14441995	root		time:1m2.1s, loops:14105, RU:135953.960592	tpch_sf40.orders.o_orderdate:desc, Column#137:desc	2.43 GB	0 Bytes
└─Projection_65	2227833524737.22	14441995	root		time:40.9s, loops:14106, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, coalesce(Column#116, 0)->Column#137, Column#132, Column#133, case(le(Column#87, 5), Top 5 Order, Regular Order)->Column#138	435.3 KB	N/A
  └─HashJoin_67	2227833524737.22	14441995	root		time:35.5s, loops:14106, build_hash_table:{total:6.93s, fetch:6.93s, build:0s}, probe:{concurrency:2, total:1m21.9s, max:41s, probe:4.83s, fetch and wait:1m17.1s}	CARTESIAN left outer join	0 Bytes	0 Bytes
    ├─TableReader_381(Build)	319027.20	0	root		time:6.93s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_380	2.23 KB	N/A
    │ └─ExchangeSender_380	319027.20	0	mpp[tiflash]		tiflash_task:{proc max:6.91s, min:6.76s, avg: 6.84s, p80:6.91s, p95:6.91s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_288	319027.20	0	mpp[tiflash]		tiflash_task:{proc max:6.91s, min:6.76s, avg: 6.84s, p80:6.91s, p95:6.91s, iters:0, tasks:2, threads:4}	gt(Column#132, 0), gt(Column#133, 10000)	N/A	N/A
    │     └─Projection_376	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:6.91s, min:6.76s, avg: 6.84s, p80:6.91s, p95:6.91s, iters:770, tasks:2, threads:4}	Column#132, div(Column#133, cast(case(eq(Column#162, 0), 1, Column#162), decimal(20,0) BINARY))->Column#133	N/A	N/A
    │       └─HashAgg_377	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:6.88s, min:6.75s, avg: 6.82s, p80:6.88s, p95:6.88s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_suppkey, funcs:count(distinct tpch_sf40.partsupp.ps_partkey)->Column#132, funcs:sum(Column#163)->Column#162, funcs:sum(Column#164)->Column#133, stream_count: 2	N/A	N/A
    │         └─ExchangeReceiver_379	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:5.86s, avg: 5.98s, p80:6.1s, p95:6.1s, iters:1754, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3111ms}	stream_count: 2	N/A	N/A
    │           └─ExchangeSender_378	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:6.73s, min:0s, avg: 3.36s, p80:6.73s, p95:6.73s, iters:768, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
