-- Query: 25917
-- SQL: WITH SupplierSales AS (
    SELECT 
        s.s_name,
        s.s_acctbal,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        RANK() OVER (PARTITION BY s.s_suppkey ORDER BY SU...
-- Execution time: 121.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_56	20.00	25	root		time:2m0.9s, loops:2, RU:230391.294956, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#126->Column#131, Column#127->Column#132, Column#128->Column#133	4.42 KB	N/A
└─Sort_58	20.00	25	root		time:2m0.9s, loops:2	tpch_sf40.region.r_name, tpch_sf40.nation.n_name	4.81 KB	0 Bytes
  └─Selection_60	20.00	25	root		time:2m0.9s, loops:2	not(isnull(Column#127))	4.42 KB	N/A
    └─HashAgg_62	25.00	25	root		time:2m0.9s, loops:3	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.supplier.s_name)->Column#126, funcs:sum(Column#124)->Column#127, funcs:max(Column#95)->Column#128, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name	159.0 KB	0 Bytes
      └─HashJoin_66	38283327805546.34	96777700	root		time:1m49.1s, loops:94511, build_hash_table:{total:14.6s, fetch:14.5s, build:146.4ms}, probe:{concurrency:2, total:3m47.3s, max:2m0.9s, probe:5.51s, fetch and wait:3m41.7s}	CARTESIAN left outer join	348.4 MB	0 Bytes
        ├─TableReader_348(Build)	4800008.00	3871108	root		time:14.4s, loops:4097, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_347	366.9 KB	N/A
        │ └─ExchangeSender_347	4800008.00	3871108	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Selection_274	4800008.00	3871108	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:1024, tasks:2, threads:4}	gt(Column#123, 5)	N/A	N/A
        │     └─Projection_343	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.4s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:1024, tasks:2, threads:4}	Column#123, Column#124	N/A	N/A
        │       └─HashAgg_344	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.4s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#158)->Column#123, funcs:sum(Column#159)->Column#124, stream_count: 2	N/A	N/A
        │         └─ExchangeReceiver_346	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:14.3s, min:14.2s, avg: 14.3s, p80:14.3s, p95:14.3s, iters:516, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 717ms}	stream_count: 2	N/A	N/A
