-- Query: 25920
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS rn
    ...
-- Execution time: 40.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_125	16001254.55	15991600	root		time:40.1s, loops:15618, RU:67977.959736	tpch_sf40.part.p_brand, tpch_sf40.part.p_name	2.96 GB	3.02 GB
└─Projection_127	16001254.55	15991600	root		time:27.3s, loops:15618, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_retailprice, coalesce(Column#67, 0)->Column#115, coalesce(Column#68, 0)->Column#116, case(isnull(Column#88), No Orders, concat(Spent: $, cast(round(Column#88, 2), var_string(40))))->Column#117	693.5 KB	N/A
  └─HashJoin_128	16001254.55	15991600	root		time:26.2s, loops:15618, build_hash_table:{total:65.8µs, fetch:65.8µs, build:0s}, probe:{concurrency:2, total:1m9.8s, max:34.9s, probe:2.04s, fetch and wait:1m7.8s}	CARTESIAN left outer join	0 Bytes	0 Bytes
    ├─HashAgg_184(Build)	1.00	0	root		time:55.9µs, loops:1, partial_worker:{wall_time:24.647µs, concurrency:2, task_num:0, tot_wait:0s, tot_exec:0s, tot_time:754ns, max:427ns, p95:427ns}, final_worker:{wall_time:26.009µs, concurrency:2, task_num:2, tot_wait:347ns, tot_exec:22ns, tot_time:1.582µs, max:1.101µs, p95:1.101µs}	group by:tpch_sf40.orders.o_custkey, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#88	3.08 KB	0 Bytes
    │ └─TableDual_185	0.00	0	root		time:831ns, loops:1	rows:0	N/A	N/A
    └─IndexHashJoin_141(Probe)	16001254.55	15991600	root		time:21.9s, loops:15619, inner:{total:1m9.5s, concurrency:2, task:160, construct:735.2ms, fetch:53.5s, build:223.7ms, join:15.3s}	left outer join, inner:Projection_135, outer key:tpch_sf40.part.p_partkey, inner key:tpch_sf40.partsupp.ps_partkey, equal cond:eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)	37.1 MB	N/A
      ├─TableReader_174(Build)	3982648.38	3997900	root		time:45.6ms, loops:3966, cop_task: {num: 128, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_173	7.36 MB	N/A
      │ └─ExchangeSender_173	3982648.38	3997900	mpp[tiflash]		tiflash_task:{proc max:12.1s, min:179.4ms, avg: 6.16s, p80:12.1s, p95:12.1s, iters:126, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─TableFullScan_171	3982648.38	3997900	mpp[tiflash]	table:p	tiflash_task:{proc max:145.3ms, min:118.4ms, avg: 131.9ms, p80:145.3ms, p95:145.3ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:57ms, max_local_stream:145ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:690ms}}	pushed down filter:gt(tpch_sf40.part.p_retailprice, 1499.402411), keep order:false	N/A	N/A
      └─Projection_135(Probe)	127444748059990.80	15991600	root		time:52s, loops:16067, Concurrency:2	tpch_sf40.partsupp.ps_partkey, cast(tpch_sf40.partsupp.ps_availqty, decimal(32,0) BINARY)->Column#67, cast(mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)), decimal(47,2) BINARY)->Column#68	284.4 KB	N/A
        └─TableReader_134	3982648.38	15991600	root		time:43.5s, loops:16067, cop_task: {num: 2610, max: 152.1ms, min: 398.1µs, avg: 22ms, p95: 76.4ms, max_proc_keys: 33760, p95_proc_keys: 27840, tot_proc: 37.5s, tot_wait: 482.5ms, copr_cache_hit_ratio: 0.00, build_task_duration: 145.7ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:2613, total_time:57.3s}, rpc_errors:{not_leader:3}}	data:TableRangeScan_133	N/A	N/A
          └─TableRangeScan_133	3982648.38	15991600	cop[tikv]	table:ps	tikv_task:{proc max:0s, min:0s, avg: 16.9ms, p80:29.1ms, p95:72ms, iters:25758, tasks:2610}, scan_detail: {total_process_keys: 15991600, total_process_keys_size: 2965822583, total_keys: 19991790, get_snapshot_time: 56ms, rocksdb: {key_skipped_count: 15991600, block: {cache_hit_count: 15992768, read_count: 102582, read_byte: 895.4 MB, read_time: 13s}}}, time_detail: {total_process_time: 37.5s, total_suspend_time: 7.35s, total_wait_time: 482.5ms, total_kv_read_wall_time: 44.1s, tikv_wall_time: 51.3s}	range: decided by [eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)], keep order:false	N/A	N/A
