-- Query: 25922
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        RANK() OVER (PARTITION BY ps_partkey ORDER BY s.s_acctbal DESC) AS supplier_rank
    FROM 
   ...
-- Execution time: 17.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_386	3.20	0	root		time:16s, loops:1, RU:117308.230113, Concurrency:OFF	tpch_sf40.region.r_name, Column#149->Column#184, Column#150->Column#185, Column#151->Column#186, Column#177->Column#187	5.57 KB	N/A
└─Sort_387	3.20	0	root		time:16s, loops:1	Column#150:desc	0 Bytes	0 Bytes
  └─HashJoin_391	3.20	0	root		time:16s, loops:1, build_hash_table:{total:16s, fetch:16s, build:5.7µs}	CARTESIAN inner join, other cond:gt(Column#151, Column#182)	41.5 KB	0 Bytes
    ├─Selection_392(Build)	0.80	1	root		time:16s, loops:2	not(isnull(Column#182))	233 Bytes	N/A
    │ └─MaxOneRow_393	1.00	1	root		time:16s, loops:3		N/A	N/A
    │   └─StreamAgg_398	1.00	1	root		time:16s, loops:2	funcs:avg(Column#181)->Column#182	84.3 KB	N/A
    │     └─CTEFullScan_404	6000000.00	6000000	root	CTE:customerorders	time:15.9s, loops:6145	data:CTE_2	955.9 MB	0 Bytes
    └─Projection_406(Probe)	4.00	0	root		time:15.8s, loops:1, Concurrency:OFF	tpch_sf40.region.r_name, Column#149, Column#150, Column#151, 32000000->Column#177, Column#151	3.80 KB	N/A
      └─Selection_408	4.00	0	root		time:15.8s, loops:1	not(isnull(Column#151))	3.80 KB	N/A
        └─HashAgg_410	5.00	0	root		time:15.8s, loops:1	group by:Column#232, funcs:count(distinct Column#229)->Column#149, funcs:sum(Column#230)->Column#150, funcs:avg(Column#231)->Column#151, funcs:firstrow(Column#232)->tpch_sf40.region.r_name	4.52 KB	0 Bytes
          └─Projection_568	239999.20	0	root		time:15.8s, loops:1, Concurrency:2	tpch_sf40.customer.c_custkey->Column#229, cast(Column#114, decimal(20,0) BINARY)->Column#230, Column#115->Column#231, tpch_sf40.region.r_name->Column#232	13.1 KB	N/A
            └─HashJoin_418	239999.20	0	root		time:15.8s, loops:1, build_hash_table:{total:27.9ms, fetch:27.9ms, build:0s}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)]	0 Bytes	0 Bytes
              ├─HashJoin_453(Build)	239999.20	0	root		time:27.8ms, loops:1, build_hash_table:{total:1.13ms, fetch:1.13ms, build:5.54µs}	inner join, equal:[eq(tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_regionkey)]	25.7 KB	0 Bytes
              │ ├─TableReader_552(Build)	5.00	5	root		time:1.1ms, loops:2, cop_task: {num: 1, max: 1.27ms, proc_keys: 0, tot_proc: 1.07µs, tot_wait: 732.5µs, copr_cache_hit_ratio: 1.00, build_task_duration: 1.9µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:1.26ms}}	data:TableFullScan_551	375 Bytes	N/A
              │ │ └─TableFullScan_551	5.00	5	cop[tikv]	table:r	tikv_task:{time:5ms, loops:1}, scan_detail: {get_snapshot_time: 710.3µs, rocksdb: {block: {}}}, time_detail: {total_process_time: 1.07µs, total_wait_time: 732.5µs, tikv_wall_time: 799µs}	keep order:false	N/A	N/A
              │ └─HashJoin_470(Probe)	239999.20	0	root		time:27.8ms, loops:1, build_hash_table:{total:7.05ms, fetch:7.04ms, build:6.78µs}	inner join, equal:[eq(tpch_sf40.customer.c_nationkey, tpch_sf40.nation.n_nationkey)]	17.7 KB	0 Bytes
              │   ├─IndexReader_550(Build)	25.00	25	root		time:7.03ms, loops:2, cop_task: {num: 1, max: 7.25ms, proc_keys: 25, tot_proc: 6.36ms, tot_wait: 582.9µs, copr_cache_hit_ratio: 0.00, build_task_duration: 4.24µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:7.24ms}}	index:IndexFullScan_549	700 Bytes	N/A
              │   │ └─IndexFullScan_549	25.00	25	cop[tikv]	table:n, index:idx_nation_fk1(n_regionkey)	tikv_task:{time:6ms, loops:1}, scan_detail: {total_process_keys: 25, total_process_keys_size: 1150, total_keys: 26, get_snapshot_time: 567.1µs, rocksdb: {key_skipped_count: 25, block: {cache_hit_count: 3, read_count: 1, read_byte: 179 Bytes, read_time: 6.25ms}}}, time_detail: {total_process_time: 6.36ms, total_suspend_time: 5.36µs, total_wait_time: 582.9µs, total_kv_read_wall_time: 6ms, tikv_wall_time: 7.06ms}	keep order:false	N/A	N/A
              │   └─IndexHashJoin_506(Probe)	239999.60	0	root		time:27.7ms, loops:1	inner join, inner:IndexReader_503, outer key:tpch_sf40.supplier.s_nationkey, inner key:tpch_sf40.customer.c_nationkey, equal cond:eq(tpch_sf40.supplier.s_nationkey, tpch_sf40.customer.c_nationkey)	0 Bytes	N/A
              │     ├─TableReader_536(Build)	1.00	0	root		time:27.6ms, loops:1, cop_task: {num: 1, max: 0s, proc_keys: 0, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_535	487 Bytes	N/A
              │     │ └─ExchangeSender_535	1.00	0	mpp[tiflash]		tiflash_task:{time:28ms, loops:0, threads:2}	ExchangeType: PassThrough	N/A	N/A
              │     │   └─TableFullScan_533	1.00	0	mpp[tiflash]	table:s	tiflash_task:{time:28ms, loops:0, threads:2}, tiflash_wait: {pipeline_queue_wait: 5ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:400000, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:17ms, max_local_stream:17ms, dtfile:{data_scanned_rows:0, data_skipped_rows:400000, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:400000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:1ms}}	pushed down filter:gt(tpch_sf40.supplier.s_acctbal, 10000), keep order:false	N/A	N/A
              │     └─IndexReader_503(Probe)	239999.60	0	root			index:IndexRangeScan_502	N/A	N/A
              │       └─IndexRangeScan_502	239999.60	0	cop[tikv]	table:c, index:idx_customer_fk1(c_nationkey)		range: decided by [eq(tpch_sf40.customer.c_nationkey, tpch_sf40.supplier.s_nationkey)], keep order:false	N/A	N/A
              └─Selection_556(Probe)	4800000.00	1024	root		time:15.8s, loops:1	not(isnull(tpch_sf40.customer.c_custkey))	84.2 KB	N/A
                └─CTEFullScan_558	6000000.00	2048	root	CTE:customerorders AS co	time:15.8s, loops:2	data:CTE_2	N/A	N/A
CTE_2	6000000.00	6000000	root		time:15.9s, loops:6145	Non-Recursive CTE	955.9 MB	0 Bytes
└─TableReader_375(Seed Part)	6000000.00	6000000	root		time:15.8s, loops:6145, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_374	944.9 KB	N/A
