-- Query: 25926
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        c.c_mktsegment,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS TotalRevenue,
        RANK() OVER (PARTIT...
-- Execution time: 10.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_64	20.00	1	root		time:10.1s, loops:2, RU:94233.630966, Concurrency:OFF	tpch_sf40.nation.n_name, Column#150->Column#152	2.02 KB	N/A
└─Sort_66	20.00	1	root		time:10.1s, loops:2	Column#150:desc	2.04 KB	0 Bytes
  └─TableReader_311	20.00	1	root		time:10.1s, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_310	7.45 KB	N/A
    └─ExchangeSender_310	20.00	1	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Selection_69	20.00	1	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1, tasks:2, threads:4}	not(isnull(Column#150))	N/A	N/A
        └─Projection_306	25.00	1	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1, tasks:2, threads:4}	Column#150, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_307	25.00	1	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#166)->Column#150, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_309	25.00	2	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:10.1s, avg: 10.1s, p80:10.1s, p95:10.1s, iters:1, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_308	25.00	2	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:0s, avg: 5.03s, p80:10.1s, p95:10.1s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_304	25.00	2	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:0s, avg: 5.03s, p80:10.1s, p95:10.1s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#131)->Column#166	N/A	N/A
                  └─Projection_293	7264489.36	5	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:0s, avg: 5.03s, p80:10.1s, p95:10.1s, iters:2, tasks:2, threads:4}	Column#131, tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey	N/A	N/A
