-- Query: 25930
-- SQL: WITH RegionSales AS (
    SELECT 
        r.r_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        COUNT(DISTINCT o.o_orderkey) AS total_orders
    FROM 
        region ...
-- Execution time: 46.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_91	4.00	5	root		time:46.8s, loops:2, RU:162242.036577, Concurrency:OFF	tpch_sf40.region.r_name, Column#183->Column#187, Column#184->Column#188, Column#185->Column#189	3.39 KB	N/A
└─Sort_93	4.00	5	root		time:46.8s, loops:2	Column#179	3.46 KB	0 Bytes
  └─Projection_95	4.00	5	root		time:46.8s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, coalesce(Column#176, 0)->Column#183, coalesce(Column#177, 0)->Column#184, case(eq(Column#179, 1), Top Region, le(Column#179, 5), Top 5 Region, Other Region)->Column#185, Column#179	3.64 KB	N/A
    └─Selection_97	4.00	5	root		time:46.8s, loops:2	or(isnull(tpch_sf40.region.r_comment), not(like(tpch_sf40.region.r_comment, "%test%", 92)))	3.64 KB	N/A
      └─HashJoin_101	5.00	5	root		time:46.8s, loops:3, build_hash_table:{total:46.8s, fetch:46.8s, build:7.72µs}, probe:{concurrency:2, total:1m33.5s, max:46.8s, probe:8.51µs, fetch and wait:1m33.5s}	left outer join, equal:[eq(tpch_sf40.region.r_name, tpch_sf40.region.r_name)]	74.3 KB	0 Bytes
        ├─TableReader_167(Build)	5.00	5	root		time:46.8s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_166	7.93 KB	N/A
        │ └─ExchangeSender_166	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
        │   └─Window_164	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:1, threads:2}	rank()->Column#179 over(order by Column#176 desc)	N/A	N/A
        │     └─Sort_157	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:1, threads:1}	Column#176:desc	N/A	N/A
        │       └─ExchangeReceiver_156	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:2, threads:2}		N/A	N/A
        │         └─ExchangeSender_155	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
        │           └─Projection_151	5.00	5	mpp[tiflash]		tiflash_task:{time:46.8s, loops:4, threads:4}	Column#176, Column#177, tpch_sf40.region.r_name	N/A	N/A
