-- Query: 25935
-- SQL: WITH SupplierCost AS (
    SELECT 
        ps.ps_suppkey,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM 
        partsupp ps
    GROUP BY 
        ps.ps_suppkey
),
Natio...
-- Execution time: 11.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_397	16.00	2	root		time:11s, loops:2, RU:22273.976371	Column#129:desc	5.60 KB	0 Bytes
└─Projection_399	16.00	2	root		time:11s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#126, Column#127, Column#128, Column#129, case(gt(Column#127, 0), div(Column#130, cast(Column#127, decimal(20,0) BINARY)), <nil>)->Column#138	5.57 KB	N/A
  └─HashJoin_400	16.00	2	root		time:11s, loops:2, build_hash_table:{total:11s, fetch:11s, build:9.08µs}, probe:{concurrency:2, total:22s, max:11s, probe:32.7µs, fetch and wait:22s}	CARTESIAN inner join, other cond:gt(Column#129, Column#137)	41.5 KB	0 Bytes
    ├─Selection_406(Build)	0.80	1	root		time:11s, loops:2	not(isnull(Column#137))	233 Bytes	N/A
    │ └─MaxOneRow_407	1.00	1	root		time:11s, loops:3		N/A	N/A
    │   └─StreamAgg_412	1.00	1	root		time:11s, loops:2	funcs:avg(Column#135)->Column#137	5.62 KB	N/A
    │     └─CTEFullScan_418	25.00	25	root	CTE:finalreport	time:11s, loops:3	data:CTE_3	N/A	N/A
    └─Selection_402(Probe)	20.00	25	root		time:11s, loops:2	not(isnull(Column#129))	5.57 KB	N/A
      └─CTEFullScan_404	25.00	25	root	CTE:finalreport AS f	time:11s, loops:4	data:CTE_3	18 KB	0 Bytes
CTE_3	25.00	25	root		time:11s, loops:3	Non-Recursive CTE	N/A	N/A
└─Projection_56(Seed Part)	25.00	25	root		time:11s, loops:3, Concurrency:OFF	tpch_sf40.nation.n_name, Column#89, Column#90, coalesce(Column#121, 0)->Column#123, coalesce(Column#122, 0)->Column#124, Column#120	5.57 KB	N/A
  └─HashAgg_60	25.00	25	root		time:11s, loops:3, partial_worker:{wall_time:10.994820143s, concurrency:2, task_num:1, tot_wait:10.994753265s, tot_exec:26.348µs, tot_time:21.989568212s, max:10.994784422s, p95:10.994784422s}, final_worker:{wall_time:10.994853974s, concurrency:2, task_num:2, tot_wait:1.246µs, tot_exec:33ns, tot_time:21.98961362s, max:10.99481672s, p95:10.99481672s}	group by:Column#120, Column#89, Column#90, tpch_sf40.nation.n_name, funcs:sum(Column#112)->Column#121, funcs:sum(Column#111)->Column#122, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(Column#89)->Column#89, funcs:firstrow(Column#90)->Column#90, funcs:firstrow(Column#120)->Column#120	19.6 KB	0 Bytes
    └─Projection_64	25.00	25	root		time:11s, loops:2, Concurrency:OFF	Column#89, Column#90, tpch_sf40.nation.n_name, Column#111, Column#112, Column#120	5.57 KB	N/A
      └─IndexHashJoin_77	25.00	25	root		time:11s, loops:2, inner:{total:868.6µs, concurrency:2, task:1, construct:10.9µs, fetch:849.4µs, build:6.09µs, join:6.87µs}	left outer join, inner:HashAgg_69, outer key:Column#90, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(Column#90, tpch_sf40.lineitem.l_orderkey)	77.3 KB	N/A
        ├─IndexJoin_178(Build)	25.00	25	root		time:11s, loops:3, inner:{total:32.3ms, concurrency:2, task:1, construct:13.8µs, fetch:32.3ms, build:6.27µs}, probe:8.58µs	left outer join, inner:HashAgg_176, outer key:tpch_sf40.nation.n_nationkey, inner key:tpch_sf40.partsupp.ps_suppkey, equal cond:eq(tpch_sf40.nation.n_nationkey, tpch_sf40.partsupp.ps_suppkey)	50.8 KB	N/A
        │ ├─TableReader_283(Build)	25.00	25	root		time:11s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_282	4.03 KB	N/A
        │ │ └─ExchangeSender_282	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11s, min:10.9s, avg: 10.9s, p80:11s, p95:11s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │ │   └─Projection_278	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11s, min:10.9s, avg: 10.9s, p80:11s, p95:11s, iters:4, tasks:2, threads:4}	Column#89, Column#90, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
        │ │     └─HashAgg_279	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11s, min:10.9s, avg: 10.9s, p80:11s, p95:11s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#89, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#90, funcs:firstrow(tpch_sf40.nation.n_nationkey)->tpch_sf40.nation.n_nationkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
        │ │       └─ExchangeReceiver_281	25.00	59531201	mpp[tiflash]		tiflash_task:{proc max:10.1s, min:9.89s, avg: 9.98s, p80:10.1s, p95:10.1s, iters:4096, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2485ms}	stream_count: 2	N/A	N/A
