-- Query: 25936
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        c.c_name,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey...
-- Execution time: 22.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_70	20.00	20	root		time:22s, loops:2, RU:120724.028605, Concurrency:OFF	Column#92, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.supplier.s_name, Column#115, Column#144	6.19 KB	N/A
└─Sort_71	20.00	20	root		time:22s, loops:2	tpch_sf40.orders.o_totalprice:desc	6.50 KB	0 Bytes
  └─HashJoin_74	20.00	20	root		time:22s, loops:2, build_hash_table:{total:19.1s, fetch:19.1s, build:7.22µs}, probe:{concurrency:2, total:44s, max:22s, probe:1.14s, fetch and wait:42.9s}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderkey)]	122.8 KB	0 Bytes
    ├─TopN_77(Build)	20.00	20	root		time:19.1s, loops:2	tpch_sf40.orders.o_totalprice:desc, offset:0, count:20	150.5 KB	0 Bytes
    │ └─HashJoin_83	6380544.00	8000000	root		time:19s, loops:7814, build_hash_table:{total:18.7s, fetch:18.7s, build:9.48µs}, probe:{concurrency:2, total:38.2s, max:19.1s, probe:613ms, fetch and wait:37.6s}	CARTESIAN left outer join	74.5 KB	0 Bytes
    │   ├─TopN_87(Build)	20.00	20	root		time:18.7s, loops:2	tpch_sf40.orders.o_totalprice:desc, offset:0, count:20	2.22 KB	0 Bytes
    │   │ └─TableReader_177	20.00	80	root		time:18.7s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_176	2.40 KB	N/A
    │   │   └─ExchangeSender_176	20.00	80	mpp[tiflash]		tiflash_task:{proc max:18.7s, min:13.6s, avg: 16.1s, p80:18.7s, p95:18.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   │     └─TopN_175	20.00	80	mpp[tiflash]		tiflash_task:{proc max:18.7s, min:13.6s, avg: 16.1s, p80:18.7s, p95:18.7s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_totalprice:desc, offset:0, count:20	N/A	N/A
    │   │       └─Selection_174	11489743.02	250	mpp[tiflash]		tiflash_task:{proc max:18.7s, min:13.6s, avg: 16.1s, p80:18.7s, p95:18.7s, iters:25, tasks:2, threads:4}	le(Column#92, 10), stream_count: 2	N/A	N/A
    │   │         └─Window_171	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:18.7s, min:13.6s, avg: 16.1s, p80:18.7s, p95:18.7s, iters:221, tasks:2, threads:4}	row_number()->Column#92 over(partition by tpch_sf40.customer.c_nationkey order by tpch_sf40.orders.o_totalprice desc rows between current row and current row), stream_count: 2	N/A	N/A
    │   │           └─Sort_106	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:18.6s, min:13.5s, avg: 16.1s, p80:18.6s, p95:18.6s, iters:221, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_totalprice:desc, stream_count: 2	N/A	N/A
    │   │             └─ExchangeReceiver_105	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:17.2s, min:12.3s, avg: 14.8s, p80:17.2s, p95:17.2s, iters:1152, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 9640ms}	stream_count: 2	N/A	N/A
    │   │               └─ExchangeSender_104	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:0s, avg: 5.92s, p80:11.8s, p95:11.8s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
    │   │                 └─Projection_96	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:0s, avg: 5.88s, p80:11.8s, p95:11.8s, iters:965, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_nationkey	N/A	N/A
    │   │                   └─Projection_103	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:0s, avg: 5.88s, p80:11.8s, p95:11.8s, iters:965, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate	N/A	N/A
    │   │                     └─HashJoin_97	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:0s, avg: 5.88s, p80:11.8s, p95:11.8s, iters:965, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	N/A	N/A
    │   │                       ├─ExchangeReceiver_100(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:4.77s, min:0s, avg: 2.38s, p80:4.77s, p95:4.77s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4055ms}		N/A	N/A
    │   │                       │ └─ExchangeSender_99	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:3.05s, min:0s, avg: 1.52s, p80:3.05s, p95:3.05s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
