-- Query: 25940
-- SQL: WITH RegionalSales AS (
    SELECT 
        N.n_name AS nation_name,
        SUM(L.l_extendedprice * (1 - L.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITION BY N.n_nationkey ORDER BY ...
-- Execution time: 10.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_226	16.00	25	root		time:10.7s, loops:2, RU:95258.919729	Column#49:desc	3.04 KB	0 Bytes
└─Projection_228	16.00	25	root		time:10.7s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#49, case(isnull(Column#49), No Sales, gt(Column#49, mul(Column#55, 0.5)), High Sales, Low Sales)->Column#56	3.43 KB	N/A
  └─HashJoin_229	16.00	25	root		time:10.7s, loops:2, build_hash_table:{total:10.7s, fetch:10.7s, build:9.85µs}, probe:{concurrency:2, total:21.5s, max:10.7s, probe:9.25µs, fetch and wait:21.5s}	CARTESIAN left outer join	41.5 KB	0 Bytes
    ├─StreamAgg_236(Build)	1.00	1	root		time:10.7s, loops:2	funcs:max(Column#53)->Column#55	2.45 KB	N/A
    │ └─TopN_239	1.00	1	root		time:10.7s, loops:2	Column#53:desc, offset:0, count:1	2.40 KB	0 Bytes
    │   └─Selection_244	16.00	25	root		time:10.7s, loops:3	not(isnull(Column#53))	2.39 KB	N/A
    │     └─CTEFullScan_246	20.00	25	root	CTE:regionalsales	time:10.7s, loops:3	data:CTE_0	N/A	N/A
    └─Selection_231(Probe)	16.00	25	root		time:10.7s, loops:2	le(Column#50, 5)	2.39 KB	N/A
      └─CTEFullScan_233	20.00	25	root	CTE:regionalsales AS rs	time:10.7s, loops:3	data:CTE_0	4.79 KB	0 Bytes
CTE_0	20.00	25	root		time:10.7s, loops:3	Non-Recursive CTE	N/A	N/A
└─TableReader_224(Seed Part)	20.00	25	root		time:10.7s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_223	5.54 KB	N/A
  └─ExchangeSender_223	20.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_41	20.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#38->Column#42, Column#40->Column#43, stream_count: 2	N/A	N/A
      └─Selection_222	20.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	or(le(Column#40, 5), not(isnull(Column#38))), stream_count: 2	N/A	N/A
        └─Window_219	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	row_number()->Column#40 over(partition by tpch_sf40.nation.n_nationkey order by Column#38 desc rows between current row and current row), stream_count: 2	N/A	N/A
          └─Sort_83	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, Column#38:desc, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_82	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:10.7s, avg: 10.7s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_81	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], stream_count: 2	N/A	N/A
                └─Projection_77	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	Column#38, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
                  └─HashAgg_78	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:sum(Column#58)->Column#38, funcs:firstrow(tpch_sf40.nation.n_nationkey)->tpch_sf40.nation.n_nationkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_80	25.00	50	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_79	25.00	50	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        └─HashAgg_47	25.00	50	mpp[tiflash]		tiflash_task:{proc max:10.7s, min:0s, avg: 5.37s, p80:10.7s, p95:10.7s, iters:2, tasks:2, threads:2}	group by:Column#68, Column#69, funcs:sum(Column#67)->Column#58	N/A	N/A
                          └─Projection_225	241702531.92	240012290	mpp[tiflash]		tiflash_task:{proc max:9.44s, min:0s, avg: 4.72s, p80:9.44s, p95:9.44s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#67, tpch_sf40.nation.n_nationkey->Column#68, tpch_sf40.nation.n_name->Column#69	N/A	N/A
                            └─Projection_76	241702531.92	240012290	mpp[tiflash]		tiflash_task:{proc max:9.21s, min:0s, avg: 4.61s, p80:9.21s, p95:9.21s, iters:7750, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
                              └─Projection_69	241702531.92	240012290	mpp[tiflash]		tiflash_task:{proc max:9.21s, min:0s, avg: 4.61s, p80:9.21s, p95:9.21s, iters:7750, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                                └─HashJoin_50	241702531.92	240012290	mpp[tiflash]		tiflash_task:{proc max:9.21s, min:0s, avg: 4.6s, p80:9.21s, p95:9.21s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
                                  ├─ExchangeReceiver_65(Build)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:3.21s, min:0s, avg: 1.6s, p80:3.21s, p95:3.21s, iters:4901, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2377ms}	stream_count: 2	N/A	N/A
                                  │ └─ExchangeSender_64	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:4.06s, min:0s, avg: 2.03s, p80:4.06s, p95:4.06s, iters:1874, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                                  │   └─Projection_63	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:3.72s, min:0s, avg: 1.86s, p80:3.72s, p95:3.72s, iters:1874, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
                                  │     └─HashJoin_51	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:3.72s, min:0s, avg: 1.86s, p80:3.72s, p95:3.72s, iters:1874, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                                  │       ├─ExchangeReceiver_59(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:128.5ms, min:0s, avg: 64.2ms, p80:128.5ms, p95:128.5ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 76ms}	stream_count: 2	N/A	N/A
