-- Query: 25947
-- SQL: WITH CustomerSales AS (
    SELECT 
        c.c_custkey,
        c.c_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_spent,
        COUNT(DISTINCT o.o_orderkey) AS total_orders
    ...
-- Execution time: 503.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_211	4800000.00	10	root		time:8m23.6s, loops:2, RU:361178.461955, Concurrency:2	tpch_sf40.customer.c_name, Column#119, Column#120, case(gt(Column#120, 10), High, and(ge(Column#120, 5), le(Column#120, 10)), Medium, Low)->Column#131, 0->Column#141	12.3 KB	N/A
└─Selection_213	4800000.00	10	root		time:8m23.6s, loops:2	le(Column#122, 10)	92.7 KB	N/A
  └─Window_215	6000000.00	3810164	root		time:8m23.6s, loops:3723	dense_rank()->Column#122 over(order by Column#119 desc)	N/A	N/A
    └─Sort_189	6000000.00	3810164	root		time:8m23.3s, loops:3722	Column#119:desc	360.6 MB	0 Bytes
      └─HashAgg_97	6000000.00	3810164	root		time:8m19.2s, loops:3722	group by:Column#152, Column#153, funcs:sum(Column#150)->Column#119, funcs:count(distinct Column#151)->Column#120, funcs:firstrow(Column#152)->tpch_sf40.customer.c_name	1.71 GB	0 Bytes
        └─Projection_217	57856249.57	57778359	root		time:7m53s, loops:56426, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#150, tpch_sf40.orders.o_orderkey->Column#151, tpch_sf40.customer.c_name->Column#152, tpch_sf40.customer.c_custkey->Column#153	451.5 KB	N/A
          └─IndexHashJoin_110	57856249.57	57778359	root		time:7m59s, loops:56426, inner:{total:16m31.5s, concurrency:2, task:570, construct:4.1s, fetch:15m58.1s, build:789.2ms, join:29.3s}	left outer join, inner:TableReader_105, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	30.7 MB	N/A
            ├─TableReader_164(Build)	14362178.78	14441995	root		time:232ms, loops:14636, cop_task: {num: 938, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_163	1.90 MB	N/A
            │ └─ExchangeSender_163	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:6m44.5s, min:4m34.3s, avg: 5m39.4s, p80:6m44.5s, p95:6m44.5s, iters:936, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            │   └─Projection_162	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:949.2ms, min:906.3ms, avg: 927.7ms, p80:949.2ms, p95:949.2ms, iters:936, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
            │     └─HashJoin_135	14362178.78	14441995	mpp[tiflash]		tiflash_task:{proc max:949.2ms, min:906.3ms, avg: 927.7ms, p80:949.2ms, p95:949.2ms, iters:936, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
            │       ├─ExchangeReceiver_68(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:99.3ms, min:76.2ms, avg: 87.7ms, p80:99.3ms, p95:99.3ms, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 57ms}	stream_count: 2	N/A	N/A
            │       │ └─ExchangeSender_67	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:173ms, min:0s, avg: 86.5ms, p80:173ms, p95:173ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
