-- Query: 25954
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_totalprice,
        o.o_orderdate,
        o.o_clerk,
        RANK() OVER (PARTITION BY o.o_clerk ORDER BY o.o_totalprice DESC) AS ...
-- Execution time: 474.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_165	14809501.97	852626	root		time:7m53.1s, loops:834, RU:255760.314025	tpch_sf40.orders.o_orderdate:desc, tpch_sf40.orders.o_totalprice:desc	192.1 MB	0 Bytes
└─HashJoin_172	14809501.97	852626	root		time:7m52.8s, loops:835, build_hash_table:{total:26.3s, fetch:25.4s, build:884.2ms}, probe:{concurrency:2, total:15m45.6s, max:7m52.8s, probe:1.77s, fetch and wait:15m43.8s}	inner join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)]	583.6 MB	0 Bytes
  ├─TableReader_402(Build)	3981879.47	3996550	root		time:25.1s, loops:4097, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_401	761.3 KB	N/A
  │ └─ExchangeSender_401	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:24.2s, min:23.5s, avg: 23.8s, p80:24.2s, p95:24.2s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
  │   └─Projection_397	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.6s, avg: 22.6s, p80:22.7s, p95:22.7s, iters:1024, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice, Column#138	N/A	N/A
  │     └─HashAgg_398	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.6s, avg: 22.6s, p80:22.7s, p95:22.7s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, tpch_sf40.part.p_retailprice, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, funcs:firstrow(tpch_sf40.part.p_retailprice)->tpch_sf40.part.p_retailprice, funcs:sum(Column#152)->Column#138, stream_count: 2	N/A	N/A
  │       └─ExchangeReceiver_400	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:22.6s, min:22.4s, avg: 22.5s, p80:22.6s, p95:22.6s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 302ms}	stream_count: 2	N/A	N/A
  │         └─ExchangeSender_399	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:22.5s, min:0s, avg: 11.3s, p80:22.5s, p95:22.5s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_retailprice, collate: binary], stream_count: 2	N/A	N/A
  │           └─HashAgg_337	3981879.47	3996550	mpp[tiflash]		tiflash_task:{proc max:22.5s, min:0s, avg: 11.2s, p80:22.5s, p95:22.5s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, tpch_sf40.part.p_retailprice, funcs:count(1)->Column#152	N/A	N/A
  │             └─Projection_396	15998163.30	15986200	mpp[tiflash]		tiflash_task:{proc max:21.9s, min:0s, avg: 11s, p80:21.9s, p95:21.9s, iters:1016, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_retailprice	N/A	N/A
  │               └─HashJoin_395	15998163.30	15986200	mpp[tiflash]		tiflash_task:{proc max:21.9s, min:0s, avg: 11s, p80:21.9s, p95:21.9s, iters:1016, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
  │                 ├─ExchangeReceiver_356(Build)	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:8.56s, min:0s, avg: 4.28s, p80:8.56s, p95:8.56s, iters:310, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 35ms}	stream_count: 2	N/A	N/A
  │                 │ └─ExchangeSender_355	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:8.66s, min:0s, avg: 4.33s, p80:8.66s, p95:8.66s, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
  │                 │   └─TableFullScan_353	3981878.98	3996550	mpp[tiflash]	table:p	tiflash_task:{proc max:8.6s, min:0s, avg: 4.3s, p80:8.6s, p95:8.6s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 36ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:0ms, max_local_stream:8588ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:20849ms}}	pushed down filter:gt(tpch_sf40.part.p_retailprice, 1499.495035), keep order:false	N/A	N/A
  │                 └─ExchangeReceiver_359(Probe)	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:21.6s, min:0s, avg: 10.8s, p80:21.6s, p95:21.6s, iters:1016, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 8660ms, pipeline_queue_wait: 836ms}		N/A	N/A
  │                   └─ExchangeSender_358	32000000.00	32000000	mpp[tiflash]		tiflash_task:{proc max:22.2s, min:0s, avg: 11.1s, p80:22.2s, p95:22.2s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary]	N/A	N/A
