-- Query: 25957
-- SQL: WITH RankedParts AS (
    SELECT 
        p.p_partkey,
        p.p_name,
        p.p_mfgr,
        p.p_brand,
        p.p_type,
        p.p_size,
        p.p_retailprice,
        RANK() OVER (PARTITIO...
-- Execution time: 135.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_59	20632895.64	3852	root		time:2m14.8s, loops:5, RU:124057.606328, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, Column#110->Column#116, Column#111->Column#117, Column#55->Column#118, Column#109->Column#119	318.9 KB	N/A
└─Sort_61	20632895.64	3852	root		time:2m14.8s, loops:5	tpch_sf40.part.p_retailprice:desc, Column#111:desc	1.01 MB	0 Bytes
  └─Projection_63	20632895.64	3852	root		time:2m14.8s, loops:5, Concurrency:2	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, coalesce(Column#92, 0)->Column#110, coalesce(Column#93, 0)->Column#111, Column#55, Column#109, tpch_sf40.part.p_retailprice	370.3 KB	N/A
    └─HashJoin_79	20632895.64	3852	root		time:2m14.8s, loops:5, build_hash_table:{total:23s, fetch:21s, build:1.97s}, probe:{concurrency:2, total:4m29.5s, max:2m14.8s, probe:4.69ms, fetch and wait:4m29.5s}	left outer join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)]	795.2 MB	0 Bytes
      ├─TableReader_409(Build)	7964672.25	8000000	root		time:20s, loops:8193, cop_task: {num: 514, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_408	1.43 MB	N/A
      │ └─ExchangeSender_408	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:21.5s, min:21.3s, avg: 21.4s, p80:21.5s, p95:21.5s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_404	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:19.8s, min:19.7s, avg: 19.8s, p80:19.8s, p95:19.8s, iters:1024, tasks:2, threads:4}	Column#109, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │     └─HashAgg_405	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:19.8s, min:19.7s, avg: 19.8s, p80:19.8s, p95:19.8s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.partsupp.ps_partkey, funcs:sum(Column#141)->Column#109, funcs:firstrow(tpch_sf40.partsupp.ps_partkey)->tpch_sf40.partsupp.ps_partkey, stream_count: 2	N/A	N/A
      │       └─ExchangeReceiver_407	7964672.25	8000003	mpp[tiflash]		tiflash_task:{proc max:19.7s, min:19.6s, avg: 19.7s, p80:19.7s, p95:19.7s, iters:640, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 248ms}	stream_count: 2	N/A	N/A
      │         └─ExchangeSender_406	7964672.25	8000003	mpp[tiflash]		tiflash_task:{proc max:19.7s, min:0s, avg: 9.83s, p80:19.7s, p95:19.7s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
