-- Query: 25959
-- SQL: WITH RankedSales AS (
    SELECT 
        l.l_orderkey,
        l.l_partkey,
        l.l_suppkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITI...
-- Execution time: 79.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_134	10.00	10	root		time:1m19.7s, loops:2, RU:143129.126114, Concurrency:OFF	tpch_sf40.part.p_name, coalesce(Column#102, 0)->Column#142, Column#141, Column#104	4.42 KB	N/A
└─Projection_411	10.00	10	root		time:1m19.7s, loops:2, Concurrency:OFF	tpch_sf40.part.p_name, Column#102, Column#104, Column#141, tpch_sf40.lineitem.l_suppkey	5.82 KB	N/A
  └─TopN_138	10.00	10	root		time:1m19.7s, loops:2	Column#169:desc, Column#141, offset:0, count:10	3.51 KB	0 Bytes
    └─Projection_412	10.00	40	root		time:1m19.7s, loops:3, Concurrency:OFF	tpch_sf40.part.p_name, Column#102, Column#104, Column#141, tpch_sf40.lineitem.l_suppkey, coalesce(Column#102, 0)->Column#169	4.17 KB	N/A
      └─TableReader_406	10.00	40	root		time:1m19.7s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_405	7.40 KB	N/A
        └─ExchangeSender_405	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          └─Projection_409	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	tpch_sf40.part.p_name, Column#102, Column#104, Column#141, tpch_sf40.lineitem.l_suppkey	N/A	N/A
            └─TopN_404	10.00	40	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	Column#168:desc, Column#141, offset:0, count:10	N/A	N/A
              └─Projection_410	198988.54	3953588	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:560, tasks:2, threads:4}	tpch_sf40.part.p_name, Column#102, Column#104, Column#141, tpch_sf40.lineitem.l_suppkey, coalesce(Column#102, 0)->Column#168	N/A	N/A
                └─Projection_403	198988.54	3953588	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:560, tasks:2, threads:4}	tpch_sf40.part.p_name, Column#102, Column#104, Column#141, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                  └─HashJoin_402	198988.54	3953588	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:560, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
                    ├─Projection_197(Build)	198988.54	199739	mpp[tiflash]		tiflash_task:{proc max:2.5s, min:2.5s, avg: 2.5s, p80:2.5s, p95:2.5s, iters:4, tasks:2, threads:4}	Column#141, tpch_sf40.supplier.s_suppkey	N/A	N/A
                    │ └─HashAgg_198	198988.54	199739	mpp[tiflash]		tiflash_task:{proc max:2.5s, min:2.5s, avg: 2.5s, p80:2.5s, p95:2.5s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#147)->Column#141, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
                    │   └─ExchangeReceiver_200	198988.54	399478	mpp[tiflash]		tiflash_task:{proc max:2.49s, min:2.49s, avg: 2.49s, p80:2.49s, p95:2.49s, iters:48, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 32ms}	stream_count: 2	N/A	N/A
                    │     └─ExchangeSender_199	198988.54	399478	mpp[tiflash]		tiflash_task:{proc max:2.5s, min:0s, avg: 1.25s, p80:2.5s, p95:2.5s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                    │       └─HashAgg_182	198988.54	399478	mpp[tiflash]		tiflash_task:{proc max:2.49s, min:0s, avg: 1.25s, p80:2.49s, p95:2.49s, iters:512, tasks:2, threads:4}	group by:Column#166, Column#167, funcs:sum(Column#165)->Column#147	N/A	N/A
                    │         └─Projection_408	16016314.77	15979120	mpp[tiflash]		tiflash_task:{proc max:1.26s, min:0s, avg: 630.6ms, p80:1.26s, p95:1.26s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#165, tpch_sf40.supplier.s_suppkey->Column#166, tpch_sf40.supplier.s_name->Column#167	N/A	N/A
