-- Query: 25962
-- SQL: WITH region_stats AS (
    SELECT 
        r.r_regionkey,
        r.r_name,
        COUNT(DISTINCT n.n_nationkey) AS nation_count,
        SUM(CASE WHEN s.s_acctbal IS NOT NULL THEN s.s_acctbal ELSE 0...
-- Execution time: 77.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_49	100.00	100	root		time:1m16.3s, loops:2, RU:99911.199102, Concurrency:OFF	tpch_sf40.region.r_name, Column#72, Column#73, Column#94, Column#95, Column#115, Column#116	17.6 KB	N/A
└─TopN_52	100.00	100	root		time:1m16.3s, loops:2	tpch_sf40.region.r_name, Column#95:desc, offset:10, count:100	178.8 KB	0 Bytes
  └─HashJoin_58	297902080.00	300000000	root		time:1m10s, loops:292971, build_hash_table:{total:38.9s, fetch:38.9s, build:5.57µs}, probe:{concurrency:2, total:2m32.7s, max:1m16.3s, probe:35.5s, fetch and wait:1m57.1s}	CARTESIAN left outer join, left cond:[not(isnull(Column#94))]	122.8 KB	0 Bytes
    ├─TopN_61(Build)	5.00	5	root		time:38.9s, loops:2	tpch_sf40.region.r_name, Column#95:desc, offset:0, count:110	4.58 KB	0 Bytes
    │ └─TableReader_115	5.00	5	root		time:38.9s, loops:3, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_114	5.33 KB	N/A
    │   └─ExchangeSender_114	5.00	5	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:38.9s, avg: 38.9s, p80:38.9s, p95:38.9s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │     └─Projection_113	5.00	5	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:38.9s, avg: 38.9s, p80:38.9s, p95:38.9s, iters:3, tasks:2, threads:4}	Column#72, Column#73, tpch_sf40.region.r_name, Column#94, Column#95, tpch_sf40.region.r_regionkey	N/A	N/A
    │       └─HashJoin_66	5.00	5	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:38.9s, avg: 38.9s, p80:38.9s, p95:38.9s, iters:3, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
    │         ├─ExchangeReceiver_112(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:38.9s, avg: 38.9s, p80:38.9s, p95:38.9s, iters:4, tasks:2, threads:4}		N/A	N/A
    │         │ └─ExchangeSender_111	25.00	25	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:4, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │         │   └─Projection_107	25.00	25	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:4, tasks:2, threads:4}	Column#94, Column#95, tpch_sf40.customer.c_nationkey	N/A	N/A
    │         │     └─HashAgg_108	25.00	25	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_nationkey, funcs:sum(Column#120)->Column#94, funcs:sum(Column#121)->Column#95, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, stream_count: 2	N/A	N/A
    │         │       └─ExchangeReceiver_110	25.00	50	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
    │         │         └─ExchangeSender_109	25.00	50	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
    │         │           └─HashAgg_92	25.00	50	mpp[tiflash]		tiflash_task:{proc max:38.9s, min:0s, avg: 19.4s, p80:38.9s, p95:38.9s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.customer.c_nationkey, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#120, funcs:count(tpch_sf40.orders.o_orderkey)->Column#121	N/A	N/A
    │         │             └─Projection_106	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:38.8s, min:0s, avg: 19.4s, p80:38.8s, p95:38.8s, iters:965, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice	N/A	N/A
    │         │               └─HashJoin_105	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:38.8s, min:0s, avg: 19.4s, p80:38.8s, p95:38.8s, iters:965, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	N/A	N/A
    │         │                 ├─ExchangeReceiver_96(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:1.58s, min:0s, avg: 790.5ms, p80:1.58s, p95:1.58s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 9ms}		N/A	N/A
    │         │                 │ └─ExchangeSender_95	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.88s, min:0s, avg: 942.5ms, p80:1.88s, p95:1.88s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
