-- Query: 25982
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderstatus,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_or...
-- Execution time: 283.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_58	9.83	0	root		time:4m42.8s, loops:1, RU:276412.234584	Column#117:desc, Column#116:desc	0 Bytes	0 Bytes
└─Projection_60	9.83	0	root		time:4m42.8s, loops:1, Concurrency:OFF	tpch_sf40.part.p_name, tpch_sf40.region.r_name, Column#116, Column#117, case(isnull(Column#118), 0.00, Column#118)->Column#120, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name	7.06 KB	N/A
  └─Selection_62	9.83	0	root		time:4m42.8s, loops:1	lt(Column#119, 0.1)	7.06 KB	N/A
    └─HashAgg_64	12.29	0	root		time:4m42.8s, loops:1	group by:Column#168, Column#169, Column#170, Column#171, funcs:count(distinct Column#164)->Column#116, funcs:sum(Column#165)->Column#117, funcs:sum(Column#166)->Column#118, funcs:sum(Column#167)->Column#119, funcs:firstrow(Column#168)->tpch_sf40.part.p_name, funcs:firstrow(Column#169)->tpch_sf40.supplier.s_name, funcs:firstrow(Column#170)->tpch_sf40.region.r_name, funcs:firstrow(Column#171)->tpch_sf40.customer.c_name	7.79 KB	0 Bytes
      └─Projection_390	12.29	0	root		time:4m42.8s, loops:1, Concurrency:OFF	tpch_sf40.lineitem.l_orderkey->Column#164, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#165, tpch_sf40.lineitem.l_tax->Column#166, tpch_sf40.lineitem.l_discount->Column#167, tpch_sf40.part.p_name->Column#168, tpch_sf40.supplier.s_name->Column#169, tpch_sf40.region.r_name->Column#170, tpch_sf40.customer.c_name->Column#171	7.06 KB	N/A
        └─Projection_68	12.29	0	root		time:4m42.8s, loops:1, Concurrency:OFF	tpch_sf40.part.p_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_tax, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, tpch_sf40.customer.c_name	7.06 KB	N/A
          └─HashJoin_72	12.29	0	root		time:4m42.8s, loops:1, build_hash_table:{total:4m42.6s, fetch:4m42.6s, build:0s}, probe:{concurrency:2, total:9m25.7s, max:4m42.8s, probe:117.8ms, fetch and wait:9m25.6s}	left outer join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	0 Bytes	0 Bytes
            ├─IndexJoin_151(Build)	12.29	0	root		time:4m42.6s, loops:1, inner:{total:1m35.8s, concurrency:2, task:1427, construct:7.64s, fetch:1m28.2s, build:152.5µs}, probe:1.48s	inner join, inner:TableReader_147, outer key:tpch_sf40.lineitem.l_orderkey, inner key:tpch_sf40.orders.o_orderkey, equal cond:eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)	20.9 MB	N/A
            │ ├─IndexJoin_180(Build)	12.21	36440216	root		time:4m41.6s, loops:35589, inner:{total:9m24.8s, concurrency:2, task:1431, construct:14s, fetch:9m7.7s, build:3.04s}, probe:10.5s	inner join, inner:TableReader_176, outer key:tpch_sf40.lineitem.l_partkey, inner key:tpch_sf40.part.p_partkey, equal cond:eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)	29.8 MB	N/A
            │ │ ├─TableReader_195(Build)	9.77	36440216	root		time:1.52s, loops:36990, cop_task: {num: 3877, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_194	3.50 MB	N/A
            │ │ │ └─ExchangeSender_194	9.77	36440216	mpp[tiflash]		tiflash_task:{proc max:4m36.1s, min:4m22.5s, avg: 4m29.3s, p80:4m36.1s, p95:4m36.1s, iters:3875, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
            │ │ │   └─Projection_193	9.77	36440216	mpp[tiflash]		tiflash_task:{proc max:3.57s, min:3.3s, avg: 3.44s, p80:3.57s, p95:3.57s, iters:3875, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_tax	N/A	N/A
            │ │ │     └─HashJoin_190	9.77	36440216	mpp[tiflash]		tiflash_task:{proc max:3.57s, min:3.3s, avg: 3.43s, p80:3.57s, p95:3.57s, iters:3875, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)]	N/A	N/A
            │ │ │       ├─ExchangeReceiver_88(Build)	7.81	800000	mpp[tiflash]		tiflash_task:{proc max:36.9ms, min:30.4ms, avg: 33.7ms, p80:36.9ms, p95:36.9ms, iters:12, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 11ms}		N/A	N/A
            │ │ │       │ └─ExchangeSender_87	7.81	400000	mpp[tiflash]		tiflash_task:{proc max:35.8ms, min:0s, avg: 17.9ms, p80:35.8ms, p95:35.8ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │ │ │       │   └─Projection_86	7.81	400000	mpp[tiflash]		tiflash_task:{proc max:22.8ms, min:0s, avg: 11.4ms, p80:22.8ms, p95:22.8ms, iters:7, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
            │ │ │       │     └─HashJoin_76	7.81	400000	mpp[tiflash]		tiflash_task:{proc max:22.8ms, min:0s, avg: 11.4ms, p80:22.8ms, p95:22.8ms, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
            │ │ │       │       ├─ExchangeReceiver_84(Build)	6.25	25	mpp[tiflash]		tiflash_task:{proc max:8.78ms, min:0s, avg: 4.39ms, p80:8.78ms, p95:8.78ms, iters:1, tasks:2, threads:2}		N/A	N/A
            │ │ │       │       │ └─ExchangeSender_83	6.25	25	mpp[tiflash]		tiflash_task:{proc max:7.49ms, min:0s, avg: 3.75ms, p80:7.49ms, p95:7.49ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │ │ │       │       │   └─Projection_82	6.25	25	mpp[tiflash]		tiflash_task:{proc max:7.49ms, min:0s, avg: 3.75ms, p80:7.49ms, p95:7.49ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
