-- Query: 26001
-- SQL: WITH SupplierDetails AS (
    SELECT s.s_suppkey, s.s_name, s.s_acctbal, n.n_name AS nation_name
    FROM supplier s
    JOIN nation n ON s.s_nationkey = n.n_nationkey
    WHERE s.s_acctbal > (
      ...
-- Execution time: 225.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_170	6399905.57	70	root		time:3m43.7s, loops:2, RU:310344.296127, Concurrency:2	tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, Column#228->Column#235, Column#229->Column#236	36.5 KB	N/A
└─Sort_172	6399905.57	70	root		time:3m43.7s, loops:2	Column#229:desc	19.1 KB	0 Bytes
  └─TableReader_550	6399905.57	70	root		time:3m43.7s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_549	10.3 KB	N/A
    └─ExchangeSender_549	6399905.57	70	mpp[tiflash]		tiflash_task:{proc max:3m43.7s, min:3m43.7s, avg: 3m43.7s, p80:3m43.7s, p95:3m43.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Selection_175	6399905.57	70	mpp[tiflash]		tiflash_task:{proc max:3m43.7s, min:3m43.7s, avg: 3m43.7s, p80:3m43.7s, p95:3m43.7s, iters:4, tasks:2, threads:4}	gt(Column#228, 100)	N/A	N/A
        └─Projection_545	7999881.96	72	mpp[tiflash]		tiflash_task:{proc max:3m43.7s, min:3m43.7s, avg: 3m43.7s, p80:3m43.7s, p95:3m43.7s, iters:4, tasks:2, threads:4}	Column#228, Column#229, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_546	7999881.96	72	mpp[tiflash]		tiflash_task:{proc max:3m43.7s, min:3m43.7s, avg: 3m43.7s, p80:3m43.7s, p95:3m43.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.part.p_name, tpch_sf40.supplier.s_name, funcs:sum(Column#253)->Column#228, funcs:sum(Column#254)->Column#229, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, funcs:firstrow(tpch_sf40.part.p_brand)->tpch_sf40.part.p_brand, funcs:firstrow(tpch_sf40.part.p_container)->tpch_sf40.part.p_container, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_548	7999881.96	72	mpp[tiflash]		tiflash_task:{proc max:3m43.7s, min:3m43.7s, avg: 3m43.7s, p80:3m43.7s, p95:3m43.7s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 222ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_547	7999881.96	72	mpp[tiflash]		tiflash_task:{proc max:3m43.5s, min:0s, avg: 1m51.8s, p80:3m43.5s, p95:3m43.5s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], [name: tpch_sf40.part.p_brand, collate: utf8mb4_bin], [name: tpch_sf40.part.p_container, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_543	7999881.96	72	mpp[tiflash]		tiflash_task:{proc max:3m43.5s, min:0s, avg: 1m51.8s, p80:3m43.5s, p95:3m43.5s, iters:2, tasks:2, threads:2}	group by:Column#262, Column#263, Column#264, Column#265, Column#266, funcs:sum(Column#260)->Column#253, funcs:sum(Column#261)->Column#254	N/A	N/A
                  └─Projection_553	764973116.63	360	mpp[tiflash]		tiflash_task:{proc max:3m43.5s, min:0s, avg: 1m51.8s, p80:3m43.5s, p95:3m43.5s, iters:15501, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity->Column#260, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#261, tpch_sf40.part.p_name->Column#262, tpch_sf40.part.p_brand->Column#263, tpch_sf40.part.p_container->Column#264, tpch_sf40.supplier.s_name->Column#265, tpch_sf40.nation.n_name->Column#266	N/A	N/A
                    └─Projection_532	764973116.63	360	mpp[tiflash]		tiflash_task:{proc max:3m43.5s, min:0s, avg: 1m51.7s, p80:3m43.5s, p95:3m43.5s, iters:15501, tasks:2, threads:4}	tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                      └─Projection_522	764973116.63	360	mpp[tiflash]		tiflash_task:{proc max:3m43.5s, min:0s, avg: 1m51.7s, p80:3m43.5s, p95:3m43.5s, iters:15501, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, tpch_sf40.part.p_brand, tpch_sf40.part.p_container, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
