-- Query: 26003
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderd...
-- Execution time: 552.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_106	7224222.26	1825	root		time:9m11.8s, loops:3, RU:655633.982341	Column#94:desc, tpch_sf40.orders.o_orderdate	345.5 KB	0 Bytes
└─Projection_108	7224222.26	1825	root		time:9m11.8s, loops:3, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#94, coalesce(Column#115, 0)->Column#154, Column#152, Column#153, case(isnull(Column#153), No Orders, gt(Column#152, 10), High Activity, Low Activity)->Column#155	278.4 KB	N/A
  └─HashJoin_113	7224222.26	1825	root		time:9m11.8s, loops:3, build_hash_table:{total:14s, fetch:12.8s, build:1.19s}, probe:{concurrency:2, total:18m23.6s, max:9m11.8s, probe:677.7µs, fetch and wait:18m23.6s}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_custkey)]	701.3 MB	0 Bytes
    ├─TableReader_434(Build)	6000000.00	6000000	root		time:12.8s, loops:5889, cop_task: {num: 258, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_433	2.51 MB	N/A
    │ └─ExchangeSender_433	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:13.1s, min:13.1s, avg: 13.1s, p80:13.1s, p95:13.1s, iters:512, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Projection_432	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:13s, min:13s, avg: 13s, p80:13s, p95:13s, iters:512, tasks:2, threads:4}	Column#152, Column#153, tpch_sf40.customer.c_custkey	N/A	N/A
    │     └─HashAgg_388	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:13s, min:13s, avg: 13s, p80:13s, p95:13s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, funcs:count(tpch_sf40.orders.o_orderkey)->Column#152, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#153, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey	N/A	N/A
    │       └─Projection_191	60000000.00	62000071	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:11.8s, avg: 11.8s, p80:11.8s, p95:11.8s, iters:1904, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice	N/A	N/A
    │         └─HashJoin_183	60000000.00	62000071	mpp[tiflash]		tiflash_task:{proc max:11.8s, min:11.8s, avg: 11.8s, p80:11.8s, p95:11.8s, iters:1904, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
    │           ├─ExchangeReceiver_187(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:573.4ms, min:568.4ms, avg: 570.9ms, p80:573.4ms, p95:573.4ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 17ms}	stream_count: 2	N/A	N/A
    │           │ └─ExchangeSender_186	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:680.8ms, min:0s, avg: 340.4ms, p80:680.8ms, p95:680.8ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │           │   └─TableFullScan_185	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:675.8ms, min:0s, avg: 337.9ms, p80:675.8ms, p95:675.8ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 130ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:52ms, min_local_stream:0ms, max_local_stream:665ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:634ms}}	keep order:false	N/A	N/A
    │           └─ExchangeReceiver_190(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:10.6s, min:10.6s, avg: 10.6s, p80:10.6s, p95:10.6s, iters:1872, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 686ms, pipeline_queue_wait: 444ms}		N/A	N/A
    │             └─ExchangeSender_189	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:12.7s, min:0s, avg: 6.34s, p80:12.7s, p95:12.7s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
    │               └─TableFullScan_188	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{proc max:12.5s, min:0s, avg: 6.25s, p80:12.5s, p95:12.5s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1038ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:8ms, min_local_stream:10414ms, max_local_stream:12484ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:25551ms}}	keep order:false	N/A	N/A
