-- Query: 26006
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        COUNT(DISTINCT ps.ps_partkey) AS part_count
    ...
-- Execution time: 19.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_88	1536000000000.00	3985659	root		time:18.9s, loops:3894, RU:126290.457520	Column#181:desc	693.7 MB	0 Bytes
└─Projection_90	1536000000000.00	3985659	root		time:16.2s, loops:3895, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#179, Column#181, tpch_sf40.supplier.s_name, Column#203	342.6 KB	N/A
  └─HashJoin_92	1536000000000.00	3985659	root		time:16.1s, loops:3895, build_hash_table:{total:3.38s, fetch:3.38s, build:10.6µs}, probe:{concurrency:2, total:32.5s, max:16.2s, probe:764ms, fetch and wait:31.7s}	CARTESIAN left outer join	66.0 KB	0 Bytes
    ├─TableReader_470(Build)	320000.00	1	root		time:3.38s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_469	3.94 KB	N/A
    │ └─ExchangeSender_469	320000.00	1	mpp[tiflash]		tiflash_task:{time:3.38s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_333	320000.00	1	mpp[tiflash]		tiflash_task:{time:3.38s, loops:1, threads:2}	eq(Column#213, 1)	N/A	N/A
    │     └─Window_468	400000.00	400000	mpp[tiflash]		tiflash_task:{time:3.38s, loops:7, threads:2}	row_number()->Column#213 over(order by Column#203 desc rows between current row and current row)	N/A	N/A
    │       └─Sort_364	400000.00	400000	mpp[tiflash]		tiflash_task:{time:3.38s, loops:7, threads:1}	Column#203:desc	N/A	N/A
    │         └─ExchangeReceiver_363	400000.00	400000	mpp[tiflash]		tiflash_task:{time:3.31s, loops:6, threads:2}, tiflash_wait: {pipeline_queue_wait: 21ms}		N/A	N/A
    │           └─ExchangeSender_362	400000.00	400000	mpp[tiflash]		tiflash_task:{time:3.31s, loops:7, threads:2}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Projection_337	400000.00	400000	mpp[tiflash]		tiflash_task:{time:3.3s, loops:7, threads:2}	Column#203, tpch_sf40.supplier.s_name	N/A	N/A
