-- Query: 26019
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        s.s_acctbal,
        RANK() OVER (PARTITION BY s.s_nationkey ORDER BY s.s_acctbal DESC) AS s...
-- Execution time: 4.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Union_195	256781.61	190094	root		time:4.24s, loops:188, RU:41714.228383		N/A	N/A
├─Projection_196	256780.61	190093	root		time:4.23s, loops:187, Concurrency:2	tpch_sf40.supplier.s_suppkey->Column#100, cast(tpch_sf40.supplier.s_name, varchar(25) CHARACTER SET utf8mb4 COLLATE utf8mb4_bin)->Column#101, tpch_sf40.nation.n_name->Column#102, tpch_sf40.supplier.s_acctbal->Column#103, cast(Column#81, decimal(65,4) BINARY)->Column#104, Column#82->Column#105	652 KB	N/A
│ └─HashJoin_197	256780.61	190093	root		time:4.22s, loops:187, build_hash_table:{total:3.02s, fetch:3.02s, build:5.7µs}, probe:{concurrency:2, total:8.46s, max:4.23s, probe:240.3ms, fetch and wait:8.22s}	CARTESIAN inner join, other cond:gt(Column#81, Column#86)	41.5 KB	0 Bytes
│   ├─Selection_203(Build)	0.80	1	root		time:3.02s, loops:2	not(isnull(Column#86))	233 Bytes	N/A
│   │ └─MaxOneRow_204	1.00	1	root		time:3.02s, loops:3		N/A	N/A
│   │   └─StreamAgg_209	1.00	1	root		time:3.02s, loops:2	funcs:avg(Column#85)->Column#86	48.6 KB	N/A
│   │     └─CTEFullScan_215	60786.46	400000	root	CTE:totalsales	time:3.01s, loops:483	data:CTE_1	N/A	N/A
│   └─Selection_199(Probe)	320975.77	400000	root		time:4.11s, loops:392	not(isnull(Column#81)), not(isnull(tpch_sf40.supplier.s_acctbal))	155.5 KB	N/A
│     └─CTEFullScan_201	401219.71	400000	root	CTE:finalreport AS fr	time:4.08s, loops:393	data:CTE_3	130.3 MB	0 Bytes
└─Projection_217	1.00	1	root		time:4.08s, loops:2, Concurrency:OFF	<nil>->Column#100, TOTAL->Column#101, <nil>->Column#102, <nil>->Column#103, Column#94->Column#104, Sum->Column#105	1.40 KB	N/A
  └─StreamAgg_223	1.00	1	root		time:4.08s, loops:2	funcs:sum(Column#91)->Column#94	155.5 KB	N/A
    └─CTEFullScan_229	401219.71	400000	root	CTE:finalreport	time:4.08s, loops:392	data:CTE_3	N/A	N/A
CTE_1	60786.46	400000	root		time:3.01s, loops:483	Non-Recursive CTE	N/A	N/A
└─TableReader_98(Seed Part)	60786.46	400000	root		time:3.01s, loops:483, cop_task: {num: 196, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_97	3.00 MB	N/A
  └─ExchangeSender_97	60786.46	400000	mpp[tiflash]		tiflash_task:{proc max:3.01s, min:3.01s, avg: 3.01s, p80:3.01s, p95:3.01s, iters:770, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_53	60786.46	400000	mpp[tiflash]		tiflash_task:{proc max:2.99s, min:2.98s, avg: 2.99s, p80:2.99s, p95:2.99s, iters:770, tasks:2, threads:4}	tpch_sf40.lineitem.l_suppkey, Column#26	N/A	N/A
      └─Projection_93	60786.46	400000	mpp[tiflash]		tiflash_task:{proc max:2.99s, min:2.98s, avg: 2.98s, p80:2.99s, p95:2.99s, iters:770, tasks:2, threads:4}	Column#26, tpch_sf40.lineitem.l_suppkey	N/A	N/A
        └─HashAgg_94	60786.46	400000	mpp[tiflash]		tiflash_task:{proc max:2.99s, min:2.98s, avg: 2.98s, p80:2.99s, p95:2.99s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.lineitem.l_suppkey, funcs:sum(Column#126)->Column#26, funcs:firstrow(tpch_sf40.lineitem.l_suppkey)->tpch_sf40.lineitem.l_suppkey, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_96	60786.46	800000	mpp[tiflash]		tiflash_task:{proc max:2.98s, min:2.97s, avg: 2.97s, p80:2.98s, p95:2.98s, iters:88, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 19ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_95	60786.46	800000	mpp[tiflash]		tiflash_task:{proc max:2.98s, min:0s, avg: 1.49s, p80:2.98s, p95:2.98s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_suppkey, collate: binary], stream_count: 2	N/A	N/A
              └─HashAgg_91	60786.46	800000	mpp[tiflash]		tiflash_task:{proc max:2.98s, min:0s, avg: 1.49s, p80:2.98s, p95:2.98s, iters:512, tasks:2, threads:4}	group by:Column#129, funcs:sum(Column#128)->Column#126	N/A	N/A
                └─Projection_99	36584960.81	36491771	mpp[tiflash]		tiflash_task:{proc max:2.38s, min:0s, avg: 1.19s, p80:2.38s, p95:2.38s, iters:3875, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#128, tpch_sf40.lineitem.l_suppkey->Column#129	N/A	N/A
