-- Query: 26032
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_to...
-- Execution time: 22.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_60	20.00	25	root		time:22.7s, loops:2, RU:109198.068558, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#116->Column#122, Column#117->Column#123, Column#118->Column#124, Column#119->Column#125	5.82 KB	N/A
└─Sort_62	20.00	25	root		time:22.7s, loops:2	Column#117:desc, Column#116:desc	6.21 KB	0 Bytes
  └─TableReader_458	20.00	25	root		time:22.7s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_457	9.98 KB	N/A
    └─ExchangeSender_457	20.00	25	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.7s, avg: 22.7s, p80:22.7s, p95:22.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Selection_65	20.00	25	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.7s, avg: 22.7s, p80:22.7s, p95:22.7s, iters:4, tasks:2, threads:4}	gt(Column#116, 0)	N/A	N/A
        └─Projection_453	25.00	25	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.7s, avg: 22.7s, p80:22.7s, p95:22.7s, iters:4, tasks:2, threads:4}	Column#116, Column#117, div(Column#118, cast(case(eq(Column#174, 0), 1, Column#174), decimal(20,0) BINARY))->Column#118, Column#119, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_454	25.00	25	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:22.7s, avg: 22.7s, p80:22.7s, p95:22.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#116, funcs:sum(Column#175)->Column#117, funcs:sum(Column#176)->Column#174, funcs:sum(Column#177)->Column#118, funcs:max(Column#178)->Column#119, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_456	25.00	3613130	mpp[tiflash]		tiflash_task:{proc max:22.6s, min:22.6s, avg: 22.6s, p80:22.6s, p95:22.6s, iters:386, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 447ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_455	25.00	3613130	mpp[tiflash]		tiflash_task:{proc max:22.7s, min:0s, avg: 11.3s, p80:22.7s, p95:22.7s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_451	25.00	3613130	mpp[tiflash]		tiflash_task:{proc max:22.5s, min:0s, avg: 11.3s, p80:22.5s, p95:22.5s, iters:512, tasks:2, threads:4}	group by:Column#187, Column#188, Column#189, funcs:sum(Column#183)->Column#175, funcs:count(Column#184)->Column#176, funcs:sum(Column#185)->Column#177, funcs:max(Column#186)->Column#178	N/A	N/A
