-- Query: 26037
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        ROW_NUMBER() OVER (PARTITION BY s.s_nationkey ORDER BY s.s_acctbal DESC) AS rn
    FROM suppli...
-- Execution time: 328.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_162	10.00	10	root		time:5m27.1s, loops:2, RU:323523.201031	Column#186:desc, Column#187	10.3 KB	0 Bytes
└─HashJoin_165	10.00	10	root		time:5m27.1s, loops:4, build_hash_table:{total:5m27s, fetch:5m27s, build:7.88µs}, probe:{concurrency:2, total:10m54.1s, max:5m27.1s, probe:59.9ms, fetch and wait:10m54.1s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.customer.c_custkey)]	51.6 KB	0 Bytes
  ├─Projection_166(Build)	10.00	10	root		time:5m27s, loops:2, Concurrency:OFF	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_address, coalesce(Column#168, 0)->Column#186, coalesce(Column#181, 0)->Column#187	3.64 KB	N/A
  │ └─Projection_405	10.00	10	root		time:5m27s, loops:2, Concurrency:OFF	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_address, Column#168, Column#181	5.41 KB	N/A
  │   └─TopN_169	10.00	10	root		time:5m27s, loops:2	Column#241:desc, Column#242, offset:0, count:10	11.6 KB	0 Bytes
  │     └─Projection_406	320975.77	400000	root		time:5m27s, loops:394, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_address, Column#168, Column#181, coalesce(Column#168, 0)->Column#241, coalesce(Column#181, 0)->Column#242	632.9 KB	N/A
  │       └─Selection_171	320975.77	400000	root		time:5m27s, loops:394	or(gt(coalesce(Column#168, 0), 10000), le(coalesce(Column#181, 0), 5))	141.0 KB	N/A
  │         └─Projection_173	401219.71	400000	root		time:5m27s, loops:394, Concurrency:2	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_address, Column#168, Column#181	539.9 KB	N/A
  │           └─HashJoin_176	401219.71	400000	root		time:5m27s, loops:393, build_hash_table:{total:5m26.9s, fetch:5m26.9s, build:40.7ms}, probe:{concurrency:2, total:10m54s, max:5m27s, probe:132.4ms, fetch and wait:10m53.9s}	left outer join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)]	42.4 MB	0 Bytes
  │             ├─HashAgg_247(Build)	398784.00	400000	root		time:5m26.9s, loops:393, partial_worker:{wall_time:5m26.823409279s, concurrency:2, task_num:35656, tot_wait:10m40.368134686s, tot_exec:13.252716709s, tot_time:10m53.646755581s, max:5m26.823381197s, p95:5m26.823381197s}, final_worker:{wall_time:5m26.931837581s, concurrency:2, task_num:4, tot_wait:4.405µs, tot_exec:107.505858ms, tot_time:10m53.859846232s, max:5m26.931796643s, p95:5m26.931796643s}	group by:Column#240, funcs:sum(Column#239)->Column#168, funcs:firstrow(Column#240)->tpch_sf40.lineitem.l_suppkey	128.9 MB	0 Bytes
  │             │ └─Projection_404	36837722.65	36510994	root		time:5m26.5s, loops:35657, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#239, tpch_sf40.lineitem.l_suppkey->Column#240	311.6 KB	N/A
  │             │   └─IndexHashJoin_262	36837722.65	36510994	root		time:5m26.5s, loops:35657, inner:{total:10m49.1s, concurrency:2, task:361, construct:1.98s, fetch:10m33.9s, build:506.5ms, join:13.2s}	inner join, inner:TableReader_257, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	28.1 MB	N/A
